,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.420199965046069 -1.290049938368352 -0.4003634870110283,4.364054032309945
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.169379291301598 -8.282808683254581 -30.682919310286252,30.25431081329607
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.1229373124615123 -0.8966327689946855 2.204375880291033,3.3811712476662943
3,-1.759033352229458 0.5444320590011676 1.033993487392955,3.77942407709241 0.058366794518846764 -2.1711510756365593,6.4174544647908895
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.684417188032581 -5.399909656178535 6.5774471560094865,16.566934834234264
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.092459517958682 -0.14685698864215532 2.347148450325303,5.47594403998092
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.217349684662193 -0.3644116438377482 6.279640143897119,8.982810234738867
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.1379506011276754 -0.4197079738991035 -0.8800404133590154,0.41775707204623447
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.1914060187291073 -13.014880751273616 -0.17913364630344134,12.448727305341132
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,4.7390087203919204 -1.0130049538651 -2.955509065687337,7.682939657602231
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.2736638687663757 -0.8135253361657413 1.2366388565618833,4.729366206961834
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.212302531872761 0.08329138989695196 -0.7099739553532328,3.5255671026162334
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-2.0504071208473755 -2.8945622321988784 -34.009987422927274,32.689155403979996
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-8.096849119148901 5.097043703208705 3.1412149076139073,11.723263522017099
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.4990600936164595 4.8870161327856 16.16734310991828,19.65133269710101
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-5.1537546372178 -2.7873395098443283 2.7668365334403897,8.193963437742157
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-7.011094284556144 -2.613684579077875 -8.824592906631834,10.424578090183605
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,15.151757181488778 -7.577591891765309 9.436009554981656,20.818333750839056
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,22.77944170806056 -10.91983370735711 14.593980978275443,31.62936506381904
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.48812587889022774 -0.24753916723923666 -0.09375703002957252,1.152993414717501
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.0963150942525617 -0.36882552786736256 0.5479164831685553,1.0817156839397903
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.29666709221416326 -0.006373276655157497 0.06850041433864515,1.7564775680021112
