,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,1.5238779038188661 -0.8122794084351621 -0.2520887034804846,3.3377319576579976
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.3319233481128587 -8.903410774629743 -32.98188390329395,32.64104808764965
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,0.19072171167557037 -0.15228573719063573 0.3743952012279913,1.1968338594365868
3,-1.759033352229458 0.5444320590011676 1.033993487392955,4.5271255130911525 0.06991377500746108 -2.6006802165612695,7.27679969602775
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,7.52407634073096 -3.2030902077606136 3.901575751988899,10.353059526174228
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.695176014985815 -0.12799049789426203 2.045613910284468,4.976843879901672
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.3701845988998915 -0.3052404477011076 5.259986066138014,7.655838436518399
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.2670622682126718 -0.8125239221879154 -1.7036938367014156,0.5140957942822063
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.1312758039464925 -12.65776410184593 -0.17421837978735058,12.086585078122555
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,5.296600887778894 -1.132195202528046 -3.3032545126575554,8.350324573682217
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.120818706788712 -0.758836772263527 1.1535068382650773,4.547035452296772
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.4047123694840875 0.09651093071547784 -0.8226570273309498,3.747736620928845
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-2.3031044880646006 -3.251295413568627 -38.20146441960922,36.90336660274111
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.505094507486441 4.724528534303607 2.9116406151391594,10.987301924933101
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.743302264100807 5.070675832845302 16.774930501825946,20.331441170930304
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.76068074067072 -2.574750731515215 2.55581150530763,7.699767607420421
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-8.795979516213677 -3.279076715606883 -11.071158837021986,13.369616159793974
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,12.781517722016902 -6.392204144687415 7.959903389916146,17.78488219907377
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,23.747704039128774 -11.383991862586237 15.214312337695453,32.8694302688174
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.48852392952263884 -0.2477410273051076 -0.09383348581016156,1.1525415527313292
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.1121918058301474 -0.37416681757421755 0.5558513478962941,1.0631847883870524
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.22718986357811413 -0.004880702618629316 0.05245812628724754,1.8276656232001443
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.7808649621404065 1.0486409036560966 0.4704411152411429,3.2448836042777924
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,2.339474160012538 0.6274063436965619 -2.950052382767267,2.193382963868964
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.31494809451632566 -0.11080431551737077 0.3268300421783973,1.5745998522697473
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.3797797802604829 -0.3244165747955559 1.401570991448522,3.068924362439178
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.17756650313192887 0.5969142199643065 1.4595122329849912,0.257612470226414
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.3275199838279643 0.06408706294734026 -0.8009289004379958,2.2548217178497034
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.702460269572937 -0.44507801550628723 0.22425331757327482,2.480043400781012
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.272745289537158 -5.721214997372716 1.954857237126587,10.108357995028706
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.626373149336576 1.5567964875027218 6.376039538797923,8.212205567636266
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.3091132338695187 -0.180002815605761 0.26345707863560636,1.3434693021119744
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-4.263276888976814 -1.7146326662906526 -2.6957060966331894,7.72547477245409
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.0913880155157623 0.09470618833265756 0.21423038409431466,2.1692465228524997
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.3176803910054988 -0.18527292772050477 0.0615415799443194,1.3409815811721444
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.6849660703101371 0.28967207610785256 -0.9352055590286399,0.48385589023745224
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,4.377910694234697 0.726334394956458 -3.9948727469515517,3.7877725724827322
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.34245173557409986 0.12908082928716064 -0.4174970371277036,1.1001815156422685
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,1.4091859032525214 -0.8759218422316545 -0.33796323101197784,3.333661330366235
1,-1.8268667372463392 -0.07476423848819935 0.59091091963939,5.728622694814399 0.31172959908024406 -1.9212143069883412,7.971547603741653
2,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,3.660782645263932 1.45404586063597 -1.334761959502029,4.599927207744583
3,0.7537128819747969 -0.400880032317541 0.5561839104565589,0.9170008564663517 -0.5368099446741197 0.7950542949641378,0.31968572736614376
4,1.7365289111057591 -0.2144562765037098 0.21309482441608973,8.083249742371489 -1.5734760999281827 1.3536131579780653,6.5900365901620015
5,0.0872021833604344 -0.15004712404899445 0.13208074574839945,1.694225097766086 -3.618071954622846 3.375263186595484,5.012778791999551
6,1.9008001216671224 0.38543904352841685 1.0371873162447982,-3.5095968593314124 -0.9522016648240405 -1.752000998279461,6.232274834321606
7,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-0.3931050430715124 -0.09520682230468802 0.07997814951416171,1.7987639702355553
8,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-3.33354547598149 1.1390349633549968 5.615110517133809,7.585560061695681
9,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,6.462098104679263 3.540814234137294 -1.7492016317131371,9.227423043861274
10,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.00016519858160948556 -0.03759680103420126 0.1561376501510116,0.662253709789901
11,0.5239309021164531 0.031137315196742454 1.1265973187056755,2.376853251670887 0.31814300794506234 4.93992307198058,4.249370165299545
12,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.5494501167047887 -1.3449576875594575 1.813576630969177,5.398616079875472
13,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-2.278864537042216 -2.1767563624241344 -7.861218902285505,7.376614843928336
14,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,0.6158946006090499 -0.033744296514588934 -0.614634698613926,1.2327781499482848
15,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,0.5521068799333219 0.10878715992768129 -0.2908275797891286,2.7635106785928807
16,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.5541999467697011 -0.46902319448782753 -1.021878289883827,0.6471461176096344
17,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,2.1817087616561386 0.01991158967445965 -0.9190086303505165,3.5193917966326955
18,1.3168113083214306 -0.3566092981463863 1.3389062724698078,1.8306718560350979 -0.27928729413267006 2.3742207541551448,1.1584072819128277
19,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-1.014364137188552 -0.019033054975121547 -0.7059164818684105,0.5406741047303646
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,2.927958532464691 0.7794571669913819 2.0903421952619197,5.6578880735007555
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,525.8217268908054 -58.85662348820938 159.0979829787666,554.1992086119576
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,1.335877050958745 0.36025876297773773 -0.8067324919147113,2.865157116533126
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-2.1902887069202444 3.1999833703960823 -4.362197310760034,6.849105454604192
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.08796867135169736 0.05536473774166763 -0.1909652662787114,1.378355610337903
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-161.4261539477898 38.61916091077543 -13.02616863558101,167.9858471188573
6,1.728382546845478 0.4439953450498987 0.247362103240496,14.97269009756856 2.9456964758600646 3.8383287955077736,13.948664195219925
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.1742389910472631 0.018141535548850608 -0.2957066991147902,1.5492720582426591
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,-0.1434927317901485 -0.14982756671896189 0.08187724678622382,1.028805192204658
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,2.8391346820198553 -0.8573875602216957 -1.1354243086264195,1.1498305934887332
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-15.247896814237352 -5.704159413937662 3.0143578234014847,14.374745680961155
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,9.378979855909021 1.5978688619844938 -1.8982343463664593,11.193742666418236
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,21.870559810479648 -2.177683330736252 10.925443297474231,22.599522404526848
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,4.425690194250744 -1.8954590924520642 -4.427809394124677,4.033502468697611
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,0.8164959282136973 -0.3829481885179963 -0.648563803539644,1.1637924603283247
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.1335787686806427 0.6295693230475418 1.2592830608731411,0.18012637044999324
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-0.49398769680177124 0.1398633181971769 0.2576559576955804,0.5425919164530636
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,2.9235731712074102 1.3584642911626104 -0.32325348060176423,2.271364510361953
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.06873100013195613 -0.13898423376548233 -0.8826511032169587,0.4194613906753299
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-2.575219626352615 -0.037996153075071586 2.2305067588999763,1.148429138269756
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.2094866050770568 -1.0895262901111924 1.3666791292760687,0.8779304390621266
1,0.4709928888337087 -0.4835882504702588 1.0908725070025382,7.244273714176456 -6.456982955600243 14.668123592632377,16.306456527537406
2,1.933393761196776 0.22538399326206593 0.009510405009429235,13.506697701493922 2.246847001844957 2.3344449513325602,11.976351591125454
3,0.8406396603165116 -0.7446820101459279 -1.4074916468700804,1.418431844308956 -1.3225335022133549 -2.2061125072312864,1.1426072962183391
4,0.8281278138379884 -0.7128107622896663 0.34572582375485794,-7.8201138485329045 6.8081925951018185 -2.8676698909541636,11.903087304223721
5,0.7573828076600333 -0.4829897035929976 1.3574927623388051,1.6952866587693216 -1.1009687154494758 2.664287630063178,1.723158297815817
6,0.2572835006161318 0.2613544055268545 -0.7416055739986945,-2.6188504441983356 -2.6457136769881453 7.527450671980937,9.224992276639922
7,1.4923161734346615 0.6597033465429162 1.3150421514544268,-11.36487867261074 -5.331162778383689 -10.292884368050252,18.328717748882205
8,-0.09186964851175228 -0.7418495760640871 -1.420202144873266,0.12930816051863567 0.8980304400102721 1.7718743200058595,3.59548025275661
9,-1.4231014081524735 0.008198818233434602 1.551011750493445,-3.0812415521656793 0.20502518299047742 3.7039338860544833,2.7245629148251114
10,1.7482746021632543 0.681677527665291 -1.3140353666280113,100.75730039370839 39.51797377490278 -76.40389709995638,130.19036995693813
11,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-0.8268790252087871 -1.265469371940591 4.165844774895631,2.8824062760983113
12,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-1.8671502557014066 0.24926109892131249 1.1802010642821557,0.19381301210491123
13,0.6475404019334752 0.59449251027997 -1.331433030984044,-1.4054518409175047 -1.2115498466846435 3.1588554493914707,5.257305087337965
14,1.6166046332162294 -0.6775229796402341 1.3343980747415785,4.929796320288825 -2.452168834591147 4.876423926243567,5.1645478212995375
15,1.7327907890207053 0.40991595622963495 -1.444314435548648,-0.5652121317174581 -0.13971296643181022 0.5392636530880783,3.0850431779906806
16,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-2.192253294825964 -1.651485849727705 3.0820257928085537,3.182643938044627
17,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,2.6826455552215713 0.5404559307752012 0.9226940714509503,4.966360857585455
18,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-3.187882624605199 1.0534665105176242 3.7366086078166276,3.242565664423501
0,-1.8956553329586494 0.48868895694739123 -1.1129498407858318,2.632452410302854 -0.7895005191527429 1.760792819435947,5.5132499443229
1,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,-3.282176810556799 0.9606101216413556 -0.19789704784721893,1.5053435416141245
2,1.5762315415935233 0.2092796576284287 1.069374539624862,-1.1524725453927147 -0.2667329778249057 -0.8835451181425528,3.389145794022592
3,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.056370811444916374 -0.5422369463470516 -0.5796525517520752,0.08191951059753616
4,0.3712252395078175 0.490331829528036 0.8088986527787063,0.6422631627241336 0.8423833466303252 1.3596510412145622,0.7076227949149441
5,1.8047373429757445 0.04298054037927235 1.409478776478449,5.755975061703615 0.31577772649304214 4.036905839159757,4.752901301769219
6,1.8445034203979604 0.7668637020642585 1.4968127151371902,-0.5440550389976281 -0.2343039093637008 -0.5081024933650982,3.275245501242062
7,1.100150548608379 -0.6759965343067005 -0.5572614048725637,1.5919442239098023 -1.2144293027824025 -0.6678433323198939,0.737563033179441
8,1.9572275817419729 -0.08754001883756268 -1.583264909939205,2.420686915175327 -0.21672666840918703 -1.8383349492829668,0.5445589675552673
9,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-3.5397281268127183 1.3379481776686046 2.0681069958365326,1.8949802810255159
10,-1.402499155729641 0.7279358108222199 1.5992697717098476,-3.689155450983599 1.9077415209395308 4.153661656451635,3.6256939235248016
11,0.43961410095011866 0.47273358494465956 0.6851576174865506,-4.680876669573263 -5.1123712666728425 -6.6255579291147315,10.528978285564758
12,0.4180941065267847 0.6394450322145849 0.575772333385479,1.317274437003973 1.8351264915671697 1.9170419223946773,2.0092743788137786
13,2.055288986604768 0.10444668422611947 -0.013637257030095329,305.8083241256217 15.764907923688492 -0.3624552412286051,304.15666699315284
14,1.0131699388289115 -0.509643779288385 -0.12114856608202662,14.437608971651995 -9.107914637545445 -2.0995923506328027,16.064248034270516
15,1.042895733022554 0.8799298311601967 -1.234978786499308,-1.8149164784197491 -1.2375600609288262 1.8932347355942354,4.736726075970282
16,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-2.0518682091449407 -0.7601436547131633 0.11135630227233588,1.136989344948982
17,0.8093389789326806 -0.7647667825300984 1.261798905938881,-0.21579324024433844 0.1900085904023584 -0.3380416641481855,2.126495222014294
18,0.4200056846110254 -0.11000275319829056 -0.13509069984605704,5.422126320121996 -1.1285880063253968 -2.1624122599258024,5.4926095326408255
19,-0.132270951051088 -0.5644887544039232 -1.5939341853059013,-0.24299291362323186 -0.5602265143898159 -1.813125880084433,0.2456064305869252
0,1.3308392875675157 -0.35964650437234646 -0.964270844664938,-4.948590183384897 0.30109277094247683 2.6451015559382283,7.272921008566304
1,1.4838583968571766 -0.24347837710447917 -0.7093818763049647,-5.532491842939381 1.738553698227314 2.6984546341798707,8.048041470900278
2,-0.12659633345684274 0.8994127695902302 -0.2290840808823038,1.1717763229230853 -21.84358983503467 6.149798131864607,23.656290438547398
3,-0.5152978958674135 0.10203960223427966 0.5421259310170181,-1.4877823710173277 0.17875816220702082 1.759650742315528,1.5601212959188038
4,-0.13751052973387723 -0.2539755854827679 -0.6417800811016247,1.0168520752376748 1.7371031254249902 4.914421815034635,6.014010888534787
5,1.460484835557716 0.6638897464897159 -0.4817960096003471,-14.722992400137032 -8.019915509539553 2.066728234004139,18.54207067679151
6,2.0769060075051518 -0.4877662579694984 -0.5798268280524508,-0.1832065267396555 0.04279852475377093 0.05145530116970095,2.4058521947102087
7,-0.05754030238696606 -0.05661731797702407 1.2455012104683059,0.01333029529684191 -0.3831289347325067 2.808648444585774,1.598456052890235
8,0.0922336742843144 -0.5522396119106671 -0.5281144273407505,0.681653292232044 -7.419973608433911 -7.764379131421966,9.993833728882743
9,-1.3397002974635253 0.6747855542755771 -0.7791194651460945,-5.12933685562016 2.5719558781513605 -3.0219447323806126,4.794879107971107
10,1.8771304535371187 0.26277969148431246 -1.4074728795287645,-3.1053483553684162 0.18529054515437754 2.6913408115308357,6.452237853877466
11,-0.7264503008023167 -0.0025788608508626742 -1.3806294847743232,0.2961562980084367 -0.050263427062829984 0.7495575019630002,2.3634074283227506
12,0.47876447728642413 -0.0324900680022816 -0.9613084579311757,-70.4250178708815 7.755391948717206 155.5527135642618,172.00185041779702
13,1.1408197230267798 -0.5347057072386341 -0.8707527865257867,-3.110690217085378 1.153658984492159 2.6622450263123016,5.779964156348585
14,0.6225436781505445 -0.1266515423861727 -0.27745587615453293,-5.477353568576179 1.3849794664582835 2.6214321378699443,6.920789438017829
15,0.7423028012464732 0.34639559815224696 -0.6976084308997849,-1.4576965803226432 -0.6341835413759002 1.2768560800728632,3.1144891768751926
16,-1.7630593059028943 -0.004246750768406304 -0.13117835035548064,13.066870645025999 -0.4991049425734773 2.152416031335119,15.012878147761784
17,-1.6403412653870753 0.473687307562647 0.9565160248988365,-6.995635875456401 1.98118979596126 4.043658062684004,6.362561596921946
18,-0.5789742589104039 -0.6408448172704329 -0.11218093565723919,-9.931067983449452 -9.23010985577663 -1.3419976512771135,12.757334364524809
19,-0.2507472862040352 0.5564823633917036 -1.229715001147389,2.1941709691656364 -2.2777216704218115 5.4398318799246255,7.64808429474611
0,0.7816362380604502 -0.33203965777432265 -0.426082050360298,-3.175926629132253 1.2392892383179683 1.6938645235842187,4.756632403692368
1,0.44448734835150905 -0.8647277077032519 -0.7165783697611627,0.7336415140087205 -1.3981033094221205 -1.1034151742428386,0.7195431726640712
2,-0.9666217926736294 0.13671310949662596 -1.1683005474985404,2.2288509858158143 -0.2315208361866022 2.679624260949117,5.015293396032521
3,-0.002823520863118212 0.37978144500152033 -0.5686655765295849,-0.00459085414100612 1.1971816216343647 -1.884754254667656,1.5492693700417417
4,-1.0770560920884353 -0.33250066254280863 1.3806104195611275,5.614652126542402 1.4479376426294994 -6.967822797820055,10.846439813454452
5,-2.0534148481977232 -0.8790676667079397 1.2992430829152735,-3.2195112025070536 -1.3604273162083291 2.0916450722606714,1.4897613004838035
6,1.168979225566117 -0.6158962457008046 -0.10223954951039649,4.527199414887083 -2.3743448357908172 -0.2027071683342605,3.792080962530288
7,1.8240380783272427 -0.315990888886006 1.0227454524382504,5.916985080132496 -1.0663988828131221 3.2909683378369605,4.739215375437455
8,1.33552301801774 0.6861300260771955 -0.20526639111071354,1.4940544883605347 0.7223919324561245 -0.2850440685417255,0.1811398099799412
9,-0.4007208356839762 -0.1264573424583092 -0.8952019878249964,2.394907875740507 0.7901991693580805 6.874432059493375,8.308008924047034
10,-1.672926470390867 0.39312669719500504 0.8241381162834598,-2.653019816069291 0.4123659286604613 1.2445883140997847,1.066644965822412
11,1.2472656438017595 -0.34668042360165197 -0.4480718197619673,-1.868009574322022 0.5822708742084579 0.7002330798005055,3.4476795588799205
12,1.012693693850729 0.01672674305351196 -0.8741971210827828,-2.812177076753764 -0.043492731870728135 2.436028990678018,5.058740921214269
13,-0.3707252309624409 -0.4425043729671085 0.825196090389066,-1.045733948106682 -0.9389206915802547 1.5884194810465155,1.1333913153244102
14,0.30062311286525434 0.17627499031355798 -0.6989651466807683,-2.843476925537143 -1.6903530571885015 6.884046193110979,8.418534688329885
15,-0.7044675912681697 -0.5258499498062575 0.39221331138051463,-2.591699140123017 -1.8794455882934942 1.305599446897499,2.4956238306442313
16,0.6061527448016175 -0.19234948685586672 -1.4390470675623641,-2.191318887684194 0.6070240932957573 4.781575049204069,6.867385614250226
17,0.6243090520924679 -0.26705727510654986 -1.0747805099939154,-2.8783152206908547 2.1654784807207403 4.771688951980214,7.236491703129715
18,1.5687535990563468 0.6819189808529907 -1.1784358125342498,-2.3574459309493494 -1.1970285874680182 1.6657889009891227,5.1995289147127055
19,-0.07538993190792365 -0.1256924405398665 0.8014431227875334,-0.8956166905875668 -1.730037764563995 8.734494219615268,8.135108822827874
0,-0.976218903115077 -0.6162547523870255 -1.5318996688993747,0.03543326874670466 0.012383949958463248 0.056607374073320935,1.9854423588946462
1,-1.1422705866343725 0.4791308442946808 0.5531004073870962,3.46595732349879 -1.438847504185488 -1.6860658612222965,5.470673724089848
2,-0.877163625378055 0.516097599896275 -1.0104398918753135,0.47326146734850466 -0.2518830740735559 0.6248335212363948,2.2555623206390703
3,-1.11809178670255 0.07004420155078195 0.524372714832229,7.118403961685107 -0.6907150262184011 -3.5252809359750072,9.20968574422278
4,-0.6598740500454536 -0.06174283182547646 0.9063198953271332,0.5046458884968267 0.01305013235956838 -0.7150594923848417,1.997641557850497
5,-1.2181982845924941 0.15292761073408745 0.21294515395322522,28.86107171785348 -3.641157515064292 -5.033420995614229,30.768196625690916
6,0.7147692847488951 -0.8696730763684871 0.5096141833490773,0.1779511746329844 -0.2623202940833683 0.11765798433925109,0.9003781135945739
7,-2.0537045359663875 0.8705945749384941 -1.235635194043374,1.6547946578848136 -0.7777571790724515 1.1123429511999963,4.6886065250014815
8,-0.8205589868618466 -0.22013865362059637 -1.1012911480678955,0.29986603041519416 0.08029570865026583 0.404985385537018,1.9011791133562852
9,0.5863726146820554 -0.6980597327761702 -0.48761247209575176,0.5933627071364763 -0.7222774272991966 -0.49004804526945794,0.02532370701963786
10,0.957837480926147 0.8730069173372047 -0.7178771631249014,0.8082179353924228 0.7941298571054438 -0.5790451234843692,0.21881941017028922
11,-0.90115004692669 0.6997769491821048 0.36564366883077737,2.254943189736792 -1.6020747973835645 -0.7138884557465964,4.052756542117344
12,0.40771376298756445 -0.3774786157591775 -1.1801550476016969,-0.19137980915556674 0.12889771050531698 0.5031836373657483,1.857137372488172
13,1.1717989909384676 0.5790118698512362 -0.8151912818420801,0.4430738161188117 0.1787533713879327 -0.3048787247161535,0.9755337779741092
14,-0.49090869499096645 0.7397074457716012 0.06463007194561499,0.8413528669541459 -1.2199369099835968 -0.04373955895182523,2.3721026215955505
15,0.10723079344138187 0.04155238022876706 1.312453634068809,4.076340471570184 -0.013741544719303176 24.156681695290438,23.186540163816108
16,-1.4414907690985042 -0.8093253951343368 1.5217161842771536,1.1354003644697046 0.7202328563681959 -1.2215833792289243,4.062709545873858
17,0.8222706008074132 0.12603012812122383 -0.46128467966123665,3.4237485367021523 0.6806446837598344 -2.000477902492846,3.073174341537447
18,-0.9722407394802492 -0.1760906954018111 0.5052771327596846,4.43408770641992 0.8217345505297867 -2.4627956528907773,6.247679452987859
19,0.7805782092791236 -0.8356618323472177 1.0060791713778419,0.29183588926616155 -0.3625319239900884 0.4677617602498323,0.8674713832036424
0,-1.0475605083352832 0.005811255053587594 0.5316094569281229,-0.7583646852764669 0.004659847483838608 0.3848057598780519,0.32432526155331604
1,-0.8211251081589421 -0.7936257523185628 0.09081014950783883,-0.4861623254122376 -0.4685722269257798 0.08443313380067285,0.46679816465472745
2,0.08409429682177993 -0.023512332646600465 1.2570859334109556,0.1196928248704897 -0.04817750108643593 1.404794669776162,0.15392691945207718
3,1.1753386174101577 0.8557449428334108 0.4118192508218752,2.8290800895705326 1.8532675483925731 0.7556476033091668,1.9616651450537703
4,-1.5927752158530537 -0.602684608835433 0.9306293438262032,-0.9058721189384963 -0.48703455313916766 0.6084716122403975,0.7674610113574963
5,2.0687681510340306 0.014016354635302819 0.7360114642517983,-1.2497658455686436 0.1885561756116126 -0.5095749970992154,3.5488896388046642
6,-1.3139803626425735 -0.4647397624376932 0.3303434103088563,-4.282524967670125 -1.0280441797460322 0.9812858558685896,3.090840501551084
7,-1.5623433761678092 -0.12420066823798681 -0.9908105805508711,-5.558030564526057 0.15990293764847854 -3.3391112015882536,4.643355120260832
8,-0.8764583304909479 -0.16760152307597176 0.3112400372777213,1.6683651120388516 0.3752673238449364 -0.5706944532154095,2.7474790962130786
9,1.339369893874958 0.5149138530712661 1.3206999233779118,2.497086167544379 0.9199601738459766 1.9244661956774158,1.3670783459109352
10,1.5867089088966448 0.10273345831286507 -0.4248778973276903,41.50367731864712 2.6454479558524455 -11.07998174024372,41.39276509179278
11,-0.9652332135809185 0.06282084744701666 0.1249875552296209,-1.884914591371061 0.16748457747824452 0.5777759974215526,1.030429864872239
