,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.478564008573809 -1.3211599837543975 -0.4100184049187661,4.430885428840956
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.232768380314493 -8.524831689099992 -31.57947175325175,31.18509182210757
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.1730048215771176 -0.9366102181691073 2.3026606271383554,3.498492486701204
3,-1.759033352229458 0.5444320590011676 1.033993487392955,3.94937682779092 0.060991426493346976 -2.268783172474534,6.612714668990739
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,13.517794445460993 -5.754688423930912 7.0095911631403105,17.570471221732944
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.2116103154594966 -0.1525153092163342 2.4375828143274765,5.625631480039956
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.472485057821646 -0.3822318602988984 6.586722940384817,9.382446604130108
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.14010977319726312 -0.42627714958386526 -0.8938146098112263,0.4025610626365546
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.251696422703868 -13.372948773114993 -0.18406200727753858,12.811836261139481
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,4.968202339789374 -1.0619971135217914 -3.0984469372747196,7.957252942970594
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.3491188148323183 -0.8405233947648646 1.277678572021475,4.81937872815957
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.2396096411055748 0.08516752809040722 -0.7259661155950616,3.557088603721816
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-2.1448393961684102 -3.0278723903941493 -35.57633025471549,34.26399388017487
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-8.383261974511802 5.277343325872163 3.2523302708569335,12.07947361834844
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.804101773291428 5.116394471848481 16.92617799174605,20.500741424736475
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-5.411665827442772 -2.92682733981466 2.905298325615032,8.51822489128021
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-7.329462482571653 -2.7323699106180466 -9.225310630267849,10.949865724098105
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,16.144048571386058 -8.073849791115789 10.053975572008119,22.088279494820217
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,24.10840723276203 -11.556902987567588 15.445402090207882,33.331387368430455
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.4958792101888732 -0.25147104886239524 -0.09524625513898288,1.1441920671581833
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.1128331584046967 -0.374382583281629 0.5561718831593406,1.0624362212189487
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.3404023658702833 -0.007312838224049859 0.07859888648228126,1.7116710165719862
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.709129397102578 1.006400279383756 0.4514911331053335,3.15956373525997
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,2.285560856846321 0.6129477320160895 -2.88206827283912,2.105494349953095
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.23795029592194655 -0.08371512679661697 0.24692737186412997,1.686535054767967
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.36913630104313533 -0.31532467140556686 1.362291407609467,3.0272391236585077
