,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.2479972269418855 -1.1982599479185607 -0.37187671331630784,4.166869791585657
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-2.4356652998969794 -9.299503215679891 -34.449172702650905,34.164361284538984
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-0.5871899068741012 0.4688540547042353 -1.1526798989573799,0.6266496922561907
3,-1.759033352229458 0.5444320590011676 1.033993487392955,5.293207342764888 0.08174460950105629 -3.0407682708770345,8.157932451468252
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,-6.211666878753213 2.644381642633946 -3.2210317620490336,6.189471350785414
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-1.8954158756529147 -0.09001090106643074 1.4386032895257954,3.9721288609019605
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,3.2069721887218336 -0.22399457151006202 3.859935122972911,5.833828836234996
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.3868877361172775 -1.1770870625051395 -2.468106992162115,1.3665619787761891
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.0088895318148157 -11.930905307184748 -0.16421407250834305,11.349504288224376
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,6.09993419837856 -1.3039147901583918 -3.804257786196496,9.311959086321908
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.2448900999170176 -0.44542627911569166 0.6770919355559212,3.5022342683435546
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.676864356529515 0.11520916541207095 -0.9820403640970597,4.062206536611714
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-2.4783252668521705 -3.498654800598734 -41.10784160792974,39.82550798895984
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-5.352173910173069 3.36924449571479 2.076403824176126,8.309733770787128
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.67253667941492 5.017463129927596 16.598890971261447,20.13438972098109
