,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,1.698346589312189 -0.9052772268875662 -0.28095032330825265,3.537498299906056
1,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.0792071501953675 -0.861715506876704 2.1185316271248475,3.278700208333601
2,-1.759033352229458 0.5444320590011676 1.033993487392955,3.1541774762627797 0.048710921261483756 -1.8119680884302884,5.699550629889837
3,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,10.859930895568487 -4.623203797155118 5.631368041955404,14.369936429681841
4,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.6756122640675297 -0.12706144012334544 2.030765202521686,4.952266353313137
5,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.715929648582685 -0.3293893987047296 5.676127330336667,8.197401776513415
6,-1.5832146118109782 0.15523836247477008 1.2507079370282352,3.637296714987538 -0.7775042858867984 -2.268420264660623,6.364590376546319
7,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.9608913689950345 -0.7016141796771898 1.0665228461020377,4.356260935982248
8,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.8253779048666576 0.056707687296815405 -0.48337506552436155,3.0793230610211495
9,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.424288720422622 4.673660521070855 2.880291587979193,10.886804303433065
10,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.584452917382961 -2.479440261933177 2.461202115842308,7.478203664950049
11,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.3917208877933505 -0.4452098030323973 0.24645129267830662,0.6530769273108411
12,-1.0566692317225062 0.628104284393565 -0.730429528267253,14.166608968860231 -7.084906388771545 8.82249207076583,19.557531641134297
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.6993034208363714 -0.35463185610020403 -0.13431906535298238,0.9133993295861788
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.2785323495403424 -0.4301275894009377 0.6389850438527223,0.869047896235292
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.5079412051896324 0.8879330334905247 0.39834437611421425,2.920295320735864
3,0.9504507502248858 0.20910475157789643 -1.304887779670217,1.9991256834894757 0.536130792597128 -2.5208765229523897,1.6386865993688855
4,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.260475631522704 -0.09163993865132597 0.2703025137134053,1.6537565725064014
5,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.1501657184223094 -0.12827499133541576 0.5541840977062557,2.1697597247651106
6,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.17491941268493538 0.5880156613878158 1.4377544080514546,0.2503230754184801
7,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.20315913842981845 0.03975291016049301 -0.4968125103535501,1.925442944390798
8,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.25894850044913476 -0.16406947081618986 0.082666682831254,1.9363801306521105
9,1.125527796586514 0.7774539872013634 -0.32807029736367843,-5.215070592608284 -4.756536206970627 1.6252403085919935,8.639656111535361
10,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.44938436362642276 -0.009654090221188186 0.10376282342598397,1.6000413261547177
11,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.44496518398286056 -0.25911212199106193 0.37924363832369506,1.1482487988673047
12,2.0281460358843417 0.8277299971979065 0.9971722018834903,-3.484865411933188 -1.4015660320765935 -2.203509924767994,6.753326742115507
13,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-8.128552745621638 0.022316515987351022 -5.714330382535165,8.21714258681799
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.052279020178092876 -0.05417719930661253 -0.12255167714956643,1.7761754730029522
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.5715685681406942 -0.3333418901848754 0.11072522486690671,1.0530421291143752
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.7478413638544891 0.3162620308608472 -1.0210511601423002,0.37418738856568473
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,3.6441764218235058 0.6046013409879458 -3.3253353230338183,2.791202617811739
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.24555019786358354 0.09255559215876537 -0.2993603752724593,0.9432197137891587
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,1.2865876099569944 -0.7997171891266117 -0.3085606410321335,3.1863480641043593
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,3.3613407591405307 1.3351089345166187 -1.225582126278077,4.259733648452296
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,0.9767037626159437 -0.5717598724970306 0.8468176620551866,0.40421879001003275
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,7.266040366330395 -1.4143990624963747 1.216764068875477,5.746539095437356
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,1.4649232333876063 -3.128390479744204 2.918444229967532,4.304935063655614
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,-2.6553694122990015 -0.7204380663811111 -1.3255681628444516,5.2501674695603
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-0.16600731178205275 -0.040205611483945386 0.033774579685902875,2.0368923803794634
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-2.9370793836312266 1.0035669626256172 4.947292741470362,6.7972779002780985
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,5.5746828644609 3.054567745263925 -1.5089904555514728,8.187685624343647
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0009492048704230374 -0.21602526066689162 0.8971421941751048,0.11239935930996636
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,1.958474000285605 0.26214273388357073 4.070386294603508,3.282860176520626
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.762748337981533 -1.4574827691718444 1.965308436584885,5.683527481410885
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-1.9347138049075256 -1.8480258549147124 -6.674029318737871,6.097618583837951
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,0.4317998195152315 -0.023657913432361812 -0.430916510173725,1.4920415011857573
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,0.6000657179321222 0.11823697113081529 -0.3160903564210271,2.8185329391917624
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.5718347633416554 -0.48394766001871653 -1.0543947783930763,0.607780354763662
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,2.05968287415979 0.018797907846622715 -0.8676072491459063,3.3870485584465553
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,1.7787321594546037 -0.27136337414219425 2.306859525445916,1.0759048471951194
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-0.8930263130320394 -0.016756328705861447 -0.6214750403723263,0.6804875950849665
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,2.1896762595838237 0.5829177001652345 1.5632641748919838,4.7300843001047514
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,432.8574380152695 -48.45088354180206 130.96975987051042,456.5168905922897
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,1.0111326392484257 0.2726818261909812 -0.6106202312044751,2.4761638828634225
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.7998037046008517 2.629489850586033 -3.584504113681515,5.808684540549682
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,-0.01305463942833601 -0.008216182842778742 0.028339437850980444,1.1310991717788694
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-134.6311924424767 32.20880605398804 -10.86396828194439,140.35004605569256
6,1.728382546845478 0.4439953450498987 0.247362103240496,12.617775031535725 2.4823952944585224 3.234633784789776,11.474220458870564
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.06204412305382609 0.006459952833823117 -0.10529711356479389,1.3295911124778508
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,-0.003724280387049795 -0.0038886977842674266 0.0021250820201646975,0.8130713945590325
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,2.5916807856173847 -0.7826591953267532 -1.0364627584685377,0.8738659044449657
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-13.588295046272686 -5.083310967528711 2.6862710299281627,12.572998104771658
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,7.873398068846751 1.3413673774224926 -1.5935160184275412,9.636545116882177
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,18.434030294861607 -1.8355031073402968 9.208724169645096,18.743065634976197
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,4.39256655941242 -1.8812727187852123 -4.394669898347226,3.984851039328438
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,0.7911547352168223 -0.37106280903512595 -0.6284346394515362,1.1970344589698887
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.1599313862748422 0.6442050943566856 1.288557960741517,0.142662068603055
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-0.535502911698051 0.15161756986914232 0.27930961936021736,0.4964173815223704
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,2.5185379008292945 1.1702610483332803 -0.2784695626873275,1.8233604844793292
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.07495444703870875 -0.15156896260770114 -0.9625732965141774,0.3481157125680723
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-2.4325719414008016 -0.03589145364758612 2.1069535589435513,0.9604265011354534
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.2062372524824074 -1.0726266173306378 1.3454805310500253,0.8514999728016842
1,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,2.2878430084009267 0.46091751486369326 0.7869020102760784,4.541550509259367
2,1.933393761196776 0.22538399326206593 0.009510405009429235,11.479565623254585 1.9096324040952772 1.984083349235943,9.892675484489008
3,0.8281278138379884 -0.7128107622896663 0.34572582375485794,-4.926018989250945 4.288593063416973 -1.806392670407676,7.921859609473524
4,0.7573828076600333 -0.4829897035929976 1.3574927623388051,1.6202390141433882 -1.0522305811204393 2.546343853293648,1.5754119861736415
5,1.4923161734346615 0.6597033465429162 1.3150421514544268,-12.07454249988958 -5.664059722569471 -10.93560902220542,19.342390953419287
6,-1.4231014081524735 0.008198818233434602 1.551011750493445,-2.8186953501598184 0.1875554123806813 3.38832936177403,2.3142141740887974
7,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-0.7493631766649217 -1.146837831918786 3.775317282017788,2.467736693941186
8,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-1.9819620930643909 0.26458826643923783 1.2527721132559744,0.09277392443126498
9,0.6475404019334752 0.59449251027997 -1.331433030984044,-1.2680491255252975 -1.0931037826353711 2.850032831894657,4.899195979749254
10,1.6166046332162294 -0.6775229796402341 1.3343980747415785,3.6113087778721282 -1.796329556403387 3.5722109769511365,3.199746765950623
11,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-1.7279079039968306 3.7486140523634863 1.5913997653357403,3.716315350694883
12,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-2.020859234533399 -1.522369900412633 2.841067817832489,2.860211994544753
13,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-2.7895730701159196 0.9218412827771216 3.2697385610988414,2.615286626754699
0,-1.8956553329586494 0.48868895694739123 -1.1129498407858318,2.112504408734795 -0.633562574913444 1.4130103850572824,4.868805611054671
1,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,-2.9678539240929624 0.868615764350937 -0.1789451220698086,1.1780506468509544
2,1.5762315415935233 0.2092796576284287 1.069374539624862,0.1496514391555036 0.03463594352968175 0.11473054088572442,1.7253916598485477
3,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.05048675669268171 -0.485637585805501 -0.5191477042191535,0.004178285819536444
4,0.3712252395078175 0.490331829528036 0.8088986527787063,0.652399777694306 0.8556783885035962 1.3811099382811929,0.734821736434134
5,1.8047373429757445 0.04298054037927235 1.409478776478449,7.62331450021267 0.4182215689631759 5.346549019020822,7.035422379570732
6,1.8445034203979604 0.7668637020642585 1.4968127151371902,0.13740632580941875 0.05917570282551819 0.1283261650816305,2.2995126075545094
7,1.100150548608379 -0.6759965343067005 -0.5572614048725637,1.3879085643504894 -1.0587788220307583 -0.5822474598354193,0.47953233296797304
8,1.9572275817419729 -0.08754001883756268 -1.583264909939205,2.045962027976815 -0.18317715159087525 -1.5537587605224106,0.13375677913019965
9,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-3.2781579150639004 1.2390797404316338 1.9152830598052455,1.5764650430503844
10,-1.402499155729641 0.7279358108222199 1.5992697717098476,-3.4527653333876085 1.7854991138440504 3.8875073616628995,3.2493172832490225
11,0.43961410095011866 0.47273358494465956 0.6851576174865506,-3.7717662960562746 -4.119456887617822 -5.338755505361692,8.666687227320864
12,0.4180941065267847 0.6394450322145849 0.575772333385479,1.2643979054161305 1.7614629320436614 1.8400902068544671,1.890411059194411
13,2.055288986604768 0.10444668422611947 -0.013637257030095329,246.19605637014246 12.691800234502953 -0.29180059521373525,244.4651982243383
14,1.0131699388289115 -0.509643779288385 -0.12114856608202662,11.827837725928573 -7.461549662829705 -1.7200658130197424,12.955407022610382
15,1.042895733022554 0.8799298311601967 -1.234978786499308,-1.5073680837587 -1.0278481460495872 1.5724148463200367,4.245576681100571
16,-1.0783979787569005 -0.1747278807945497 0.062480411251896184,-1.9001788450021742 -0.7039481802052517 0.10312401590535743,0.9782892312779551
17,0.8093389789326806 -0.7647667825300984 1.261798905938881,0.08947741834725766 -0.0787859624970364 0.1401670199100849,1.498942440395303
18,0.4200056846110254 -0.11000275319829056 -0.13509069984605704,4.428431050349378 -0.9217553917391645 -1.7661140722549837,4.403027765097207
19,-0.132270951051088 -0.5644887544039232 -1.5939341853059013,-0.21551886897688793 -0.4968843862639037 -1.6081244228974167,0.10817545596620183
0,1.3308392875675157 -0.35964650437234646 -0.964270844664938,-5.6220271386992895 0.3420674710927284 3.005064509489974,8.036813871094393
1,1.4838583968571766 -0.24347837710447917 -0.7093818763049647,-5.188417015176953 1.630430165241591 2.5306332726960608,7.650391530168174
2,-0.12659633345684274 0.8994127695902302 -0.2290840808823038,1.4853343735343043 -27.688761232540454 7.795435337666517,29.736760504111892
3,-0.5152978958674135 0.10203960223427966 0.5421259310170181,-2.209785876217381 0.26550742218671564 2.6135888105633422,2.6812254110851743
4,-0.13751052973387723 -0.2539755854827679 -0.6417800811016247,1.4032752659396448 2.397235457994791 6.781995874690437,8.032147303617071
5,1.460484835557716 0.6638897464897159 -0.4817960096003471,-15.660415350374237 -8.530548990375665 2.1983182277910434,19.617490644526466
6,2.0769060075051518 -0.4877662579694984 -0.5798268280524508,0.974457150115198 -0.22764106280973123 -0.27368558876397714,1.1733631401703413
7,-0.05754030238696606 -0.05661731797702407 1.2455012104683059,0.024133256452507083 -0.6936192057550252 5.084796074561216,3.8926375413974057
8,0.0922336742843144 -0.5522396119106671 -0.5281144273407505,0.36627813996332975 -3.9870329430595666 -4.172095079178788,5.015127175640137
9,-1.3397002974635253 0.6747855542755771 -0.7791194651460945,-10.422842950287864 5.2262296175126615 -6.140609641486425,11.487588973467268
10,1.8771304535371187 0.26277969148431246 -1.4074728795287645,-3.2539598566116696 0.19415792585708327 2.8201393077341335,6.648721796218758
11,-0.7264503008023167 -0.0025788608508626742 -1.3806294847743232,0.7082633716099841 -0.12020593368971122 1.7925809011184646,3.4844660427688607
12,0.47876447728642413 -0.0324900680022816 -0.9613084579311757,-49.93511485656662 5.498988845510936 110.29521685494169,122.27089152023412
13,1.1408197230267798 -0.5347057072386341 -0.8707527865257867,-3.3995776611828004 1.2607984204795328 2.90948570524209,6.174888382297581
