,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.0102714173684912 -1.071543903617285 -0.33255073387331907,3.8946608488970664
1,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.094628220525589 -0.8740287828161588 2.1488038739430575,3.3148357341012082
2,-1.759033352229458 0.5444320590011676 1.033993487392955,3.4408909796646716 0.05313872502139184 -1.9766752815403679,6.028657282817465
3,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,11.703870836882178 -4.982479227060888 6.068989281035567,15.386184399283804
4,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.85789778498112 -0.135717948808092 2.1691182433438647,5.181268044030691
5,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.954488433850384 -0.3460518047816892 5.9632584247025155,8.571072555842095
6,-1.5832146118109782 0.15523836247477008 1.2507079370282352,4.11502837286918 -0.8796236455684721 -2.5663602620612322,6.9362037257168305
7,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.1083137304781703 -0.7543624455186957 1.1467054197183715,4.532118306642028
8,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.9944315030047263 0.06832253489945851 -0.5823797682130282,3.274195434481717
9,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.744240146326585 4.875072993594223 3.004418414843851,11.284725832123181
10,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.847102416523381 -2.621490743131507 2.6022077090196807,7.808422032857238
11,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.4088677563309413 -0.4506950652219642 0.24948772617121384,0.6353899511072334
12,-1.0566692317225062 0.628104284393565 -0.730429528267253,14.643269041926876 -7.323290324148417 9.119340083181848,20.167565530221474
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.636995944886333 -0.3230343904126292 -0.12235132476320647,0.984058838799878
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.2315281568764183 -0.4143143015404157 0.6154932830682435,0.9239042195217133
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.567880640862759 0.9232276489302935 0.41417824087344873,2.991576870896664
3,0.9504507502248858 0.20910475157789643 -1.304887779670217,2.069351988166218 0.5549642680001302 -2.6094311567182324,1.7531092972106181
4,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.24655104521733 -0.08674102266709373 0.2558525989219183,1.6740164194366518
5,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.22238435979443807 -0.1899658066133255 0.8207057980442127,2.4525331803383836
6,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.17639520576878576 0.5929767427964008 1.4498847255451428,0.25414133542464673
7,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.2415638774322389 0.047267709401619944 -0.590728811341687,2.027157845901238
8,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.28029685486629335 -0.17759576351896497 0.0894819284901842,1.9625475598602118
9,1.125527796586514 0.7774539872013634 -0.32807029736367843,-5.376560493007306 -4.903827129436137 1.6755675076007666,8.863897094699242
10,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.4170474725007289 -0.008959399240218257 0.09629623714571459,1.633160346830792
11,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.4077613067895027 -0.2374475605537402 0.34753478950935623,1.2017103255150166
12,2.0281460358843417 0.8277299971979065 0.9971722018834903,-3.638897585059504 -1.463515701915069 -2.300905772841545,6.945682729779012
13,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-14.324121045181366 0.03932612438071775 -10.069782734162656,15.790171581858836
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.02819827706826148 -0.02922211762244262 -0.06610196854629859,1.8419947755018027
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.49676751823146764 -0.28971751201855 0.09623463960183125,1.1373371148618578
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.7453384137663238 0.3152035335427174 -1.017633804249966,0.3785529583930166
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,3.801050885963663 0.6306282124692238 -3.468484319268812,3.0040395096004855
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.27676300785419394 0.10432068189094683 -0.3374131994745726,0.993773692916773
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,1.3851375633700096 -0.8609738739587075 -0.33219574878808594,3.304764991321466
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,3.486414104672318 1.3847874863371343 -1.2711852554284686,4.401828487040421
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,1.0060497365576868 -0.5889389302230835 0.8722610871706185,0.446032307015719
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,7.541928625498753 -1.4681031537824178 1.2629640490374643,6.031295194698399
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,1.5499354584595324 -3.3099368089411803 3.0878069870617244,4.567363470138803
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,-2.858459982257848 -0.7755393177714821 -1.4269515682811738,5.483649143996306
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-0.11656803175300286 -0.028231822717920362 0.023716041390029245,2.0887348301362887
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-3.1019489835158787 1.0599010489658298 5.225003374470014,7.125081202652106
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,5.829317291794816 3.194091037885012 -1.5779165146375005,8.486020191480302
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0009672644938715843 -0.22013536901608233 0.9142112703160482,0.12849826739692619
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,2.0266282028109215 0.2712652083065325 4.212034298017505,3.4403025936490956
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.8698736652615504 -1.5139965371853983 2.041513100824825,5.826619677067493
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-2.01651529803013 -1.9261621011531718 -6.956213465060684,6.401623050702782
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,0.4036728052578165 -0.022116860290746828 -0.40284703381539977,1.531683513112779
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,0.6602140836828676 0.1300886073305041 -0.34777408338648935,2.8875400653817405
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,0.5620685649534324 -0.47568245971917605 -1.03638707888716,0.6295730750386984
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,2.1601287346015465 0.01971463733534515 -0.9099184018768897,3.4959867732877763
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,1.8518186947304325 -0.2825134557952367 2.4016463482886423,1.1921155842104154
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-0.9002949691456797 -0.016892714374808313 -0.6265334449072834,0.672015358809758
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,2.3132591245510388 0.6158169194499208 1.6514930464378077,4.885381932054223
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,446.00273461635163 -49.922271529638834 134.94713483988687,470.3293239174249
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,1.076477706256626 0.2903040564629784 -0.6500819381811953,2.5544285102730098
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.8623571836239596 2.7208796714812995 -3.7090861457721465,5.975350993600877
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.001007668329873064 0.0006341950146201583 -0.002187479337564426,1.1654548847141948
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-137.94032233029301 33.000473429359985 -11.130996163744003,143.76301804373028
6,1.728382546845478 0.4439953450498987 0.247362103240496,12.918799604269804 2.5416182542120307 3.3118030361501756,11.790515426368241
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.08154438601423403 0.00849029467396965 -0.13839164858955472,1.3677354089082239
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,-0.03792199080902951 -0.03959614913712177 0.02163836566047581,0.8657861923330534
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,2.6300676895915682 -0.7942516196493199 -1.0518144162046859,0.9166431145298486
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-14.137525712121874 -5.28877532180619 2.794848479961052,13.169261622905507
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,8.188755921418686 1.395093955445743 -1.657342054557821,9.962709720238857
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,19.18523206033667 -1.9103013556188264 9.583987188277465,19.586053254735017
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,4.794351210140147 -2.0533512728644987 -4.796646939853292,4.575423559635694
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,0.752967788817747 -0.35315258873488176 -0.5981017616669128,1.2472538209609343
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.1671847707965763 0.648233494066806 1.2966156842227448,0.13282957181391836
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-0.5388591271272039 0.15256781909507447 0.2810601668054872,0.49270209170141
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,2.5751273230727043 1.1965558269734355 -0.2847265388716692,1.8859286766123855
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.07503395938691465 -0.15172974831966624 -0.9635944028814435,0.3472320283102199
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-2.491530323612935 -0.03676135681726788 2.158019910206271,1.038098844251096
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.21281064753558532 -1.1068144200452306 1.3883650000802064,0.9050221400439746
1,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,2.3615107216245743 0.47575889129557847 0.8122399689626087,4.6208146832526165
2,1.933393761196776 0.22538399326206593 0.009510405009429235,11.849731051729307 1.9712096379637083 2.048061298158654,10.273136920398924
