,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,1.8432664535781802 -0.9825245058995435 -0.30492380609176833,3.70343423252775
1,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.0872418825676133 -0.868131006882903 2.1343041640682925,3.2975276462544216
2,-1.759033352229458 0.5444320590011676 1.033993487392955,3.291362728175029 0.050829514794797574 -1.890776367463081,5.856997758620589
3,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,11.266471254500123 -4.7962729399685875 5.84217770612987,14.859479970728396
4,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.76390555441753 -0.13125437673668147 2.0977790012199855,5.063187398319335
5,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.833096465365812 -0.337573046512101 5.817150165813258,8.380928060623226
6,-1.5832146118109782 0.15523836247477008 1.2507079370282352,3.8612655833997054 -0.8253796088919696 -2.408099691325437,6.632559797175432
7,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.0322832104343767 -0.7271584444228596 1.105352651324433,4.441422386170675
8,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.9034951190578482 0.06207473980540907 -0.5291237017619012,3.169349553407215
9,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.580046445758466 4.7717114939204786 2.940718611084252,11.08051916315785
10,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.712048421426517 -2.5484485897900693 2.5297028355973787,7.638624197904945
11,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.404149026270076 -0.4491855492698886 0.2486521152857983,0.6402541237118738
12,-1.0566692317225062 0.628104284393565 -0.730429528267253,14.40099951599802 -7.2021281663002705 8.968462694231974,19.857506733973693
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.7077077627227357 -0.3588938792416002 -0.13593333365690868,0.9038710559754304
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.2949696727670548 -0.435657481717117 0.6472000911345671,0.8498652734697321
