,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,2.208932661702336 -1.1774371891765127 -0.3654144268177713,4.122138423950918
1,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.1106342567642622 -0.8868091370122908 2.180224434852422,3.3523420037057843
2,-1.759033352229458 0.5444320590011676 1.033993487392955,3.6050522658381707 0.055673917649314536 -2.070980378238507,6.217166697536111
3,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.17587083071742 -5.183415327367635 6.313742742788401,15.954554885432895
4,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.953451961367583 -0.14025569570980737 2.2416429880414586,5.301311070042305
5,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.084861598579678 -0.3551578647820375 6.120176516914692,8.775284984822363
6,-1.5832146118109782 0.15523836247477008 1.2507079370282352,4.417238940358532 -0.9442238225337042 -2.7548355581960378,7.297851644158079
7,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.1869796410746805 -0.7825093990952298 1.1894915690110768,4.625959091265145
8,-1.8342104910381427 0.2510787396845727 1.0564430966294913,1.1021846796082448 0.07572572973668645 -0.6454844363826935,3.3984882821510736
9,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.91161684477672 4.980438220776423 3.069353079257362,11.4928912177575
10,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.984689912429676 -2.6959031066209715 2.6760727136648432,7.981405184410863
11,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.4093031864568764 -0.4508343587845616 0.24956483381423986,0.6349412256378497
12,-1.0566692317225062 0.628104284393565 -0.730429528267253,14.89384071580039 -7.448604494743081 9.275387773265404,20.48824961192781
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.5670947506045638 -0.28758598628196336 -0.10892501680699043,1.063364760743474
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.1574354985858146 -0.38938783291073864 0.5784632458353122,1.0103784047863862
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6186270765650907 0.953109076957414 0.42758364235746965,3.05192793830266
3,0.9504507502248858 0.20910475157789643 -1.304887779670217,2.09204169547264 0.5610492534827616 -2.6380426396949215,1.7900828750368554
4,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.2230360880858619 -0.0784680444375411 0.2314505004018317,1.7082515352092378
5,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.2852761014567604 -0.2436893708299973 1.0528067294185137,2.6988154411698853
6,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.1759043933952024 0.5913268095040349 1.4458504811876185,0.25280152591340993
7,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.27492551990509406 0.05379570704071234 -0.6723125465088966,2.115518317549347
8,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.3003746363102613 -0.19031702265335415 0.09589155661201129,1.9871577987086382
9,1.125527796586514 0.7774539872013634 -0.32807029736367843,-5.468544288586479 -4.987723262068944 1.7042336147335153,8.991624690293028
10,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.33822841600339437 -0.007266135423841321 0.07809692158444947,1.713898106091185
11,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.356521804755428 -0.2076097741836366 0.30386338357291925,1.275341901504907
12,2.0281460358843417 0.8277299971979065 0.9971722018834903,-3.73657851424321 -1.502801658800737 -2.3626702519459055,7.0676706384076375
13,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-17.221535068983535 0.04728082288703977 -12.106649751592583,19.33184848758045
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.006211558261170277 -0.0064370913757306894 -0.014561039591511967,1.9021167167686839
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.404182670522511 -0.2357215264832056 0.07829894710007161,1.2423450004053505
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.7336991823982374 0.3102813038720322 -1.0017423983102143,0.3988539281220283
