,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.8381238759313008 -10.916718694232992 -0.15025505517409607,10.321073392063171
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.937283660948314 -0.4996044733919409 -0.15505088845358542,2.6661219493738573
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.5219597970681757 -0.03586131004855669 0.3056810094155263,1.5388242874231546
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.9542207866919825 -1.560388434647069 3.8362223065722794,5.329099212976651
4,-1.759033352229458 0.5444320590011676 1.033993487392955,1.2499408943367973 0.019303217064909322 -0.7180486925693847,3.521269390077883
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.963393606669551 -3.678289436388436 -13.625892169253651,12.546783838966649
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,13.139042048937819 -5.593448952462261 6.813190821176354,17.114384734029663
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.2868827265645137 -0.10860116636958131 1.7357230439267841,4.463915179169202
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.00531989023543 -0.34960218489793815 6.024439536451013,8.65069334303701
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.4895620887220469 -4.53191998544343 -9.502494556508918,9.23614696319855
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,2.026353742180457 -0.43315100271478824 -1.263746747190732,4.438205505178339
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.3265086630739114 -0.47462970269193167 0.7214840235875297,3.599578444738077
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-1.011306624403878 -1.4276627945781981 -16.77448601645737,15.360182409691511
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-6.735691608214561 4.24018207492726 2.6131467415855107,10.030401125100976
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.0758111166030835 4.568750945350108 15.11445064027973,18.47276793727813
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.843882818499002 -2.0789127937603946 2.0636208281402117,6.547116703173958
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.5418440529660213 -0.2019954928607855 -0.681998129284513,0.31944697887332113
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.4030380467151207 -0.7687289203180034 0.42553922856407683,0.4714407742168445
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,20.06678953372268 -9.619463354593432 12.856080869031052,28.155243363233954
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,19.53015444351376 -9.767285614694146 12.16272949281488,26.421865750401402
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.12049011332144147 -0.061103136715392796 -0.02314320068140756,1.5705621119861706
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.3275365614960546 -0.4466137295964369 0.6634763745075518,0.8118602021880322
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,21.17898131554546 0.45498645026979034 -4.890225554029367,23.798852314969473
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3796106718253947 0.8123671431312686 0.3644440184123017,2.767691119976081
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,1.3556613960035644 0.363564844739561 -1.7094748041519217,0.593080305026936
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.11439362582853024 -0.04024570280047679 0.11870931815572651,1.8667343691980578
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.23956456994956954 -0.20464153508147298 0.8841090791875797,2.5198081270446906
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.15430588613666849 0.5187204570376449 1.2683210203825919,0.26855384395376497
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.07787514928871095 0.0152381223770475 -0.19043863205615658,1.5936535302446444
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.21146889390737786 -0.13398644694713632 0.06750929992255808,1.8781835194939205
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.85434882431082 -6.251681118996089 2.1361099146403886,10.916013711202169
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-1.0051694210690463 2.498261979656763 10.231920028364819,12.19858270155091
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.825644459839595 -0.4807892745321888 0.7036964243104263,0.6012934975812528
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-2.6156725505476857 -1.0519883451823444 -1.653911914456896,5.668036617937873
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,0.34368572977794587 0.35616448467450285 0.805662815660606,2.860988118535752
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.1938348042182759 -0.11304550953863934 0.03755000446213891,1.4828801227197645
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.265281867479452 0.11218767269997403 -0.36219761522487004,1.2159336116103743
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,2.43913326420305 0.40467394321363404 -2.225725393663175,1.1700138929852928
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.13054615613569154 0.04920695194023914 -0.15915420403313593,0.7570095148509632
19,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-0.2891086231107829 0.0007937325882775419 -0.20324186120151902,1.3700163225632593
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,16.162025272629762 -10.04599245445304 -3.876117599692164,21.06085056643693
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-6.6332762010795285 -2.6347064923706753 2.4185660821806967,7.095072770321717
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,-2.6336484850309017 1.5417310546343996 -2.2834150313865544,4.828175329909618
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,4.770188114317552 -0.9285593330978893 0.7988110726956759,3.1711346329299035
4,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,-47.211500841039445 -9.302555862082889 24.869109635927956,52.03579435442656
5,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.1093524807476243 -0.2335257247003905 0.21785381595220962,0.1217223562590043
6,1.9008001216671224 0.38543904352841685 1.0371873162447982,-4.235634678005808 -1.1491856625241847 -2.114441196994622,7.06708336759428
7,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-19.655524183936567 -4.760406998760171 3.998962820927546,18.404843042665608
8,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-0.40668257269584535 0.13895885705634217 0.6850266803116383,1.7678791254781039
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0006079930447774882 -0.1383703982926027 0.5746454018844026,0.23498729738305082
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,0.17033309534741764 0.02279917082315691 0.35401108042201135,0.8497001995932268
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.6077840497358724 -1.3757316458972422 1.8550730529013044,5.476535056753759
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-1.7688629389919137 -1.6896062026154446 -6.101906693235768,5.481259024082248
13,-1.8268667372463392 -0.07476423848819935 0.59091091963939,37.53773549080124 2.0426590924761254 -12.58907041340901,41.56642031826201
14,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,5.529744368844647 -0.3029695883802987 -5.518432472367651,5.721643185561775
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,2.9297487679787073 -2.47946636266129 -5.402105644834048,4.735108678824169
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,8.57055894200813 0.07822008873654315 -3.6102058043046314,10.450952393625643
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,5.358720495889775 -0.8175263864883723 6.949790250565874,6.9304757021816465
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-2.094708027738924 -0.03930412323062294 -1.4577496061536286,0.8364199197185055
19,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,4.403354865744618 2.4127553209531656 -1.1919279762396555,6.815434979235675
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,1.7886866138625095 0.47616951716289097 1.2769877242453926,4.226225616518548
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,265.1157736877925 -29.6751132080324 80.21613161363747,280.262172736605
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,0.19735855298533053 0.05322357181788828 -0.11918428955439421,1.502187583983191
