,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.65111041978756 1.0369539059955242 2.610062677159989,3.3749980902197003
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,-1.765694306850024 -0.6060312641557937 3.957615933957616,4.002260988395696
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-1.8591183021318507 -0.4742996510031301 2.2081930022868743,1.361367714437195
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,-1.6382972690865962 -1.6022341705699725 10.486238099789219,11.357364334354296
4,-1.759033352229458 0.5444320590011676 1.033993487392955,-3.3079556039945497 -1.1311880165018207 5.730828010115116,5.221792538322102
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.6049010747402316 1.5717419879964523 4.781348784785197,6.682611695218255
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,-2.4082048030600784 -1.334839521718837 8.85308703098271,9.57068751872885
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.906906313221271 0.4723513442981212 4.932122233340507,7.847062781108243
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,-1.18979810773981 -1.5809917470323565 8.418600591556547,9.187360072397999
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.45417111253382664 0.06718344386543851 3.557321556242028,4.845425111339564
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,-2.9107046696972008 -2.022403424345238 5.491062408119475,4.948227929874985
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.5228111541596387 0.439587601576547 3.6748325750918687,6.231378320684434
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-1.5730109005553132 1.5638256359850837 7.25024422020625,9.036833647145118
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-4.019431017159135 -0.2427926145826358 6.10328375528124,8.512901220506219
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,-1.2595886984054148 0.2532700317016631 7.255029791675869,8.695837072719806
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.0547287978159128 -0.28068353876704244 4.875290010366401,7.1978238336008955
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,0.8891943227813478 0.8111718094769034 8.682947996910839,9.710254357227146
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.2128000253268236 -0.7077370733211219 0.37962623866120865,0.8587095570921054
