,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.193742934186663 -13.028759820577045 -0.17932467443033204,12.462801730611174
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.6479418144410813 -0.3453753036353271 -0.10718628541296833,2.334879336131864
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.267793164721765 -0.01839876128949655 0.15683063210332923,1.8263581111179192
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.5454390517497691 -1.2339881139450606 3.0337655827549166,4.371207169621434
4,-1.759033352229458 0.5444320590011676 1.033993487392955,1.9035792765141382 0.0293975532293565 -1.0935417961730043,4.26689561545461
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.131708011005473 -4.320923029942262 -16.006470479236242,15.017983134451391
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,11.432977937381061 -4.867156846684879 5.9285189933594555,15.059982559677394
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.4307150571916916 -0.1154315817145923 1.8448904655139562,4.644607768480353
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.0460511400016 -0.35244710474804725 6.07346396582646,8.714493494064346
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.7388097340040445 -5.290243786465583 -11.092542000954051,11.015271552428214
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,2.554514205916967 -0.5460499648750702 -1.5931369489841969,5.069522543872598
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.6045675984307823 -0.5741202175246368 0.8727194320400129,3.9312291207202983
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-1.3227223622547668 -1.86728877135641 -21.939921319487954,20.55362719208944
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.141383641026076 4.495569076815872 2.7705370847442925,10.534957221727
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.963755357912353 5.236447161385214 17.323339157224446,20.945307388811983
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.157252563864372 -2.248394644164954 2.231856012192334,6.94110276700977
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-2.6278815667029733 -0.9796549936098027 -3.3076127765216237,3.1954827651180344
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.574951367619551 -0.8237237805732528 0.4559823012643039,0.6466403127517487
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,22.47157443819906 -10.772250661472537 14.396741329570506,31.235075912146357
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,19.413534551659783 -9.708962481849143 12.090102509643621,26.272613764109142
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,0.11657897373663131 0.05911971342715952 0.022391966527757302,1.8399851642085336
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.0744410131311688 -0.3614665855719347 0.5369842524044165,1.1072468048345563
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,26.206187575982458 0.5629855413087631 -6.051007187191322,28.95941613753141
