,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.025666390559885 -12.030543993070385 -0.16558547509409707,11.450543628257783
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,1.0598540757529649 -0.5649387260769305 -0.1753271959423528,2.8064503084743486
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.5258753686615368 -0.036130329861415005 0.30797412831820886,1.5344170354237585
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.0924993326337202 -1.6707998299800106 4.107669241368232,5.653126006600308
4,-1.759033352229458 0.5444320590011676 1.033993487392955,1.3957425590728423 0.021554876479827755 -0.8018068088231183,3.6872990556939826
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.0600905912264131 -4.047483807581852 -14.993539489665778,13.966478802322412
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,14.350159674254888 -6.109036358865758 7.441210387400531,18.5727915665245
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.5125442967174085 -0.11931754873528815 1.9069981088408008,4.747407782984389
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.451091607214909 -0.38073761073270945 6.5609736271575505,9.348936537822786
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.6383794698109084 -4.984689607229779 -10.451858375860727,10.2984006779855
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,2.2274708182137752 -0.47614155334449165 -1.389174526828125,4.678562115402467
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.4832998904161627 -0.5307301833670507 0.8067622948232238,3.7865857699256815
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-1.0602011421736848 -1.4966872449222695 -17.585496628688368,16.17559028710398
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.244601958577722 4.560545991636746 2.8105811701731858,10.663329109527075
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.603949047375695 4.965888154553158 16.428269409943038,19.94340292429569
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.236614235151861 -2.2913163464030553 2.274461993060614,7.040880784515046
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-1.2216736589586628 -0.4554309888713834 -1.5376733313675743,0.8906231833385028
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.5715782578004562 -0.822644726884156 0.4553849779916899,0.6431606960551545
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,21.751535240466612 -10.427083804321912 13.935437734425694,30.31291376334342
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,20.9051291833912 -10.454928461360572 13.019017950182246,28.18158104919223
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.06484850205964728 -0.032886074864649714 -0.012455809490785973,1.6337897097229341
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.3585679413487142 -0.4570533970922246 0.6789852410787347,0.7756484544523026
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,23.341158454633067 0.501436337859326 -5.389472129696503,26.018383723201804
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.4775306867676996 0.8700261656501368 0.39031099991466184,2.884131407632157
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,1.4829781061144356 0.39770897547948275 -1.8700198404889128,0.7990814628117843
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.13827170739240932 -0.048646434634135885 0.143488240589427,1.831861923249069
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.2622433923910474 -0.22401430393139585 0.9678048979391357,2.608617454198366
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.1635082152055252 0.549655351745293 1.3439597901452134,0.2439508905761914
