,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.4269243812713914 -14.413637246886749 -0.19838578976432428,13.86718544889953
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,1.4495408527138385 -0.7726551998649829 -0.23979143820308454,3.252617500462601
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,0.38216889647708 0.0262569595674995 -0.2238137394843702,2.569424057767351
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.1659346102990438 -0.9309648601911622 2.2887814879940844,3.481925126765925
4,-1.759033352229458 0.5444320590011676 1.033993487392955,2.857092668060117 0.04412295028989178 -1.6413029321187702,5.358744215924679
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.9031776200322452 -7.2664361553487895 -26.917858754683593,26.34552702203759
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,3.4428055179772894 -1.4656439066361104 1.785251228119361,5.438970425772271
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.186413177658972 -0.10382999464790811 1.6594675765070572,4.337698344651787
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.676507896128078 -0.3266359421639154 5.62867902147892,8.135652843944376
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,0.29895642224313007 -0.9095603298434383 -1.907159021102628,0.7403529981765169
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,3.409569369141185 -0.7288255551471283 -2.126396842703689,6.092150489292079
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.3062635961117446 -0.4673859429030096 0.7104727932983769,3.57543247994723
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-1.621889530210554 -2.2896234270811933 -26.902190283577482,25.542807801452952
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-6.1858346640344575 3.894041887089183 2.3998268680523958,9.346548806967244
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,7.4375702978436795 5.592735797287137 18.50202170425909,22.264676424582934
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.015634556748058 -2.1718024324034313 2.155827193697016,6.763052595229152
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-4.328329477931928 -1.6135695157542824 -5.447900721098584,5.998793687543429
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-1.4807983889310232 -0.4737055862630432 0.2622254795116601,0.5615913615770051
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,23.24422891960242 -11.142639828964002 14.891753672229889,32.22462353892799
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,16.962917190576913 -8.483376695149238 10.563939665440108,23.136277919212798
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.8153851664538313 -0.4134994144176458 -0.15661552653321195,0.7818633850039346
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.5244478790329083 -0.5128592104936076 0.7618887353028181,0.5821105929102635
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-0.5521817002608513 -0.011862477612235977 0.127498722476372,1.4947800246059026
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3625124719250996 0.8022990738640801 0.3599272827806212,2.7473599051155317
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,1.9123106687120905 0.5128485132155296 -2.4114036997079435,1.4972682648152693
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.4117393310329182 -0.1448571861237845 0.42727289121928075,1.4344018660059856
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.06674795232860545 -0.057017627568827195 0.24633221299511235,1.8431995478462018
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.17530079856380332 0.5892977424694077 1.4408892186484845,0.25124905194303204
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.23474473028167972 0.045933381317033145 -0.5740530287974037,2.009097134657237
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,0.08524125091352185 0.054008758130803435 -0.02721240494223906,1.514533470663353
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-4.582908535884778 -4.179956914690234 1.4282314210026876,7.7618788922533835
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.5644222402070573 1.4028228412303927 5.745422714796682,7.560327682470152
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.3619874284969786 -0.21079251615234862 0.30852173237877517,1.2674877050602054
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-3.160308350312079 -1.2710335439405906 -1.9982897449622774,6.348043761211332
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-0.19164481653858154 -0.19860317554384402 -0.44925083912850233,1.39605291416782
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.639589867560954 -0.37301228108012735 0.12390242545816367,0.9769230638362812
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-0.8255552434466283 0.349127222028138 -1.1271563460171914,0.23865223432637975
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,3.526220652217985 0.5850314277275233 -3.21769989548539,2.6312879593355754
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.09962422916658796 0.03755150516717048 -0.12145600732159807,0.7069632699509071
