,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.3766594949492035 -0.20077248378764606 -0.062309193864815766,2.024345038031501
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8619117326307653 -3.290826095675397 -12.190569095472263,11.056894063979254
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.226909013245966 -1.7781220489228247 4.371521421477718,5.9680871993913716
3,-1.759033352229458 0.5444320590011676 1.033993487392955,0.7447164440705699 0.011500882351184318 -0.42781436420121427,2.947823074151555
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.721501895106226 -5.415697064055064 6.596677263113117,16.61159144155102
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.0248493468590416 -0.14364626718513582 2.295832949701546,5.391006430861894
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.1734976394815195 -0.36134874852963544 6.226859502392855,8.91412173628676
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.5005375958405787 -4.565312430402556 -9.572511575227653,9.314489578517092
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.3046858121105327 -13.687655668284748 -0.18839355627333523,13.130975143557412
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.617722658658364 -0.34580250087938535 -1.0089017061435597,3.9500477333502397
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.3149113804112034 -1.1860875444934846 1.8029702083007868,5.9715666324873915
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.7449679360485738 -0.051183110808401586 0.436283698385654,1.2893445036505178
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.8339732811008073 -1.177321097646082 -13.83306783950986,12.402818190145355
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-8.057488553816922 5.072265852130113 3.125944770703423,11.674311011426031
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.777955035015938 4.344775869724257 14.373490963183478,17.64336798809554
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-10.032685741675985 -5.426044374654529 5.386131741339731,14.328063299051466
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.28234623591223157 -0.10525660800055983 -0.3553782747058073,0.7085282711637374
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,18.328657426371787 -9.166401245573034 11.41447718133482,24.884171418845856
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,19.244131307704063 -9.225103776284103 12.329032899374749,27.101658067938338
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.16746655814016023 -0.08492590566327865 -0.0321662255568038,1.5171855152171143
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.2875113800808244 -0.4331483410955846 0.6434725847629913,0.8585691816698239
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,20.41128743798744 0.438494140888149 -4.712965082348864,23.01079545599293
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6176610320090368 0.9525402332450787 0.42732844778180884,3.0507790362780587
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,0.22474000803354396 0.06027136744348853 -0.2833947933833722,1.2618460201617407
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-0.013885347033801409 0.004885110913797829 -0.014409195152262707,2.0543997764793938
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.17604449883445394 -0.15038123747478616 0.6496893083703159,2.271083806173252
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.15052340961241442 0.5060051420194126 1.237230861705391,0.28500231096616313
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.08672170170432889 0.01696916044959593 -0.21207230282059372,1.6170802642105757
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.27582247282540145 -0.17476080022547105 0.0880535273973077,1.9570631343173288
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.218301817181677 -5.671558460055829 1.9378903094042172,10.032754976194763
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.8589549937386638 2.134858619964138 8.743559662361534,10.659779187797868
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8003857668044589 -0.46608063262795596 0.6821684509076457,0.6375767649532516
