,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.09880490159603388 -0.052666415608359454 -0.01634487873237225,1.706340056625806
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.9102068597447928 -3.4752195301581907 -12.873637978014534,11.765922631968595
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.127536129840426 -1.6987756930558315 4.176448032337259,5.735227445540898
3,-1.759033352229458 0.5444320590011676 1.033993487392955,1.0850662970593736 0.016757008556846812 -0.6233338228108646,3.3337782750347538
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,13.048919477332877 -5.555082684825754 6.766458169332131,17.00586091867088
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.655313292417704 -0.12609746765039492 2.0153584689575426,4.92676519150544
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.129969043319597 -0.3583084448812241 6.174468166487296,8.845939886225263
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.3929453298950845 -4.237968210239258 -8.886138761895198,8.546503109472711
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.2651968984852924 -13.453128840559822 -0.1851655861820815,12.893145368420784
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.906449139112449 -0.40752033519217695 -1.188967576631233,4.2949350470360255
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.8526750708435404 -0.6628939882092785 1.00766433097771,4.227174628234595
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.6658941464428807 -0.04575033667197952 0.3899748524539395,1.377407166423045
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.9040762733763946 -1.2762855773057042 -14.995862223786567,13.57191583397231
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.624366051654476 4.799611108305869 2.95791263368384,11.135639173075585
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.97062908440978 4.489658541094185 14.852795265660578,18.179881615200863
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-4.137852233046275 -2.2379022337962446 2.2214407813855157,6.916711568715109
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.5938139225648864 -0.2213694794646241 -0.7474105918769705,0.25695354573701623
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,19.09366336588268 -9.548990719186843 11.89089739242833,25.863237611426115
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,20.374730969281607 -9.767081953460078 13.053368033069832,28.54962675737804
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.1521142123655334 -0.07714039980798558 -0.029217415821313892,1.5346290133684124
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.313198898059471 -0.4417902109628749 0.6563106954357124,0.8285918661202857
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,20.849772160950025 0.44791407495513086 -4.8142111793794715,23.460910859146757
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6403030514147274 0.965872713918765 0.4333096631389365,3.0777070124981596
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,0.5875294704914018 0.15756520127284174 -0.7408685011335461,0.6726707419607781
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.06286390076917113 -0.02211663323817585 0.06523554737309818,1.9420581167146784
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.20088733833797345 -0.17160255919549425 0.7413713962620482,2.368357025333976
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.1593245062493437 0.5355912387279784 1.309571691640739,0.252126553082924
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.07705586197254961 0.015077809356788045 -0.18843511800609308,1.591483973652067
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.28767977730409106 -0.18227357464876678 0.09183885160993421,1.9715971179687033
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.5575862300556125 -5.981011336222651 2.043625925842709,10.503905828285083
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9153745067824364 2.275084457911037 9.317870752017646,11.253546887577436
