,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.3789272516394601 -0.20198127621007067 -0.06268433930292688,2.026940740777975
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.877850887000042 -3.35168265807688 -12.416006753768194,11.290897456974857
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.2973195735591863 -1.8343428325404971 4.509740482461639,6.133079829120721
3,-1.759033352229458 0.5444320590011676 1.033993487392955,0.7668946916126141 0.01184338776753084 -0.44055501595778757,2.9729205277181836
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,13.07404617677069 -5.565779424369306 6.779487505667195,17.036117988995255
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-3.1062135714340333 -0.14751015123435204 2.3575876509398577,5.4932230512855975
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.2765464982522365 -0.36854631171590907 6.350889860607435,9.075534319886494
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.52762693117435 -4.6477304115803815 -9.745324956756082,9.507852036203293
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.3396542772532953 -13.895335304097769 -0.1912520081590751,13.341580227916179
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.6582087144725182 -0.35445675275398525 -1.0341510593422094,3.998399045112653
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.394464005327125 -1.2145517677309796 1.846238638812417,6.066476843502692
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.7508867587825498 -0.05158976422956122 0.43975000310497525,1.2827739098261413
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.8581385413963043 -1.2114352250656617 -14.233895650906637,12.805818716229187
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-8.23177924621132 5.181983504407437 3.193561755181105,11.891075367230734
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.944979837014539 4.470371400490965 14.788989087970767,18.108459590241296
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-10.30138861064892 -5.571368740251628 5.530387137036238,14.6658940027809
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.3065985311734685 -0.1142976859776693 -0.3859036997030554,0.6701459027205774
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,18.990835321352026 -9.49756506953127 11.82685951226109,25.731636689451566
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,19.917597522672704 -9.547944834868016 12.760498835051553,27.964171839688532
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.16634926958775004 -0.08435930452658343 -0.031951621781650175,1.5184549741376978
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.3012584714563173 -0.43777317775047336 0.6503431076626072,0.8425262310897431
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,20.620337455644133 0.44298514657181903 -4.7612347192678355,23.225390440701435
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6402229042455134 0.9658255202225912 0.4332884911104728,3.0776116934818827
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,0.2340655774471571 0.06277232321752117 -0.29515423862090523,1.2466686485532563
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.0012831246992052892 -0.00045142598572379136 0.0013315327409915544,2.0321835857435606
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.17694356865626001 -0.1511492434805096 0.6530073106627652,2.274604068558434
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.15397766140015892 0.5176170844470329 1.2656231691006523,0.26985315084920913
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.08687356365182386 0.0169988758461182 -0.21244367137406012,1.6174824153908998
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.2611346302681437 -0.16545460014467872 0.08336458260693336,1.939059736798104
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.327146498884521 -5.770832987650829 1.9718109938778001,10.183902513928349
