,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.9322181320728602 -0.49690437203339144 -0.15421291934631245,2.6603226192443605
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.9420729778965927 -3.5968861106347587 -13.324340875338264,12.233762989587337
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.9646374290909001 -1.5687058205012228 3.8566706388193013,5.353508420330076
3,-1.759033352229458 0.5444320590011676 1.033993487392955,1.492655460669352 0.023051531869201357 -0.8574799871308028,3.797761142414127
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.843718164619023 -5.467726006662449 6.660051956834441,16.758761690061043
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.22817284745834 -0.10581310851498119 1.6911627834083856,4.390159715575971
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.9778940643794645 -0.3476865973127009 5.991429612364278,8.607734394516015
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.4595618618108455 -4.440645758651477 -9.311111468099153,9.022007048420631
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.1912649842961494 -13.014043140027193 -0.17912211762641198,12.447877904324166
9,-1.5832146118109782 0.15523836247477008 1.2507079370282352,2.2697626690338404 -0.48518180984465425 -1.4155500740951201,4.729112359174758
10,1.634958907181415 0.6915897345533922 -0.959767603724756,-1.3168543688285732 -0.47117536052672715 0.7162330823378258,3.588063904454287
11,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.5340820010799293 -0.036694167519532694 0.3127802679780967,1.5251825265323231
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.9510744189036986 -1.3426329166431232 -15.775417816445618,14.355697615944802
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-6.469886818633905 4.072855426118815 2.510026385103717,9.699821919999726
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,6.001185330645922 4.512635535638376 14.928808305997915,18.264967502843273
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-3.7846351302763717 -2.0468694711975988 2.031813208291093,6.472627226017507
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.8997382151828105 -0.33541581424892314 -1.132465653616652,0.3900550401520776
17,-1.0566692317225062 0.628104284393565 -0.730429528267253,19.21406607071674 -9.60920568626748 11.965880185489969,26.017330867800382
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,20.646349313879977 -9.897288268122843 13.227384280053467,28.89749092918393
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.1400269972407221 -0.07101071216872365 -0.026895757739985877,1.5483629664617622
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.3133082797429838 -0.4418270094684981 0.6563653622260062,0.8284642195995718
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,21.053038229411637 0.4522808244966569 -4.861145302765682,23.66956856541794
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3996407280880776 0.8241616007381706 0.36973524610608144,2.7915089065171466
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,0.9170966654105694 0.245949399867905 -1.1564492779043414,0.15653757340623653
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.14857205232683796 -0.052270278340207345 0.15417718339614989,1.8168254795763747
