,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.3208781732151082 -0.17103911807222055 -0.05308152474569763,1.9604981554356375
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.3541389871378582 -5.1701766518982115 -19.152454088530945,18.283861412094005
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1628686158297166 -1.7269876550206538 4.24580727353549,5.818021787309732
3,-1.759033352229458 0.5444320590011676 1.033993487392955,0.6515102927263128 0.010061471432368347 -0.37427058831917265,2.8424426636322164
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.359081081059566 -5.261410144572706 6.408745589367877,16.17517235642954
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.8087877459458186 -0.13338577520874806 2.13184417351442,5.119572021765195
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.0276187012320905 -0.3511596703765919 6.051278548048691,8.685621499685567
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.7942913811490706 -5.459043991187216 -11.44648095655279,11.411300154220692
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.1781072893591276 -12.935898866851247 -0.17804655889796422,12.36863376160972
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.0770814050301643 -1.1009911002344979 1.673615208711105,5.687826912801448
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.8058957420676183 -1.1376840015629535 -13.367347281052734,11.934573292307089
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.60325417654919 4.786320981679472 2.9497221714642134,11.109382468869656
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.447081084668496 4.095972764356038 13.550394607041854,16.72202760398914
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.474876728615984 -5.124360804035661 5.086667280057206,13.626749671160535
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.2854876024917109 -0.10642768644463403 -0.3593321911857876,0.7035463580527834
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.3398919588447873 -0.7485285643489321 0.4143570762232459,0.40881764183750735
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,17.64247400395567 -8.823231943446373 10.98714500772403,24.005983988301747
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,18.362193354108484 -8.802327137730106 11.764006509187203,25.972153738120777
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.32548205406273445 -0.165058973716336 -0.06251713346202116,1.3376782809672214
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.437633093686212 -0.48365272670071857 0.7185004319550252,0.6833919142684052
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.5210932154336545 0.8956774364634542 0.4018186689429217,2.9359358003241174
3,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.03355831907706271 -0.011806410770504608 0.034824363221616424,1.9849337973549235
4,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.14264090075663508 0.4795070044652063 1.172440386594921,0.327939354508725
5,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.0433743379608319 0.008487219297907484 -0.10606913326071368,1.502294172823873
6,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.235302326973427 -0.14908728261174706 0.07511788173953608,1.9073964444948748
7,1.125527796586514 0.7774539872013634 -0.32807029736367843,-5.995744110450392 -5.468569109977205 1.868531755278381,9.723701902162187
8,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,18.052577348391093 0.3878221508197096 -4.16833905983925,20.589525001031223
9,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.879270441404241 -0.512016755641372 0.7494018257425504,0.5242699410430726
10,2.0281460358843417 0.8277299971979065 0.9971722018834903,-1.3266405004296904 -0.5335569792200044 -0.8388460281094056,4.0593913185679895
11,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-0.3401533837264834 0.0009338733060657578 -0.23912606292643807,1.3077999035604255
12,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.32606254661533646 -0.1901614463524797 0.06316538523471144,1.3314045604652431
13,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.16705545287628898 0.06296845410365168 -0.20366419371463773,0.8161122314201835
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,14.756898276944383 -9.172593548184238 -3.5391278112278344,19.372429147037888
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-4.98154920620787 -1.9786482030589725 1.8163280981557415,5.218558738286995
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,-2.066319028269161 1.2096178486883988 -1.7915313891005082,4.007249746059402
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,4.535798385520983 -0.8829332980148944 0.7595603961601188,2.929401942339575
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.17309072169999581 -0.3696407795008642 0.3448341909617379,0.31758816568468956
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,-3.282748777995186 -0.8906546754209198 -1.6387577738042252,5.971455140892357
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-17.454486221627093 -4.227333628532892 3.55115644871596,16.096329845472834
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-0.34398655600147815 0.11753633392218672 0.5794198826064754,1.6434389049863527
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,4.236516706916841 2.321338737978839 -1.1467671670216333,6.619995468045701
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0008996206820150946 -0.20474061858429443 0.8502776352470959,0.07180304674695015
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.164967008524883 -0.5574829372206986 -8.656241863054177,10.864445677260688
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.8288773460304215 -1.4923690048990172 2.012349962457785,5.771858990812343
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-1.6920480296950544 -1.6162331083296417 -5.836924371063351,5.195789935324068
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,5.032952771379173 -0.2757508354406662 -5.0226571343793465,5.0194395645534975
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,-41.59853689104237 -8.19657723893951 21.91242718846702,45.59603354624446
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,2.6177119025196065 -2.2153874353920804 -4.826747057532416,4.029506035412675
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,7.978823526201338 0.07281955453029715 -3.3609470748316443,9.80887908899047
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,4.937313598338291 -0.753236551170261 6.403262483280591,6.23803285017291
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-1.9317296092555534 -0.036246072295038886 -1.3443296343916804,0.6451249486457125
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,1.7053094306029504 0.45397352554120957 1.2174626857733377,4.121467207876839
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,93.22281313067464 -10.434677253424404 28.20644484281042,99.64548378080394
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,0.42106424600107395 0.11355242931198865 -0.2542795448045507,1.7697485841964318
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.2054433328493586 1.7611370623814464 -2.4007710253973173,4.225175236525306
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.15729022908403956 0.09899356383079722 -0.34145076899008514,1.5484724504416179
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-84.10251068280844 20.12045950193473 -6.786592259296128,88.23575532017333
6,1.728382546845478 0.4439953450498987 0.247362103240496,9.808646231316782 1.9297330304886224 2.5144986658560353,8.522792140728695
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.6598845482784359 0.06870631492283606 -1.1199116821982757,2.503500814800681
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,1.7430525620724386 1.8200038481426102 -0.9945893635566224,1.9121051896886136
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,3.1881117735628037 -0.9627748174681202 -1.2749869279699,1.5395176182245685
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-8.295991698488585 -3.1034876298937775 1.64003519855034,6.828459986074377
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,6.632430218962888 1.1299473811630916 -1.3423535432355336,8.353083521600764
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,17.59308520611461 -1.7517689863256467 8.788629852763815,17.799375575732007
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,4.48111549047476 -1.9191969450961865 -4.483261230227362,4.114926336630807
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,1.029089844595552 -0.48265775516150555 -0.8174326420158577,0.888629166682904
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.4417562098684482 0.8007255482589103 1.6016347722435962,0.33443801587277205
