,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.34448769505847604 -0.18362380637848752 -0.05698714850753165,1.987521169704798
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.4450999155070523 -5.517470447111506 -20.43897269628726,19.619438516530526
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1932005201335505 -1.7512067980155666 4.3053501505141725,5.889098318240109
3,-1.759033352229458 0.5444320590011676 1.033993487392955,0.6910173998182447 0.010671591692660187 -0.3969660827406206,2.8870909607124915
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.5347496295073 -5.336194368158851 6.499837720544231,16.386708439947494
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.901804562599419 -0.13780302610807244 2.202443085414423,5.2364273374878
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.097693650830595 -0.3560541338721304 6.135621268620779,8.795384712311341
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.7872198811525801 -5.43752929743675 -11.401369114131603,11.360823681553661
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.2403498895580034 -13.305561089330388 -0.18313449962357112,12.74349974092816
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.182089676394197 -1.1385634478603404 1.7307288878318512,5.813104944752446
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.8277591558929651 -1.1685486095143878 -13.729994494702186,12.299186145538512
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.807211005350607 4.9147137496155935 3.028848288514547,11.363042303030106
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.603896726357481 4.21389144179063 13.94049598288204,17.158691122652897
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.736740877801859 -5.265986539177679 5.227251251504652,13.955982225802625
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.28640299813015535 -0.10676893923155313 -0.3604843642318088,0.7020951766791541
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.3773597228398646 -0.7605144560421735 0.4209920121154517,0.44581307823974514
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,17.975708899814663 -8.989887072265315 11.194672598333808,24.43246274546314
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,18.788577019396577 -9.006723662462838 12.037175412113385,26.518226250282225
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.261394887510106 -0.1325589885173797 -0.050207557881546246,1.4104743971710711
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.3911775033270595 -0.4680240012307971 0.6952828516931574,0.7375967689944056
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.566478768593096 0.9224021733131517 0.41380791613351275,2.9899096966671386
3,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.013543563389472704 -0.004764865376757646 0.014054517143927971,2.01423122004981
4,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.14504484021280303 0.48758817754689826 1.1921996259883194,0.31379329142621093
5,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.0939830521470652 0.01839001610996619 -0.22982946486555353,1.636309403752862
6,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.25324941615264973 -0.16045853758800221 0.08084730796270304,1.9293945998358395
7,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.104045962124406 -5.567348535801193 1.9022832705666382,9.874094025606635
8,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,19.15237218293871 0.41144895988765023 -4.422281623174278,21.718488985831463
9,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8617135269014218 -0.5017930133437805 0.7344380749290854,0.549485666313514
10,2.0281460358843417 0.8277299971979065 0.9971722018834903,-1.3756409137303935 -0.5532642868838265 -0.869829404585324,4.120510382172473
11,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-0.3170014611850649 0.0008703109148625046 -0.22285038156805734,1.3360167809315873
12,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.2827785868148293 -0.1649180061445577 0.05478034370306868,1.3808981060158985
13,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.18010037699898968 0.06788549626996869 -0.21956779882165517,0.8372328664866233
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,15.155979411223397 -9.42065441902516 -3.634838923058826,19.851970937539463
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-5.074068083425128 -2.015396271295824 1.8500615070499296,5.323668705035791
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,-2.1357554361356463 1.250265743401184 -1.8517338566465753,4.107721693003158
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,4.6210954964255535 -0.8995371355405044 0.7738441675810013,3.017366400426367
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.17943943054306188 -0.3831986505555726 0.3574821934430308,0.33715449975198664
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,-3.4071781063673563 -0.9244140553092095 -1.7008732577931227,6.114517455770606
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-17.87076987235826 -4.328154119803719 3.6358503407055927,16.532940201213847
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-0.3603274471585874 0.1231198324808334 0.6069449037758977,1.6758693244621907
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,4.348367018566444 2.3826255165399433 -1.1770435175931973,6.751019900426601
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0009106506565871316 -0.2072508808114694 0.8607026297847268,0.08010762764890833
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.274685172367051 -0.5721687688539383 -8.884274152636321,11.117924360107562
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.8944253464403618 -1.5269487311222731 2.058978182783145,5.859414513759689
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-1.7311783962323528 -1.6536101761366673 -5.971909304163248,5.3412108867058095
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,5.1477554943604815 -0.28204077063596206 -5.137225011691305,5.181706383710414
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,-42.36209869928821 -8.347029485718869 22.31464067426594,46.472068991468326
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,2.7127345200588717 -2.2958057246514643 -5.0019573773407995,4.244372091778849
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,8.1548541707826 0.0744261163348031 -3.4350970642434033,9.99988380943593
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,5.081450299476933 -0.7752260459633951 6.590195136530634,6.47485763929142
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-1.9664589763966596 -0.03689771792190413 -1.3684985021295675,0.6855408959875103
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,1.7856698190388332 0.47536641072521985 1.2748339596191327,4.2224351405189005
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,94.88695210935153 -10.620948752472557 28.70996369979904,101.39407920467134
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,0.4547216021504231 0.12262913100602812 -0.2746051299908059,1.8100206619243602
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.2326894508217832 1.8009432870787385 -2.455034621868615,4.297759797882847
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.17322210816956107 0.10902059156406123 -0.37603621270701065,1.5876066321115565
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-85.3118364872057 20.409775369849633 -6.884177944627721,89.48303002598686
6,1.728382546845478 0.4439953450498987 0.247362103240496,9.921709461547001 1.951976859531247 2.543483026680831,8.641573090256793
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.6896049894039503 0.07180076832827267 -1.1703512163613117,2.5619883914794053
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,1.773901079761842 1.852214248520586 -1.0121915909609926,1.9599788131142484
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,3.1934398324961935 -0.9643838328764228 -1.2771177207318904,1.5454697958421872
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-8.45315296808604 -3.1622808488145444 1.6711044212974706,6.999003426319974
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,6.788670700908627 1.1565656066969974 -1.3739754310824723,8.514670769727871
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,17.97689814085846 -1.7899857963824313 8.980363694591302,18.23008112535098
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,4.719759731695771 -2.021404821614816 -4.722019743985245,4.465718343003502
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,0.9746368428112425 -0.45711852382903656 -0.774179216332956,0.9583194706552244
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.4408048074303461 0.8001971564034428 1.6005778673266404,0.33295717938969527
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-0.8326214883107113 0.23574110228121467 0.43428184215426546,0.1978039893820755
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,2.0763195393502296 0.9647803513279619 -0.22957438676290168,1.334889327550748
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.10131313909219761 -0.2048701310918064 -1.3010745343210002,0.18774539586137667
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-1.8938738477452022 -0.027943216915335953 1.6403643303552393,0.2601008575872409
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.6413314386907082 -3.3355233518216414 4.184011153766988,4.484762320786154
1,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,-5.596556229590494 -1.1275034080859994 -1.9249316196595043,3.9511951030461576
2,1.933393761196776 0.22538399326206593 0.009510405009429235,10.2789008014154 1.709901114124103 1.7765651243129792,8.658739008740481
3,0.8281278138379884 -0.7128107622896663 0.34572582375485794,5.968073763525386 -5.195806146924277 2.1885187057559268,7.064855100447349
4,0.7573828076600333 -0.4829897035929976 1.3574927623388051,6.21098538292244 -4.033595476811956 9.761093465005045,10.628691696327307
5,1.4923161734346615 0.6597033465429162 1.3150421514544268,-22.220724359315657 -10.42354274301234 -20.12475038171378,33.83506079578987
6,-1.4231014081524735 0.008198818233434602 1.551011750493445,-6.019886954281821 0.40056204730723854 7.2364541704008625,7.321792251267145
7,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-1.6253984876374865 -2.487536798728727 8.18881310375259,7.159301204338249
8,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-7.031041552489742 0.9386310172860958 4.444228683750596,5.974090107369748
9,0.6475404019334752 0.59449251027997 -1.331433030984044,1.6393090382596875 1.413143130308692 -3.6844665451950243,2.6815220649239198
10,1.6166046332162294 -0.6775229796402341 1.3343980747415785,5.4539048509381685 -2.7128697888095523 5.394858200756778,5.945994116166273
11,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-16.17863504755822 35.09877959760081 14.900490910760931,40.712779590949445
12,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-3.875320507686439 -2.9193875528474544 5.448201532313229,6.3500985627990465
13,-1.1366594020965475 0.2765711412664057 1.3484819435093387,-6.129968784240458 2.0257072123273403 7.185112133065698,7.877745080321754
0,-1.8956553329586494 0.48868895694739123 -1.1129498407858318,-0.22909914804613776 0.06870927489970022 -0.1532396685462296,1.968460328658719
1,-1.8240322652140168 0.5867957763527899 -0.1862137938943753,-0.9502079891947218 0.2781018405678401 -0.057292268746051346,0.9356717218114576
2,1.5762315415935233 0.2092796576284287 1.069374539624862,-2.168252625963297 -0.5018292903478988 -1.6622947160245245,4.68922749919811
3,0.052810176013954546 -0.48396116352348 -0.5221889873989345,0.07892849350458324 -0.7592217355167751 -0.8116097940258523,0.40026860020640265
4,0.3712252395078175 0.490331829528036 0.8088986527787063,0.6000858630736332 0.7870641925927154 1.2703630161281023,0.5944549090976927
5,1.8047373429757445 0.04298054037927235 1.409478776478449,5.96185138101155 0.32707227786842163 4.181295504967817,5.00452527387738
6,1.8445034203979604 0.7668637020642585 1.4968127151371902,-0.03410700476418663 -0.014688595785563623 -0.03185312683405549,2.544959799331199
7,1.100150548608379 -0.6759965343067005 -0.5572614048725637,-0.257052955495235 0.19609521290484627 0.10783738513086363,1.7449646894907758
8,1.9572275817419729 -0.08754001883756268 -1.583264909939205,3.095258620495185 -0.2771217890588511 -2.350622901067549,1.3856024607781554
9,-1.9628270611854202 0.7984954605508562 1.1662621861861622,-11.299045395796835 4.270818733842564 6.601533787953067,11.347430506099228
10,-1.402499155729641 0.7279358108222199 1.5992697717098476,16.82251402971405 -8.699283325812868 -18.940657941565696,29.03295018985015
11,0.43961410095011866 0.47273358494465956 0.6851576174865506,-1.2906642764509035 -1.409640848847709 -1.8268737961523793,3.58434074766971
12,0.4180941065267847 0.6394450322145849 0.575772333385479,2.638852736568729 3.676248796899103 3.840347296599755,4.981103862453916
