,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.32896623118367646 -0.17535033153993604 -0.05441949811079586,1.96975554891379
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.3983219433692848 -5.338869593235338 -19.777361907267146,18.932597032008815
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.177956052170707 -1.7390345339277227 4.275424581996461,5.8533760657027605
3,-1.759033352229458 0.5444320590011676 1.033993487392955,0.6665981010766574 0.010294477041625562 -0.3829380230025148,2.859490480641807
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.444732138549307 -5.297872834623385 6.453159557794161,16.278311399821995
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.8476835335711703 -0.13523288693595167 2.161365720075938,5.16843606822447
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.061650092761264 -0.3535366311092968 6.092238979170936,8.738927205925622
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.8217270571949573 -5.542515697085141 -11.621503779873871,11.607136495082893
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.2096657567656477 -13.123326338747583 -0.1806262649359885,12.55869940545129
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.1180863760145265 -1.115662830415362 1.6959176875990543,5.736746958359847
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.8165018623416685 -1.1526566744839961 -13.543270400641505,12.111449948320184
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.6869080781644135 4.838981910171805 2.9821761395408006,11.213422296058562
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.52403745238019 4.153840672193516 13.741834597342923,16.93631769603249
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.59548324092477 -5.189589228857275 5.15141590080391,13.778383979226632
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.28699832135913533 -0.10699087136939064 -0.3612336745292301,0.7011515424184235
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.3655527128203704 -0.7567374080354319 0.41890118132639614,0.4340995153907264
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,17.807448968089307 -8.905738080232318 11.089885918844203,24.217121277295288
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,18.56824240447021 -8.90110134801783 11.896014833188694,26.236042150022158
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.3030918073653918 -0.15370439642094189 -0.058216515275693895,1.3631098826564858
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.4393600385037824 -0.4842337105230497 0.7193635246334256,0.6813769899932055
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.5417743480774364 0.9078552725629085 0.40728188783499153,2.9605302460713276
3,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.027157696261983864 -0.00955455834701609 0.028182266123576057,1.994301706109772
4,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.14396869380247732 0.48397056339244426 1.1833542141417712,0.32002494446513374
5,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.05347388855416135 0.010463436220764111 -0.13076692988701716,1.5290376248280464
6,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.24266610403210934 -0.153752963251453 0.07746869289115242,1.9164223738666732
7,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.048317109030305 -5.516519634675529 1.8849157629189923,9.796706690808495
8,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,18.57024382528909 0.39894314050463875 -4.28786821924848,21.120921011747008
9,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8840737123130716 -0.514813796314408 0.7534956515089042,0.5173716373914327
10,2.0281460358843417 0.8277299971979065 0.9971722018834903,-1.3470688937024549 -0.5417730044366356 -0.8517630742511183,4.0848715950108625
11,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-0.33162908818911907 0.0009104702989630526 -0.23313352741572152,1.3181886458649972
12,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.31313632833213373 -0.18262280571399653 0.06066129647639815,1.3461749699207173
13,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.17224934115657933 0.06492619394491954 -0.2099962771673855,0.8245213230082211
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,14.946040276348352 -9.290160441366261 -3.58448949210407,19.59970496807964
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-5.0292026987042195 -1.9975759489055624 1.8337030901137676,5.2726974952669705
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,-2.096907770094591 1.2275244195396364 -1.818052313693287,4.051510435491694
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,4.585077347369961 -0.892525884062581 0.7678126032916908,2.980221199951264
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.17593563555704744 -0.3757161841522817 0.350501875275589,0.32635554239289855
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,-3.3327117645826028 -0.9042103175402207 -1.663699442573228,6.028899685844876
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-17.670867599763586 -4.27973942637593 3.5951797511835726,16.32327689509677
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-0.3497207764046513 0.11949565248371759 0.5890787522770445,1.654818857657229
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,4.285798925047226 2.3483422245584644 -1.1601071898705113,6.67772567829476
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0009082763854106353 -0.2067105311295636 0.8584585843534184,0.07827037505914108
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.216215152496215 -0.5643425271693754 -8.762753229972684,10.982842762070728
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.855299479772816 -1.506307952621787 2.03114560940203,5.807152257086709
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-1.7136588979932696 -1.636875667069314 -5.911473675596052,5.276102785803473
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,5.099895401719144 -0.2794185603491566 -5.089462823831314,5.114058645251716
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,-41.9842643318655 -8.272580988065748 22.1156128073211,46.03857913521864
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,2.675485767685223 -2.2642818514883465 -4.933275141628303,4.160144063233656
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,8.061173595060351 0.07357113091372765 -3.3956356754925054,9.898234219865605
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,5.013625819073273 -0.764878743389509 6.502232737107003,6.363415878853696
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-1.9587352677275183 -0.036752793859309574 -1.3631234173342703,0.6765324121057297
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,1.7240240459170988 0.45895557732656067 1.2308235136762962,4.144980715009809
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,94.03401844034514 -10.525477619862718 28.451891392372726,100.49785843738692
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,0.42546844572412057 0.11474015204664673 -0.2569392289535624,1.7750181386814083
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.216032441660116 1.7766076129050732 -2.4218603830841317,4.253384892213855
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,0.15960187883756055 0.10044844407836402 -0.3464689738116558,1.5541498987021014
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,-84.6910747766014 20.261266000067902 -6.834086020072184,88.84278867874282
6,1.728382546845478 0.4439953450498987 0.247362103240496,9.882738755478304 1.9443098423966985 2.5334926787667285,8.600631475454206
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,0.668095687049387 0.06956124793762462 -1.1338470747722191,2.519659069891389
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,1.7739835609099168 1.8523003709991397 -1.0122386548730937,1.9601068199491687
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,3.2221082441561117 -0.9730413790239135 -1.2885827673513846,1.5774973391905416
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-8.390722396367789 -3.138925894506901 1.6587625170616929,6.931256304578486
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,6.699814725808623 1.141427478884076 -1.3559916560444605,8.422773886975031
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,17.80422067634993 -1.7727920510319424 8.894102626580802,18.036306481735952
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,4.573743174911527 -1.9588680424781337 -4.575933268554384,4.25104554301181
14,1.6235392403865951 -0.5099916687245605 -1.4773906474166134,1.0409586889069677 -0.488224411738474 -0.8268603715907893,0.8735350892809218
15,-1.2110973598736323 0.6387415479613107 1.4216168147294281,-1.454572018889945 0.8078432188018767 1.6158717460279057,0.35441538199964895
16,-0.8650357536253384 0.3398042700488556 0.5993472556537052,-0.8376502688517442 0.23716490683648586 0.43690477239064485,0.19409369908782498
17,0.9286931458989471 0.29343198923814595 -0.11051744835857491,2.0807552620669902 0.9668414493622312 -0.23006483551284182,1.3397831907699147
18,-0.05680893578125312 -0.2933536280066664 -1.2519175014713881,0.10464326515749231 -0.21160413785205803 -1.343840381460438,0.20297686615470423
19,-1.6533546004599535 -0.05764025577762777 1.5459131065105103,-1.905126172132198 -0.028109239663641962 1.6501104449552109,0.274076796817965
0,-0.2362246267088668 -0.6899666104900195 0.5853987721365455,-0.6352828345639333 -3.3040649527885764 4.144550391976154,4.43399569795365
1,-1.8912342551224137 -0.3451328200713748 -0.7977989429663144,-5.537255533900224 -1.1155564654037953 -1.9045351866533522,3.887401300570648
2,1.933393761196776 0.22538399326206593 0.009510405009429235,10.191787326259355 1.695409736971788 1.7615087710306692,8.569220398448008
3,0.8281278138379884 -0.7128107622896663 0.34572582375485794,5.884933567193887 -5.123424276278543 2.158030832770217,6.950485266703094
4,0.7573828076600333 -0.4829897035929976 1.3574927623388051,6.1038640629328125 -3.964027760074394 9.592743170800764,10.417381487385773
5,1.4923161734346615 0.6597033465429162 1.3150421514544268,-21.88707976206287 -10.267033051239778 -19.82257687344537,33.358487085855586
6,-1.4231014081524735 0.008198818233434602 1.551011750493445,-5.92962140271741 0.39455579595890716 7.127946729642824,7.1805430113126265
7,-0.17138392788331913 -0.5548036011000361 1.4504173168277843,-1.606552538881467 -2.4586946462386665 8.09386657014885,7.058323316142839
8,-2.0024795737871224 0.19177097429365875 1.3064719829369689,-6.922961965488919 0.9242025927152694 4.375913001487719,5.845431652929747
9,0.6475404019334752 0.59449251027997 -1.331433030984044,1.62518267520185 1.400965699180378 -3.6527165146168135,2.6447193481129214
10,1.6166046332162294 -0.6775229796402341 1.3343980747415785,5.332060981298109 -2.6522624694792 5.274333472638988,5.764312870311293
11,-0.27911076623878817 0.5701822910079993 0.3227161255574096,-15.815704326305145 34.31141865169811 14.566232433616808,39.7835962102046
12,-0.5943699527368078 -0.32376145040471005 0.6709805462632734,-3.837757496275626 -2.8910902835654197 5.395392775999841,6.279395752112263
