,original position,computed position,offset
0,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.3614845083558369 -0.19268369327353646 -0.05979885974548188,2.006975647331761
1,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-0.8280422127465197 -3.1615104179053857 -11.711530805647469,10.559661181023767
2,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.211202283827314 -1.7655806825133096 4.340688413165938,5.931281726043699
3,-1.759033352229458 0.5444320590011676 1.033993487392955,0.7155377622300116 0.011050267100664753 -0.41105220013294635,2.91481652518394
4,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,12.629953032962769 -5.376723607303184 6.5492050147618475,16.50135028034665
5,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.970872940233924 -0.14108299594790336 2.2548653514424424,5.3231967526669335
6,-0.5395341557603701 0.016402783546465294 -0.605426924266192,5.136616175383674 -0.3587727212799095 6.182468703134107,8.856351748301806
7,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.5302727004434038 -4.65578003550548 -9.76220334555727,9.526737429436627
8,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.2721687232856898 -13.494534891113869 -0.18573548896924652,12.93513450502711
9,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.248551025809097 -1.16234356433557 1.76687701345193,5.892395846404491
10,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,-0.8223793350234032 -1.1609539098341635 -13.640759708960816,12.209467676328194
11,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.922316391136418 4.9871736872026045 3.073504024153974,11.506198180128935
12,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.693322957146958 4.281136155067192 14.162956544159247,17.407704373096244
13,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-9.887356911497891 -5.347445213695338 5.308110736266045,14.145346465050828
14,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.28279142932508805 -0.10542257284294586 -0.3559386224166954,0.7078220596665504
15,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.3884912349030123 -0.7640754130821619 0.4229632231258552,0.4568982547340609
16,-1.0566692317225062 0.628104284393565 -0.730429528267253,18.153887417186994 -9.078996478676398 11.30563624250254,24.66049819496051
17,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,19.013611341149527 -9.114598886249405 12.181346926639993,26.806429369889024
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.2205912071013276 -0.1118665616137932 -0.04237016991494093,1.4568285843677469
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.3274314118285158 -0.44657835483799535 0.6634238227946857,0.811982907949143
2,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.590364015016506 0.9364667132563652 0.42011754780358235,3.018315381484346
3,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.0006404834386774232 -0.0002253334128972593 0.0006646467558375392,2.033124689632203
4,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.1494146132252821 0.5022777704777622 1.2281170825726972,0.2903937415702636
5,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.03768607496001511 0.007374175554030606 -0.0921588546346638,1.4872319412519004
6,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.2631729133592837 -0.16674605395714293 0.08401528381402018,1.9415581247883285
7,1.125527796586514 0.7774539872013634 -0.32807029736367843,-6.160596712316765 -5.618927068832472 1.9199069167017464,9.952622896914507
8,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,19.775493997288947 0.4248354385937241 -4.566160413868144,22.358138134730744
9,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8189093669056412 -0.47686729527461386 0.6979561074481988,0.6109680213628116
10,2.0281460358843417 0.8277299971979065 0.9971722018834903,-1.4037691029828292 -0.5645770665581974 -0.8876150969599146,4.15559666498714
11,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-0.30150653831487445 0.000827770415369328 -0.21195753122887973,1.3549034803734048
12,-1.448759575850457 -0.709292391613069 0.5558037372203533,-0.25403384801648626 -0.1481539185127277 0.04921186453084874,1.4138179784600464
13,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,0.17391932284856132 0.06555566256575754 -0.21203222073558253,0.827225132549217
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,15.367144953618908 -9.551910707130235 -3.6854824817416554,20.105710579645965
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-5.121000485769532 -2.034037603483866 1.867173581539902,5.376988237268885
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,-2.1772756185725655 1.2745715514924763 -1.887732513726759,4.167800269737664
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,4.657699327187952 -0.9066623951459999 0.7799738095605957,3.0551166416813125
4,0.0872021833604344 -0.15004712404899445 0.13208074574839945,0.18190625429175053 -0.3884666316720702 0.3623966404062747,0.34475808039587863
5,1.9008001216671224 0.38543904352841685 1.0371873162447982,-3.4837469775615304 -0.9451882380849143 -1.7390966618324348,6.2025534381667145
6,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-18.07417589049386 -4.377417391709434 3.6772337755336464,16.746278355504415
7,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-0.3716386541690401 0.1269847445858223 0.6259977944304554,1.698319156611668
8,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,4.41316299366712 2.4181295443703386 -1.194582902408862,6.826924690301348
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-0.0009135253876381398 -0.20790512790184149 0.8634196855048639,0.08236387414026475
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,-4.334794443772877 -0.5802144251842111 -9.009202006911226,11.256793100454065
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,2.9341825368944314 -1.5479225633171465 2.087259854602512,5.912520091099973
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-1.7505131277077015 -1.6720785840084895 -6.038606799373691,5.413065060097504
13,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,5.202913880483803 -0.28506284768416307 -5.192270563312333,5.259670461952138
14,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,-42.74876092846445 -8.423217425576581 22.518318701826068,46.91568706541225
