,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-1.9236268404766377 -11.424525498598397 -0.15724438425225698,10.836009358253317
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,-0.13770217839387586 0.07340000384919722 0.0227794914085694,1.4357254832949558
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.9644970110012598 -0.0662658820596956 0.5648489051401291,1.048224210469286
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1470094022108626 -1.7143245344142317 4.21467493195789,5.780859012263197
4,-1.759033352229458 0.5444320590011676 1.033993487392955,0.1477922011776491 0.0022823998740729235 -0.08490161199491683,2.2763646868312075
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.5915997128036539 -6.076814678896482 -22.511013061680412,21.770515704244588
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,10.50311568385433 -4.471303250315292 5.4463431279432335,13.940271334795913
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.754056174580381 -0.13078664215374622 2.0903034121339594,5.050813818528
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.467522279317155 -0.3120391072259781 5.377142408420185,7.808304812189707
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.8161149581908806 -5.525441159656035 -11.585702022672477,11.567077223578867
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.2010628595133812 -0.2567377901954601 -0.7490495120799415,3.4526736369018396
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-3.5292621109383164 -1.2627830281597026 1.919554918091717,6.227298756625057
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.700485124934443 3.8122781430936885 44.7927946606361,46.541117649744486
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.428023325796928 4.676011490753872 2.8817404476409174,10.891449007128731
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.526439965987152 3.403689890418508 11.260167923118743,14.15844158247348
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-12.10706699443949 -6.547945829285949 6.49978076781498,16.93611084722309
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,0.8684860960925453 0.3237652532359758 1.0931298213987444,2.5876055424515894
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.159215337511287 -0.6907303350473747 0.38236216454595423,0.2436176778088346
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,15.833450135298518 -7.59011764673803 10.14393034984933,22.733581145897
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,15.867978752996454 -7.935783665033336 9.882048487052655,21.734962062139406
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.004354939467039232 -0.0022084837859837163 -0.0008364772450017729,1.7025365435181075
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8813234852441497 -0.2964974224756894 0.4404679522341626,1.332660806043853
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,11.093107209712292 0.23831238134690325 -2.5613978095681262,13.445532034442737
