,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-0.2887309945770395 1.7637580453294741 2.5829761564402696,3.4877591796333216
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,-0.8270681289745061 -0.5024564826046646 3.627160176519309,3.6889338986380804
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-1.3829974244510475 0.08304832953327719 2.4938647006139427,1.5159183084176324
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,1.1198057354826687 -1.3268062369000462 9.498160812138373,10.356667875087105
4,-1.759033352229458 0.5444320590011676 1.033993487392955,-2.5642476945951818 -0.8657205225150028 6.128097642595675,5.346662284487566
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,0.6726750045668043 1.6690797253148713 4.565899009360422,6.50512122982895
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,0.7351381929358701 -1.095457651568426 6.884528820304443,7.738320519249327
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,0.1301236729712608 -0.27292106247178805 5.593106741532288,6.637060981419342
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,1.1649892456489257 -0.9373869085118431 7.171046489974648,8.018020551546572
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,2.692902173507559 -0.03013482789234882 2.85533658920761,4.79411238541212
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,-3.2249566650882087 -1.457872298799163 6.364555342189513,5.60792994413173
11,1.634958907181415 0.6915897345533922 -0.959767603724756,1.8447245245497985 -0.2916495245930559 4.085937109841269,5.144890388672939
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,0.5581596763388217 1.5658394453238238 6.342723014282282,8.044033308749654
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,1.0903659215487584 -1.1836569469060458 6.50426316401138,6.998644800378187
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,1.5359923504472486 0.459094058798801 6.33054789664136,8.045566104090542
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,2.1626114148375284 -0.48409500566359426 4.65017104167328,5.553218670856632
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,3.305797594868984 0.9800508860939242 7.35903113658035,9.23043858810961
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-0.33122097917533816 -0.24803212232216926 1.250523220864351,1.9890940986876693
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,3.0560724802210446 -0.6764610884340853 6.672116078894131,9.527870822099588
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,0.7682709214177404 -1.607307195421174 11.109195591401818,12.186229688502097
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-1.8912789817240332 -0.4949776719495535 -0.5328983662446249,0.5549687488954897
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.9871727384895026 -0.3446572367876309 0.029054910813652718,1.0228928037475273
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,-1.692334534796264 -0.16623242842375124 -0.541931890179863,1.1475387015847218
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.3530206860623846 0.16098034457665175 -0.28348247963388373,2.3939840577980247
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-1.6079029982152522 0.0057557637208367545 0.31216010113219117,3.0333757699678014
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,-1.3321311428428253 0.4315993767533951 -0.4763348245078284,3.474095208044491
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.8587780825605366 0.8069661417587041 -0.17573837322847352,1.9239773885365414
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-1.847277738905493 0.059419063359717805 1.1988889891888075,1.5766111923030781
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,-2.0637614101220656 -0.23916384110876956 0.9136778980693457,1.5433888372367484
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-1.5297800959938994 -0.07389681882648119 -0.20673529093791562,2.9844586840192777
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-1.4058835163887613 -0.013601127697358467 -0.13808779977261576,2.6589292543536347
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-1.9564462098615418 0.16898392542654922 1.3897737260786733,3.5862590267708154
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-1.373270047497482 -0.5254941619571996 0.2302978212107125,0.8768036101237444
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-1.1463752330464265 0.05412341631138287 0.09388053973226634,3.389983518514017
14,-0.7531275395060477 -0.8885471405050627 -1.5252053995905577,-2.0524721920420124 -0.4657239689680005 -0.9757434082092393,1.4727472425488328
15,-1.448759575850457 -0.709292391613069 0.5558037372203533,-1.6651812648748066 -0.43712398473917746 -0.06862920396090644,0.7147240636866111
16,-0.9642157443319317 0.41214030755772824 -1.3108885029610715,-2.456376978560027 0.25720896517270286 -0.7631165474076962,1.597060733058423
17,1.600752347255444 -0.022567221074882737 -1.5303730114754932,-1.751306935453269 0.2575913224228562 0.7865746581702221,4.084487329906305
18,-0.34688577439883916 -0.08551808306501552 0.4126598585989356,-1.331102354879306 -0.04829381953727289 0.056099889098941806,1.047474550973761
19,-1.4329236909046452 0.09447759282124091 -0.951476549724665,-2.015190604109901 1.6701523096864583 -0.5141496607773489,1.7358111589047347
0,-1.3696555855017303 0.8485987064775488 0.3080760271116578,-14.653425284067696 6.617872261823028 -33.76444653260268,37.022693693776404
1,-0.38797499885046394 -0.15536932893503064 0.14059379534229643,-12.312032476458686 5.958357350307624 -36.99218021899622,39.476622279999106
2,0.7537128819747969 -0.400880032317541 0.5561839104565589,-34.650863493757356 13.026814390266749 -111.09269257629826,117.89511706006311
3,1.7365289111057591 -0.2144562765037098 0.21309482441608973,-67.77831441459074 2.5013251162630934 -95.09467267851683,117.99686206659287
4,-1.8509342481521827 -0.3806290880160458 0.9830862099451352,-6.865141388143892 5.465688494293047 -64.05112535981775,65.48870419405654
5,0.0872021833604344 -0.15004712404899445 0.13208074574839945,-10.331802724870254 28.832856786590465 -86.93486227441142,92.35375980027477
6,1.9008001216671224 0.38543904352841685 1.0371873162447982,-44.831075852567636 -8.998752691462947 -90.75810118545567,103.43261708813503
7,-2.0955457614446527 -0.5490383491079853 0.44230999509513147,-14.036744318115234 1.7605483127727344 -28.66537585679761,31.546533710869817
8,0.3968233978775153 -0.1396642588828313 -0.8648584498894785,-2.0980927701919816 19.02572484901249 -125.11008833193401,125.73946832552147
9,-0.006926515452351456 -0.2384453581353949 0.7871638919468884,-8.442880555007614 2.0621809982226504 -52.990544803028264,54.48394400803474
10,0.5239309021164531 0.031137315196742454 1.1265973187056755,-41.765176692159336 -8.841564809091512 -133.61846784768372,141.50380224856542
11,-1.4675177191109752 0.7788543813584076 -1.1016330149791966,-31.952069328087617 24.744507703970513 -39.824211379056315,54.80053376694503
12,-0.2593833474155458 -0.31698969712581604 -1.0145109173446336,-36.88053936431227 4.713357313249913 -46.34686897253182,58.49304356846532
13,-1.8268667372463392 -0.07476423848819935 0.59091091963939,-2.092957313350558 4.076826592172405 -36.00240699192315,36.82902966949579
14,1.5457595604850045 0.0033475748920450688 -1.4231625685481408,-24.13641118541564 16.232648905538767 -72.36085457155424,77.16942569836763
15,0.7696170589535933 -0.7837808157464209 -1.5446795955203059,-12.354034697636557 15.888827734571386 -85.56351004707247,86.65662110737442
16,-1.1038199459403142 0.0002907230584622278 0.3423536298104306,-2.7162313160541918 5.056242216329913 -41.159343415221386,41.839614882864176
17,1.3168113083214306 -0.3566092981463863 1.3389062724698078,-46.444571765652334 5.667669108847835 -129.71492957964284,139.61572094508674
18,-1.5215126330413442 0.08544137383785266 -0.8615249148160959,-37.12115893762394 7.4341192691258815 -35.6159003962366,50.29119703212122
19,-1.4031969495237684 -0.8711480270983996 0.20452781376886509,1.5616444407411612 0.02274151880050196 -0.42792553160343677,3.1605885881854414
0,-1.527576787400327 -0.3195598200567309 -1.2190481002271327,-2.252421575389465 -0.4442326990544416 -1.5508203526381787,0.8068557001735163
1,-1.6263857230148253 0.16832677748020075 -0.436673357629223,-2.9447160979633265 0.23197299400423427 -0.9115146400759715,1.402683165189257
2,-1.0288370803737656 -0.20222786934291714 0.7101264889919898,-1.981309855237383 -0.625530616773507 0.8356878852871811,1.0498358286314498
3,0.45357058902072955 -0.5857664362345507 0.696295740846494,-1.55403759576832 -0.05481326828788541 0.16430782869692634,2.1436914490797965
4,-0.6228364541417304 -0.2520932911258351 0.9492495479590075,-1.0539238018970085 -0.6952829090725885 1.2614025707738696,0.6925986200556027
5,1.4342114032216138 -0.419027360463262 0.07978750941271606,0.9257445835385887 -1.1304892545438736 -0.1454152424486552,0.9030131853374435
6,1.728382546845478 0.4439953450498987 0.247362103240496,0.9443392068475691 -0.4669117947651002 0.07407027348898064,1.2142923184388703
7,-0.7557050970640562 -0.07188550453582965 0.9401505076416554,-1.464383817251934 -0.4080467629164185 1.151375839570844,0.8123090919913092
8,0.5190586580408638 0.48286723729437975 -0.38627130262387155,1.4992647693550243 -0.47295317133075987 -1.3367761253647448,1.6666901608444253
9,1.7788987907191167 -0.5876278861691226 -0.7815317164809632,1.1179753037284017 -0.202012308008229 -0.24314304445681256,0.9356182939320151
10,-1.9356160527772448 -0.8410459669549014 0.612978652561118,-2.361897420181206 -1.8596649893009896 0.2380743219275655,1.1661276834073033
11,-1.4814106721574376 -0.16310506589811236 0.1635035819828512,-2.0091578313801257 -0.513483602683724 -0.29281838447293573,0.7807124439751936
12,1.6457580204271904 -0.10698233056601003 1.055894025410392,0.8043962172984656 -0.706833756054319 0.8647435840932917,1.0508329589616505
13,2.029294752646892 -0.5068285909554975 -1.4955514957188436,-0.012036696795860946 2.0200003555907693 -0.4060075476961901,3.4262230847189383
