,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.1706238181359265 -12.891454120079931 -0.17743483223674222,12.323563503881081
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,-0.4621740202343894 0.24635467107259448 0.07645550161943894,1.0646542656292801
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.9904985655014263 -0.06805232195968873 0.5800764791230836,1.0201076423954303
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1689254773859687 -1.7318238827319727 4.257697162113151,5.832214785988755
4,-1.759033352229458 0.5444320590011676 1.033993487392955,0.4020363303565746 0.0062087692210200255 -0.23095624976019544,2.56125053834608
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.7692925440090448 -6.755255618736489 -25.02423646330149,24.379634685196685
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,11.380869276199748 -4.844973560018073 5.901498282812825,14.997234780930214
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.7245514598164564 -0.12938550059124135 2.0679096038615232,5.01374764236569
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.7251323604682005 -0.33003217244401434 5.68720378150092,8.211816602006738
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.8529369675643745 -5.637470326783329 -11.82060390845526,11.82991352689731
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.4757982824690548 -0.31546491244336017 -0.920389781980054,3.7805802155057036
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.805507818597213 -1.003821067217931 1.5259071617951494,5.3638364599838875
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,2.3196184241911544 3.2746081573310053 38.47538014798175,40.189436900127276
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.620421363894044 4.79712788975819 2.9563822714631023,11.130733190052714
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,4.957928948122424 3.7281512104308465 12.333558586052042,15.35995115657331
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-8.579671249631547 -4.640200851409458 4.606068687663357,12.501239688216328
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,0.38339572703977476 0.14292711790448281 0.48256535655508037,1.7904019358579812
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.592490697907464 -0.8293345907948215 0.45908823339486304,0.664752639310642
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,17.49612393139573 -8.387157433562002 11.209146524341152,24.862973502783873
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,16.828589810751637 -8.416197816025594 10.480285048728357,22.964363976102437
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,0.13139525969924723 0.06663337178328438 0.02523781229828263,1.856826002946044
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-0.8595038966219933 -0.2891568127061029 0.42956295573752373,1.3581303392701656
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,12.420938714714591 0.26683808492141586 -2.8679940268489523,14.808558075213186
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.6530192401961683 0.9733604886677301 0.4366688274546677,3.092830428587247
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-0.4866556062674784 -0.13051258260791188 0.613667616165818,2.4210471743528252
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.035759301999815946 -0.012580755529108813 0.03710838193454786,1.9817127331257056
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.2811302209018351 -0.2401478648335015 1.037506425869419,2.682579631818247
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.1317871693604442 0.44302069372648667 1.0832278748493687,0.40002847468726727
8,-0.5658276751797067 -0.10935934385458324 1.2620949199285323,0.051166227189639306 0.010011887471277875 -0.1251236935334128,1.5229269345456098
9,1.2918975083772835 0.8688479430192452 -0.444140951402505,-0.30155762771029015 -0.19106656463813562 0.09626921462002704,1.9886078501823723
10,1.125527796586514 0.7774539872013634 -0.32807029736367843,-5.484262577326767 -5.002059522370152 1.7091321095840004,9.013450995111127
11,-0.03295287048752238 -0.3134435882702722 -1.5983177843184297,-0.9918596163340864 2.465181606906624 10.096435547055764,12.058503870886708
12,-1.2363600715543956 -0.7145989946773805 1.075448453616065,-0.8435773679063431 -0.49123196539859315 0.7189806342795813,0.57553487146863
13,2.0281460358843417 0.8277299971979065 0.9971722018834903,-0.6523101417199937 -0.26235037194926863 -0.4124612291725375,3.218724427658894
