,original position,computed position,offset
0,-0.16210519940997314 -0.7372225012382068 0.15531755012742354,-2.2817780755382744 -13.551605362124487 -0.18652099302139752,12.993008689166347
1,-1.4192288319419495 0.6987511300788359 0.18991138109971395,0.21953414000886373 -0.11701925786235264 -0.03631660816516163,1.8445065755387287
2,-1.8342104910381427 0.2510787396845727 1.0564430966294913,-0.9980448974166639 -0.06857079359306302 0.5844959197968509,1.0119697929292504
3,-0.3000946352771734 0.25625347865444137 -0.6378331869209131,2.1035600873961595 -1.679631520814184 4.129381994827898,5.679044580393238
4,-1.759033352229458 0.5444320590011676 1.033993487392955,0.7187674905017677 0.011100144775819516 -0.4129075695935313,2.918469224727144
5,0.07079336138639825 -0.5489208225292167 -1.519724563630031,-1.2624142432012135 -4.819966567108517 -17.855132348506338,16.937084216813016
6,-1.1384983147467609 0.4047142687504671 -0.47213991664441646,11.62442703083806 -4.948659038949611 6.027794054768456,15.290520291386235
7,1.286931524379224 0.04564943633356555 -0.9345947607800597,-2.553208136649427 -0.12124862302886033 1.9378615909095058,4.798492791573821
8,-0.5395341557603701 0.016402783546465294 -0.605426924266192,4.80164857059006 -0.3353765330094394 5.77929925023146,8.331669096113707
9,0.2634902842450484 -0.5921318068235655 -1.239248961485406,1.7311782386137744 -5.2670253340493725 -11.043857730621767,10.960797896965458
10,-1.5832146118109782 0.15523836247477008 1.2507079370282352,1.6732737789087848 -0.3576770432840632 -1.043546470311799,4.0163916813424105
11,1.634958907181415 0.6915897345533922 -0.959767603724756,-2.6121879883050525 -0.9346505173902365 1.4207610946181468,5.133208644942866
12,-0.0604380507245752 -0.10965472569410717 -1.5005242728578374,1.7048118812037685 2.4066850110708677 28.27761864884442,29.936363654564357
13,1.3438889694187122 -0.8347643185853564 -0.48108071012701825,-7.002354591069965 4.408048964582832 2.7166000386307965,10.36204781228787
14,-0.5623979045081304 -0.42056306007298777 -1.38658211563763,5.18299242443692 3.8973893500704673 12.893436228460889,15.986655277323933
15,1.3716779620547639 0.7473848896332557 -0.7067048339747164,-8.818110348741595 -4.769157460410913 4.734076723912137,12.801020634282043
16,-0.8040208046575725 -0.1022106603475873 -0.8348140655741283,-0.05896909683219946 -0.021983247233172087 -0.07422211890121311,1.067725898577079
17,-2.0411499697658155 -0.510418176562762 0.26879426686920915,-2.4063733544639563 -0.769795881171243 0.4261298577005581,0.4747835322761102
18,-1.8572805924252536 0.8958489516020035 -1.3383224312085187,18.275148806006978 -8.760600391193375 11.708240152156314,25.860675216136315
19,-1.0566692317225062 0.628104284393565 -0.730429528267253,17.131550523077355 -8.567712429792472 10.668958886491678,23.35209710326538
0,-1.516712732170624 -0.7540195728817027 -0.21574267812351167,-0.3879499340337353 -0.1967377837445574 -0.07451568373688164,1.2667334016695058
1,-2.0292601179817127 -0.6908460648033954 0.9906637896219901,-1.4540977173277234 -0.4891918035022269 0.7267291234412999,0.6641820053561316
2,-1.9801759300420094 -0.07327471767295823 0.5650239656832801,16.468288326544688 0.3537869898498946 -3.8025268168342117,18.96322005795583
3,0.9452226481167076 -0.5053479452799361 -0.3558969535272998,-1.4556630994357782 0.8571496999842821 0.3845343619377443,2.858127138367448
4,0.9504507502248858 0.20910475157789643 -1.304887779670217,-0.10120181529101209 -0.02714056944610485 0.1276144278242521,1.7927207101884082
5,1.5929932835229406 -0.42170096353925707 1.1924560953178065,0.14066498143066966 -0.04948843081151295 0.14597180492427508,1.828367861404885
6,0.4333158232848717 0.27176628808926206 -1.4970042233545013,-0.0972704815782112 -0.08309067017910698 0.35897510186229953,1.9626779010759638
7,-0.32227728791201415 0.3857984718461419 1.4303041094404265,-0.14249954425424097 0.4790318151424725 1.1712785033522077,0.32879592154748594
