,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,2.4570906233824497 -0.7607568771195204 0.6682978437310588,1.715824155352371
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.725330265068922 -1.223277177539364 3.50887506422244,4.436357239302977
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,7.545249777127066 5.060398632240677 1.6148468428944656,10.380858761099585
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,1.8811951627474661 0.08814842987813991 -0.49594395515036105,2.439182546933633
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-13.300750260218033 -19.411892803093565 -10.311828571955969,26.80002319007778
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-1.1060540796448775 -0.31822622147743335 0.9173362252035355,0.200841008043354
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,4.266184006960246 -3.988046903561577 -0.12366255356099376,6.632610168840309
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.0252228757022597 -0.8673989732742456 -0.5358645414619766,0.2691635443885465
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.2771722790161049 -0.39862795378762006 -0.2160812011440255,1.8302419100420286
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6838505405851538 -1.1311688146977512 0.9631174777839656,1.3241813502242519
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,11.003673625652782 -2.643870317167595 19.069369413913567,21.83633524362187
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.16160106914066502 0.12964818207407716 -0.014324236116289673,0.9577284632901373
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.7444295378637396 -3.3583776022914082 -1.7585410788284899,5.41102137009234
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-1.1621560095480616 0.33424439137194106 -1.2101434755595193,2.588682801610706
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.8626214517125361 -1.9141594501873385 0.9763465797610118,1.8129561734152122
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.516625245048415 2.948361518583824 4.727816234205018,6.176187383813936
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.3182240424285201 0.7070864318247224 -0.6272869707457335,0.12247024001736977
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.31554035132391145 -0.4155095734703598 -0.39888230855652,0.16200628261469627
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-2.1073859155717507 3.997832803370569 -4.267628509802407,5.143366417623806
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.01882241207092561 0.025925744651520595 0.035195453234507075,1.0593375166815793
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.6027844861375162 -0.983266197486309 1.0473059850965696,3.5308627118533478
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4309301640401439 0.5029681353589517 0.7599978216081905,0.2854460752299861
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.25182171071501097 -0.7043957915057184 -0.27161303512696455,1.312914661442787
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.5803052968634735 -0.11053072497612368 0.5816092213026621,0.26914159234407825
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.9873356637818713 0.33806561919596406 0.758481608703912,1.970622024860253
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.1711320224282026 -0.031714209837502234 0.057214985142231965,0.9668427660037334
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-7.59036204777057 -6.250702341750345 -7.29321263136889,12.324444649702523
7,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.8880433073739482 -0.31171644193608866 -0.5216687763383685,0.05144800036728845
8,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.1247089350914923 0.9173689791226084 0.245572619255522,0.3573908091493667
9,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3365488631835563 -0.6711364557125904 -0.035921180790619706,0.16119300394707306
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.4693266559160594 0.5571790185006975 -0.4917584271325268,0.47613939693148405
11,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.7996526067408856 -0.9756655564851654 -0.6888575571262171,3.261507311550252
12,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.23429342419990898 0.21125175873243512 -0.6743605856383396,0.07934994934136697
13,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.4767878309961137 0.3883993578061788 -0.01479769944835019,0.010214350833204459
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.17588824909547215 -0.11693240670240622 0.08613031040976228,0.7960382946198108
15,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.266533752334809 -0.8743916917605997 0.847284233925356,0.17476005756129476
16,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5733365960762201 1.0736537976038505 1.0795208905440323,0.41371484734029523
17,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.6915545186024346 0.6025036795961931 -0.6180149877626614,0.44075328480059645
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.169884905773938 -3.9774859325587846 -0.7825378193960901,5.5733270861494395
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.38485695932971326 -0.30853941645484784 0.42440693607913804,0.47875762110090114
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.39265538161936503 -0.9144336582223226 -0.36723514181181127,0.07546339795470386
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,62.51245581197022 -4.4840820995631425 -5.737529688928687,62.32455171053329
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.3833299543156893 -0.47502176877367247 0.3573281196980934,1.6689172376531658
3,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.11075054338768489 0.35627203567425975 -0.10537908848537923,0.46859980764482356
4,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.6245772588022613 0.821422605629603 0.8013563044151353,0.21830278687492602
5,0.9357128184894121 -0.77672857139621 0.6911347922515148,-6.3491334335568546 4.8152745981221114 -4.397608211648844,10.499275676140728
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.20199081017630702 -0.11463282438351588 0.04894323920581688,0.3798140828632004
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.18119648103999741 -0.7365638201111732 -0.6242917463139404,0.13042010060643722
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4910079455350906 1.1108072074897362 -0.9086660800332953,0.23969045115875195
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,0.7405933722192705 -0.41216992072039826 -0.21136621141761602,1.9360304483096302
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.09109260611497634 0.03727165966720856 0.08079973490710823,0.28272111787552157
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.007149764108802707 -0.5974047582834643 0.8829459205594731,2.010815176170909
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.3467618031124848 -0.5654609832005778 0.6140634757931517,0.1869551439784783
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.19027772961951042 -1.4139590988336854 0.42653650122677217,0.5595731308796827
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.15460017957119565 0.4720276057629598 0.12354045055588823,0.4504589837378226
15,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.31621653712499836 0.3921184736488794 -1.3210746590614166,2.4363322607231446
16,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.0889696738229486 -1.0795684194821706 -0.9170545083650448,0.624248620574738
17,0.9677163376000693 0.4348643927055915 -0.5584491719387301,1.2735877251522603 0.5602398370624636 -0.6992879503010394,0.3593214010622989
18,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.2719774404843493 0.10445259869816745 -0.32731708219334826,0.7407506652843697
19,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.37787318136347936 -0.23012355721300842 -0.7880398153896464,1.7138640237849796
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,90.26272262052366 78.83437890399733 -65.71461266150665,135.12696733494448
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.6352684010146529 -0.8174030419634577 0.45392841559351194,0.088808401425633
2,0.23906275587545278 0.5912753088472846 -0.9346377744488021,-0.6813484762615425 -1.5789536898281284 2.610646666102131,4.257474898029132
3,0.4736327499889956 0.17114022100613857 0.5353547003270378,-1.635239184586035 -0.5336854404535719 -1.8416625346496318,3.2548933907067497
4,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.1091564370529437 0.8790250813438497 -0.4304043478067549,0.10614520443106207
