,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.8265761837777414 -0.5655389264718037 0.49680582124754924,1.0353213479698444
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.65905043775108 -1.2015130400481435 3.446446335280674,4.342744716587305
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.14771027711019 2.7817591243759745 0.8876998169810915,6.226502250417377
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.1141928719454887 -0.0053508123795987005 0.030104938437069035,0.37724938558311816
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.26398433282167455 0.38527417402591835 0.2046622282564876,0.6244182048758798
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-2.2451570009635073 -0.6459610268510728 1.8620824118423056,1.713679813547548
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,4.787565856144689 -4.475436867478014 -0.1387756876277171,7.346367555001459
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.8621674563447855 -0.7294444789984578 -0.45063856806859875,0.12247850628043339
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.01356654077288503 -0.019511339328263804 -0.01057636223932786,1.3251102801841375
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.5039210175035518 -1.0102966467423824 0.8602026024595777,1.0846777478689775
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,2.627758276767944 -0.6313756973345425 4.5539058149940495,4.95727216907361
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.16681130714864859 0.13382821559427827 -0.014786068948493644,0.951087007510404
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.8815139936815344 -3.622292742483645 -1.8967344776399193,5.738918049347652
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-1.6632962822933401 0.47837592283547725 -1.7319767117346296,3.3263870599133027
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.2542524491534157 -1.288957118076912 0.6574524779374243,0.8841524632011293
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-1.6826242027838454 1.4107230950215672 2.262151201123571,2.740026085186562
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.5764206575647658 1.2807933142860553 -1.136247171645696,0.9249092273943892
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,0.2253311832780424 0.29672041455426973 0.28484668347045317,1.2876576114231166
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-2.748515175109168 5.214092040010655 -5.565967597224874,7.033509145916446
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.15011907812639885 0.20677205833988016 0.28070307747466106,1.3905777246459783
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.0583648184018006 -0.6492790263094299 0.6915663448920781,2.7999733530025996
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.40963761548723293 0.4781161423067784 0.7224458192953717,0.23627198206735534
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.18901904982581488 -0.5287241629550927 -0.20387454947483266,1.1149342337877868
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.5908886916098931 -0.11254654371903867 0.5922163965438212,0.25628492754575943
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-1.040730893455229 0.3563482479348995 0.7995003839648355,2.0403828609126506
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.06454840249728142 -0.011962118792426382 0.021580624347416907,0.8529750697067178
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-7.414481005674074 -6.10586339536241 -7.124217024866398,12.04076881997335
7,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.0105996473711358 -0.35473554463458573 -0.5936628056700034,0.13340158953602851
8,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.0597060304398231 0.8643493520708723 0.23137967292383055,0.2797196514482009
9,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.342593649656572 -0.6831908020879235 -0.03656636457072198,0.1585682279326222
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5432614138272037 0.6449534828886438 -0.5692269446405357,0.3391224066879777
11,0.942619589081253 0.47040988797254535 0.32417697153162406,6.545675647772429 3.548679478213761 2.505504739956903,6.754862818765672
12,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.24971513631954836 0.2251568173957947 -0.7187484930329251,0.106246204515992
13,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.49677617048636213 0.40468219414746043 -0.015418062261785116,0.016730462022883853
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.23640488126081086 -0.157164517039557 0.11576456022553465,0.7189754048989053
15,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.27293990825846365 -0.8954077524534688 0.8676487651212466,0.14523162224286448
16,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5763760652389697 1.0793456331357516 1.0852438297036955,0.42205325729498966
17,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.8282067236754354 0.7215593059664823 -0.7401356717784395,0.235956661887915
