,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.39149220770559556 -0.12121261890647722 0.1064809721535605,0.5277455197405581
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.9900661799188617 -0.9818403891659748 2.8163324893552852,3.3978946175285225
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,4.430764059443598 2.9715957785994918 0.9482794558627727,6.572575348380242
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.2756906254661159 -0.012918221483978348 0.07268097531776235,0.21355928403518168
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.17667723599249485 0.2578530908960133 0.1369746318424411,0.7873727649299356
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-3.279509069124699 -0.9435576420491182 2.7199506112373175,3.0898758731086375
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,0.16065144103860904 -0.15017764844213388 -0.004656753529542014,1.017990687736006
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.8397442714236468 -0.710473143068393 -0.4389183948353858,0.12398846732471999
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.3703168616923916 0.5325880833159148 0.28869594233025203,0.5903821296265143
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.1877352584314067 -0.7978909363224677 0.6793528040665754,0.6645852444002666
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.009223109424261529 -0.0022160512996264865 0.015983651164113214,0.32085960277371534
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.21983570623710694 0.1763682617953654 -0.019486124563882677,0.8835437385817791
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,0.2285615890458386 0.44002701441050474 0.23041053516649346,0.6956781898218102
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-2.2535899787897997 0.6481486174609427 -2.3466446733595876,4.195335193494881
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.23285331896117292 -0.23929627814992263 0.12205676110125024,0.6752552898542322
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.27340704569071295 0.2292262485345064 0.3675735055882503,0.10102948029682264
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.25991491557858837 0.5775249061383205 -0.5123473349175003,0.08049173231725397
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.25565920828632405 -0.3366569383063574 -0.32318508481439123,0.2865940297615863
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-3.544931715585851 6.72494021790633 -7.178776105008018,9.381962922094505
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.2730162510316827 -0.3760490198222931 -0.5105047461100235,0.32855171232902225
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.7186355956284428 -0.44086406850288284 0.4695773929150272,2.3439462030676457
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4005525523879533 0.46751234236893646 0.7064232041693108,0.2153796020799229
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.177446037947151 0.49635212942696644 0.19139198443705602,0.09736901700063635
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.6672540479535007 -0.12709184986278874 0.668753343005565,0.17461251566494704
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.8757707928767154 0.2998655940711734 0.6727763051652346,1.8248648343668978
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.04487930825042516 0.008317039552390448 -0.01500460824518694,0.7361454728690152
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.4579859782520121 0.37715381805661197 0.44005662714843596,0.656612195330062
