,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.399731264538741 2.850356843683055 4.570661797714339,5.957175333034716
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.605818830931204 -2.5482771072913075 18.379886945444543,21.03457997717917
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3230542136435137 -0.6442257979919963 -0.03448084389199367,0.17079851949829694
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.8735345614018561 -0.30662365576921913 -0.5131458138942876,0.06142794218656661
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,60.13657956154285 -4.313658077231284 -5.519466578993446,59.932610318132134
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.24545083931351172 0.30436677772296655 -1.0254330365216116,2.120219652446808
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.27801963000622704 -0.13120137796011047 0.14133439049862706,0.8347454826677801
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.49628081260646506 0.12270853465864519 0.49644739053182474,0.6335160712794367
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.0964494405424539 0.08129106332912801 0.24058324946436638,0.71340874227833
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.033261658141355364 -1.6512927698357234 -0.18677536994982277,2.235559974939832
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.16791231479743599 0.150235617638475 -0.14244214240972616,0.9845201285247023
1,0.9117377916955973 0.452352634825238 0.25237684863553644,5.487980438732721 2.6801587357639285 1.0423426038686818,5.150646821747931
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.5426595917776047 -1.746203107576009 -0.618546282923359,3.147117418944756
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-12.480680969024775 20.05013031479367 16.465167049622856,27.42160550153614
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.2207270358614433 0.30212312624990756 1.1192792983245252,1.494938369031427
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.13548982515869265 -0.9158505390913503 0.48063155751106507,1.7304234922425534
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.371909275493008 -1.972278533739263 1.3306893600487153,4.901908342758286
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,1.3164231905462385 0.5234019027963244 -1.8700978644932431,1.4996480976781439
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,-0.2840784228814797 -0.45147134578393505 -0.044635434988245334,0.29639370939289317
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,0.0033533672190671163 0.1049069529737341 0.0019156734583964969,0.8250420186172357
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.0475967124362935 0.04047477329337763 -0.019292537301603793,0.675396344804731
11,0.7025500335578911 0.683516623141857 0.5779574039742612,12.81555846853338 9.515845850281954 7.0724870324964435,16.337500666201453
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,0.7061552857862817 0.46463693068456485 -0.3911633854557114,0.09577506425241449
13,0.6862068645642059 0.9089283855774439 0.4322858466503787,-2.876543414210538 -4.018853087835111 -1.5620003467633685,6.3994841370112185
14,0.36349278975418287 0.06014106029853972 -0.7519835541293949,9.906828905133478 4.88153099697278 -28.392920385590074,29.63684284895012
15,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,-0.03570482902376965 -0.06996611931564606 -0.004814170549262028,0.8919618710220398
16,0.18650401714811826 0.06282834181048846 0.9184887521438521,0.6056935157590225 0.15363885610676817 2.5536322494470176,1.6904616653521733
17,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-1.149541489227124 -1.8978972060139994 1.8260033893171914,1.691329109149346
18,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,2.125723270325822 -2.1674966110636134 -0.5683780472523626,1.7830624564401765
19,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.6652599994434321 0.036380068010931035 0.9807686657847702,0.20860086361482377
