,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.457152191983271 2.8984989233878014 4.647859558077803,6.064758924263061
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.801769381257875 -2.5953584604162843 18.719469302951744,21.42945867487632
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3272817583784274 -0.6526562510409758 -0.034932066330503116,0.16726534051897127
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.8800941545360743 -0.3089261707652427 -0.5169991562878296,0.05645819128468909
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,61.30224079560237 -4.397272144314536 -5.626453512249859,61.106153491431385
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.2747617276135851 0.3407132031376953 -1.1478866947643496,2.2511423503320493
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.3005181761889096 -0.1418187586867916 0.1527717782534537,0.8089940253816211
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5084575890342148 0.12571931878400275 0.5086282541257581,0.6161779531489592
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.0932575994649907 0.07860086467473182 0.2326215288585124,0.7222737210827905
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.033901400930377315 -1.6830531420209278 -0.19036774034772974,2.2675289256232607
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.15548362493542203 0.1391153379847207 -0.1318987274527766,1.0042340328517614
1,0.9117377916955973 0.452352634825238 0.25237684863553644,5.543071042623541 2.7070632710342086 1.0528060674595825,5.21283556891371
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.5702533257083005 -1.7598042630613515 -0.623364132652535,3.1782544127251455
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-12.68273866561344 20.374734649906834 16.731732130186273,27.887708538770394
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.2553255419926734 0.3068301472692149 1.1367174575580927,1.533963539441195
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.13959452977957343 -0.943596504040684 0.4951924337447314,1.7620254981239047
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.439042597273416 -2.011545785206683 1.357182835910356,4.9840706835079995
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,1.332566287177753 0.529820300432159 -1.8930305891320252,1.528390504170631
