,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.48691447143904 2.923451812404419 4.68787251884923,6.120521402749531
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.901229582364618 -2.6192559225177225 18.891833858772902,21.62989044469781
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.3340844007100717 -0.6662218926561435 -0.03565813904023515,0.16257297626124226
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.8833885641842975 -0.3100825576726119 -0.5189344117372828,0.05423057453934506
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,61.901038328268214 -4.440224500970717 -5.681412457258537,61.70899995872079
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.29430582414306006 0.36494849889313113 -1.2295371071497507,2.3384479611978106
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.30251845417957157 -0.1427627180348141 0.15378864195704073,0.8067097365921193
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5143779846804087 0.12718317363369638 0.5145506369679085,0.6077511262211741
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.09358321390687985 0.07887530425745641 0.23343374072891446,0.7213692223223482
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.034226887530592595 -1.6992120979974985 -0.19219545681064817,2.2837940052708383
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.14884039752827483 0.13317146559019372 -0.12626319354014717,1.014771527845883
1,0.9117377916955973 0.452352634825238 0.25237684863553644,5.576794224799111 2.723532622977906 1.0592111758436313,5.250903893063267
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.5897933551402272 -1.7694356880493325 -0.6267758103088877,3.2003035606699903
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-12.785866213631632 20.540408364501545 16.8677833849016,28.125601302500076
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.27852128807772 0.3099858576333187 1.1484084569393445,1.5601271587416377
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.14146351983772526 -0.9562300398084795 0.5018224194397463,1.7764148038604288
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.467773199599346 -2.0283507302983765 1.3685210730037356,5.01923315865686
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,1.3406073874117386 0.5330173932768222 -1.904453697205283,1.5427078772903935
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,-0.27952078689632703 -0.444228127411561 -0.043919322646266294,0.30483799028490444
