,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,17.03612736648458 -4.093297656405461 29.523613402765253,33.99291384956679
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-21.711323263796455 -31.68677492356884 -16.832392097174722,43.045661550560304
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.8307613509293423 -1.1860686026758518 1.0419190591961636,3.200549175548171
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,2.0931091027884334 -1.4060985139521245 1.1972024305100784,1.8693708770161834
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-5.457383319464848 4.575505733494752 7.337007402302933,9.812388550295196
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.1984964336654154 0.9615213851817609 -0.1062341108981841,0.4012574748212061
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.6155415198514901 -0.8105568536438656 -0.7781211544596048,0.4625442401116934
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,4.04393307402736 -1.3278959675975874 3.8089658943504405,4.886348632451127
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,9.631857780697304 6.459831202292688 2.061426140658511,12.93248020054206
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,3.2492800026634456 0.1522537034652529 -0.8566154154672412,3.8552124462862523
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.4290613005755119 0.12344654658131864 -0.35585373364133543,1.8455246581753306
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,7.010741091442624 -6.553670506425533 -0.2032181791287799,10.390013381242152
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.2255866271849802 -1.0369185152552434 -0.6405908720565259,0.5365384301248176
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.7288406807320689 -1.0482154645072541 -0.5681981267905359,2.6959980763160853
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.836141798356673 -5.460143207726127 -2.859084732021028,8.022407518669985
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.32772278549496014 0.09425542016435266 -0.34125503581325806,1.3603832481814724
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.7724458771531215 -2.8491583574355834 1.453257207599651,3.20199983734356
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.3749493448176915 0.8331287363421351 -0.7391045531910695,0.29561000816675687
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-3.275657461466306 6.214111404698574 -6.633473758937929,8.587896299551936
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.22554423748444555 0.31066168813060724 0.42173827843022366,1.5810056676738529
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.06407067639346423 -0.05136539336780174 0.07065492464532044,0.9683483045318275
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-9.871622321663857 3.3800623587919754 7.583483767185406,13.579224942369171
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.15929679284491455 -0.5225896944291502 0.5063886277443244,0.674691541951289
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5212043396977234 0.9760287804298385 0.9813623913012888,0.27347597697757753
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3849434184291065 0.449293852096072 0.6788945956015223,0.1796819906081553
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.6606255520935036 0.5381566464215412 -0.020503330270314216,0.22772489352188727
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-6.737882033291902 -5.5486806477572 -6.474105720465806,10.949492735888821
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-2.1341719337964817 -1.3092584438367376 1.3945299937838336,4.244322439041993
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.49766058017940734 -0.17468628394273872 -0.2923438347412851,0.49840415147345446
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-2.7206398451329843 -1.4749705462903118 -1.0413861600392726,4.366776543707964
