,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,8.73205372551269 -2.041581205283027 6.085829347059447,10.536196896001476
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,8.333181947155186 -1.362596086775467 5.095615097527194,9.241403459453693
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,12.116697833499849 -3.717034877249505 5.511752983150053,12.898902740436611
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,8.605080560569334 -3.0660832233740436 4.8850601437824155,9.476182027480782
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,10.083062902906637 -3.380226010827852 4.050427699479494,11.518900573817342
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,10.890387791870246 -1.8044403931773543 4.3225350051252125,11.103282444743426
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,8.49607412698934 -0.330350599297873 5.4577899615929155,10.698115136204862
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,11.461511438728188 -3.5437666192019313 6.484136155532957,12.825657496971218
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,10.624426119285236 -1.546658299252632 4.6968658873262275,12.57418032560179
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,11.553102585034868 -2.7660826198994704 4.195788591259938,12.970474404429714
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,10.634473579664906 -2.189745008812527 2.855119533527198,11.951339787038146
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,11.10629820052747 -4.379146631203082 4.628546960885254,13.54352338495876
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,10.788609612164032 -4.095639681957754 3.6227483139407943,11.254618760880614
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,10.375789651082027 -4.269882594881685 3.805855614480702,12.696936835294144
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,10.061694432989551 -1.728643610917079 5.498795833059124,11.062485233600345
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,11.111292072931043 -3.2932585802431644 6.632739062710784,12.503563412434238
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,11.111853871811597 -4.540873250627865 5.505808425467565,12.257233444042479
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,9.537490241550364 -3.4400579972472465 5.189199607584371,11.623002757158357
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,10.036778889141358 -4.3479807160259245 6.112269531537869,13.443286992820411
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,9.930099304771867 -1.7511529184338506 6.233031243705726,12.545730571338966
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,-0.5476787175579091 0.7321563507705695 0.03846126140661678,1.8275687953711763
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.23173130388281815 0.34749635305437104 1.3146863212838282,1.9385595799028352
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,-0.9223248535898219 -0.07119047824090036 0.28340041330604987,1.6698755428428391
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,-0.16374470672570077 0.42391284499723925 0.5951362438018829,0.6880437788531657
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.21843156332540314 0.7625057114629032 0.7385906395521872,0.4766390688220117
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.30498155258862936 -0.2569694911660397 0.11537455464841861,0.6900662630283223
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.44647040342647326 0.31818279550995526 0.9493957821036361,1.021658398863146
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-0.14414469488989035 0.4296412859993695 1.8352531217719865,2.7492092926121288
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,0.9030289768872403 0.400455224717421 1.4333437716427784,2.780629081286799
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.5851567239162053 0.28543232663088236 0.839289494558409,0.6537104171962794
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.5035999837486427 1.124231043585212 0.4797504897083832,1.2744511931909013
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,-0.41050808710442155 -0.02150738470260473 0.7056290721458363,1.512668372300827
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,0.37375364614553874 0.12277376254662187 0.9093623732083328,1.5807784281992148
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.3075542653348974 -0.0025235845348554192 0.22296178696959842,0.7184810806633796
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.23742989610913565 0.39580404278085746 0.734761334843395,1.1858561178987217
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.4614204189190735 -0.17523706464498812 1.1046447656930893,1.8374430488200912
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,0.9539563041804606 -0.5125277678324576 1.990313570476294,3.6613172740830424
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.19029749294159784 0.7638230125018629 0.9293851280230582,0.7973772808285068
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,-0.1351172690943172 0.6420623076581822 0.7078693912863355,0.8062560696379067
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.6565196322927525 -0.3492793047341567 -0.041738037713736506,0.4620690775694011
0,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,0.5010071399422641 -1.8317869674932576 -0.5588079054478295,1.2173556573243
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.8461928019793741 -1.8418259581009941 -0.03501252579649154,2.7079226439641997
2,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,0.9617324106981785 -1.1099965936877945 -0.05620819404433978,1.1286914385327602
3,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.9405878802225911 -1.5468980264936567 -0.22776215166548436,2.1196854248728974
4,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,0.6024175417574358 -1.451737984304784 -0.4968914320966319,2.580028769782832
5,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.8914838939764447 -1.6883823554418242 0.10154033051428349,2.505790845480546
6,-0.6612428092374805 0.39467150813450713 -0.88674268530274,0.5744092371063494 -1.207079457393732 -0.13567662159167457,2.1579023071637824
7,0.9677163376000693 0.4348643927055915 -0.5584491719387301,0.9851600961030555 -1.192164946492158 -0.0806259488837222,1.6958312969784617
8,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.0667267749746185 -1.9165981658552993 -0.27492573482534644,1.2435647636511418
9,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,1.0826944721708902 -1.7949468693095556 0.11629689935298183,2.995936216129252
10,-0.5152301896980707 0.7010663648362798 0.6557070663883529,1.044327719334928 -1.6809023957724563 -0.37890663129431773,3.029260891962907
11,0.9357128184894121 -0.77672857139621 0.6911347922515148,1.1402828685865427 -1.6716013125138383 0.07081459780819369,1.1079003889458294
