,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,11.627771155285638 -2.793823231962089 20.150930604090526,23.094013986751623
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-11.865097883977874 -17.31661776335129 -9.198793524828703,24.02698636384006
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.4812929766187204 -1.0778672744209756 0.9468680428512796,2.8227257269873482
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,2.0010192566147524 -1.3442348510965239 1.1445295012692878,1.7466622480382077
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.327673819181902 3.6283499276542757 5.818204987148283,7.695765725436677
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.8921575191252931 0.7157539309200442 -0.07908038619317599,0.12176609114644982
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.1006984050602634 -0.13260158696085228 -0.12729532723745057,0.6090902868503973
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,4.022769493068932 -1.3209465366104334 3.7890319942098274,4.85645730784701
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.8922210216881306 4.622429589671052 1.4750845480481587,9.582320088875914
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,1.7897780589006795 0.08386483701777339 -0.4718434466289851,2.344572471646648
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.3361865988943288 -0.09672528047800408 0.27882555769131584,0.827681092469152
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,7.702302279238415 -7.200144837845077 -0.2232642489389372,11.336832467432517
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.1151786668472736 -0.9435068740327125 -0.5828827264012787,0.3865384470441393
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.5631229303090893 -0.8098809240117325 -0.4390059482314289,2.3783304098640445
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-3.075419172781636 -5.920800263549645 -3.1002977377786682,8.594778584769058
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.6487930808339977 0.1865975365166477 -0.6755828884494975,1.8329962482290465
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.376733117649884 -2.442496382472067 1.2458329889246451,2.597858536748372
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.5871791671656051 1.3046984727629427 -1.157454472155573,0.9585928168095873
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-3.905388023685695 7.408746654143444 -7.908729553789452,10.444957676148295
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.3513633048440927 0.48396322888782645 0.6570035082307115,1.8987935600599741
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.15524789279446455 -0.12446207113436145 0.1712020035402129,0.8224807485712686
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-7.2956228996477215 2.4980352310402867 5.604574002954707,10.213256584812783
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.19496578572424642 -0.6396055348394026 0.6197768010691432,0.5080681871231124
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5519147240785893 1.0335383150418718 1.0391861927517279,0.3553345449063193
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.37753846361499355 0.4406510217117856 0.665835056034669,0.1628739570350797
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.4899785524981053 0.39914474061024496 -0.015207089788463449,0.008422880134024318
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-9.15113591015991 -7.536007677013671 -8.79288492318424,14.84179282525082
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.971386521058443 -1.209393867423912 1.288161272023985,4.025756104320874
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.6094677640167169 -0.21393227255530128 -0.3580234207411238,0.36371356809816585
9,0.942619589081253 0.47040988797254535 0.32417697153162406,3.676002073904474 1.9929116295237435 1.4070725645248585,3.3108993078450704
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.27805193873558176 0.3300999514176676 -0.2913416110722995,0.8328352460194449
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.20874117985269608 0.18821245843477133 -0.6008142344285083,0.09272115346988359
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.8865285944195931 0.7230971554071854 0.19356754639708265,0.1306238120961169
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.4400165754922292 -0.0838099382403356 0.44100527638731557,0.45296349054070933
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.25863999750915223 -0.17194666234828124 0.12665282293959051,0.690740991466448
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.31260010852041176 -0.057931094929948676 0.10451235432549844,1.118053814803403
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.5420887814831037 0.47228450791043214 -0.48444335571922453,0.6747035163862912
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.505298987489405 -1.4134225330652586 -0.5450117515637949,2.11292927467823
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.1395049245039814 -3.921798210223321 -0.7715817155801569,5.508991996097729
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.2523328637733072 -0.5031952336747626 -0.026932476708656,0.2749418366010041
0,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.14814011984395933 -0.6021896891027793 -0.5103998355030256,0.290634111089743
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.06653373592595559 0.21403154164559765 -0.0633068175644162,0.6220700565257449
2,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,56.13444272372968 -4.026580727264112 -5.152141721445433,55.90341193733184
3,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.25404264783550135 0.3150208911167713 -1.0613274923179623,2.158594963228357
4,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.5585372921314262 1.263578838984488 -1.033636820765467,0.43410917200090643
5,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.007678634600444705 -0.6415949921729502 0.94825773168967,2.0896272964475506
6,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.22911206258693656 0.08799020348042368 -0.27572982409021257,0.8087812568254822
7,0.9677163376000693 0.4348643927055915 -0.5584491719387301,1.5619307316616617 0.6870793439096388 -0.8576082497382007,0.711476831351995
8,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.4055830966206863 -0.944540307142707 -0.3793259254201588,0.08532074568657796
9,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.4364732547912041 -0.5408768482062598 0.40686663193715444,1.7669304790999596
10,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.520350997342634 0.6843477985394775 0.6676300591361098,0.021163432755965172
11,0.9357128184894121 -0.77672857139621 0.6911347922515148,-5.438091674057946 4.124327354966446 -3.766592221096102,9.193316214950972
12,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.13259419853273022 -0.07524920297813815 0.03212814271315892,0.46104672082465886
13,-0.8995145382342526 0.5016270419701312 0.2611113540046264,0.9478670211874073 -0.527526021203202 -0.2705223523614871,2.1805066042722343
14,-0.29627595380890814 0.12556689262733722 0.2541057537247253,0.06450641269781032 -0.02639359178494284 -0.057217608191085484,0.5001781087568365
15,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.06428319739149355 -0.104825963165497 0.1138359625281822,0.9053123124610858
16,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.21500050084180328 -1.5976746991198902 0.4819563570284647,0.7521384793231578
17,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.11022025321135 0.33652614359339433 0.08807661012996168,0.5939539200928422
18,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.0451653031929287 -1.0361422191900669 -0.8801655145408839,0.5550275727061459
19,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.4413115218030525 -0.2687573033628889 -0.9203380057725706,1.8654813485484638
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.31831572675243697 -0.1502176733900348 0.1618193622719214,0.7887010270026328
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5747808931425754 0.14211817051093856 0.5749738198209479,0.5219139930813085
2,0.5124444899939069 0.01831326764003749 0.16720806707546454,0.986590253894789 0.001927433040002334 0.259371209929901,0.48329778180899824
3,0.9934538129293278 0.9010660246133175 -0.7785387784895517,80.49046356116845 70.29940509568392 -58.600045315546616,120.32967482275453
4,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.7092419733440701 -0.9125852089819851 0.5067859265757243,0.06931557220494791
5,0.23906275587545278 0.5912753088472846 -0.9346377744488021,-0.5947848626729941 -1.3783515870239402 2.2789705604173354,3.860312226986224
6,0.4736327499889956 0.17114022100613857 0.5353547003270378,-2.822550674453755 -0.921182793378154 -3.1788535146969736,5.084617724065063
7,0.8289382726191252 0.4408678701078228 0.9019293641763275,0.7600205974310764 0.4321406812975266 0.8401757325301474,0.09294794671937649
