,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,17.942711439812992 -4.311124066296612 31.094723850712995,35.81985910805833
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-22.796905484597904 -33.27113710516478 -17.674024151206254,45.142555226352854
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.9146185975466232 -1.2120322266681098 1.064727178913948,3.2912158252501436
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,2.1364033506918667 -1.435182510366164 1.2219655824872238,1.9270643756629648
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-5.74198264269242 4.8141156604412405 7.71962801349648,10.345613864839498
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.2368872021382484 0.9923212639659609 -0.10963704898030775,0.4485351166799246
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.640574800937781 -0.8435211572680663 -0.8097663399598064,0.5146435480210539
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,4.189116819154062 -1.375569582908551 3.9457139372776044,5.091405672622962
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,9.981098738418492 6.6940578371924575 2.136171268340717,13.359559008523016
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,3.4194687913358663 0.1602283542624761 -0.9014826906165022,4.03137786368209
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.38893845885504497 0.11190268037204543 -0.32257675664206487,1.7921455628247311
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,7.337165201116969 -6.858813148587886 -0.21268013362496338,10.836920491299127
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.2642274053901177 -1.0696108908703459 -0.6607876735378101,0.5897354740617547
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.7479510900792666 -1.075699971259369 -0.5830964428153378,2.7326322278120907
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-3.0045725548228095 -5.784406279277635 -3.0288780069884895,8.425307258985137
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.37348824375941214 0.1074178937202123 -0.38891023035659245,1.4277485685444717
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.8498817681721333 -2.9287368689154323 1.4938474559711852,3.3202225324357615
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.395894803584788 0.8796690592842171 -0.7803924875678158,0.3606851504399844
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-3.4364726252471725 6.519187058992361 -6.959137593306665,9.06212283930993
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.2330931423205026 0.32105945109747763 0.4358537449351564,1.6000683814814884
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.07726382693855764 -0.061942328178786206 0.08520387449366378,0.947078979561865
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-10.607951688374326 3.6321829419132814 8.149139706786793,14.541361858802553
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.18059785660787556 -0.5924700492316418 0.574102586423465,0.5751739804605265
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5497736503551103 1.0295288519273673 1.0351548195086646,0.34954465011792096
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.38189341420947115 0.44573398308898154 0.6735155417402504,0.17274666014599746
