,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.191410501315174 -2.4487065530261796 17.66171719645928,20.199466154749853
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-12.604739693826083 -18.396094277424574 -9.772224301182591,25.455640870286334
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,2.4005517073655263 -0.7432514710203566 0.6529199674323873,1.6547537938886205
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.7568010262242058 -1.1801751322912803 1.0048432046453195,1.4213284439688143
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4298197321893302 2.875583211007541 4.611113291947655,6.013548948785192
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.5550889369214053 0.44533289256056496 -0.04920279946342015,0.46059448386697127
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.3927545037074353 -0.5171866470621903 -0.4964906151542346,0.005970516270589217
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.51376713453391 -1.1538067331014736 3.309604518949213,4.137549623532125
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,7.23728617383863 4.853855622679223 1.5489359629121606,10.00427208569764
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,1.7624888287973512 0.08258612716680905 -0.46464912198980907,2.3163305322421923
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-1.0588696632042858 -0.3046506478840262 0.878202537924934,0.13954704195523576
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,4.2028822895806535 -3.9288721896781755 -0.12182764629886315,6.545953596646724
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.1107925319359788 -0.939795945405517 -0.5805901769188833,0.38067418497794786
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.2889811067594605 -0.4156113579601952 -0.22528726493923965,1.8528741316233617
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.607624090721569 -3.0949996098983363 -1.6206289457298828,5.083796871478413
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-1.0650827573590562 0.30632542883176817 -1.1090618980236844,2.445786823888834
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.629443313208454 -1.6745293648662947 0.8541195551585721,1.4569598785583648
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.33787245031340407 0.7507447378293042 -0.6660181431864644,0.18142775842434555
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-4.595025968723946 8.717029669015439 -9.305302689226913,12.478805421218297
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.02584578719889879 0.03559964985950065 0.04832824779524303,1.077044645700724
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.2795782826363218 -0.224137612915447 0.30830925478028043,0.6299729457068219
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.9245021067042128 0.3165512891064592 0.710212211374231,1.8885308814201518
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.24173326485133584 -0.7930311135328882 0.768445956017445,0.28990560799916804
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5375297095654388 1.0066003425378849 1.0121010148928553,0.3166402483946075
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.4058139421568935 0.47365327104440963 0.715702305742376,0.22747075801203517
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.5691568938871557 0.4636447444870558 -0.017664487445291616,0.10974758432584421
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-3.8821449370151906 -3.1969664024053386 -3.7301657435115514,6.343518262497529
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.7161077850234636 -1.0527870657913876 1.1213547235268697,3.6830104370757497
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.8486505270719535 -0.2978889886894453 -0.498528031595326,0.08452660312426324
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-0.6088403280041814 -0.33007733559676833 -0.23304734450301104,1.8325683091772371
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.50749231855608 0.6024888388191045 -0.5317482423150764,0.4052874903078012
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.25766540101415547 0.23232521063969183 -0.7416315302916255,0.12545082878711436
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.1248005793606008 0.9174437287818057 0.24559262916431038,0.35750269329564227
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.631166338680102 -0.12021822542703799 0.6325845459903684,0.21012845619340687
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.2922651290832638 -0.19430101280015086 0.14311863594836804,0.6481438904862272
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.2410621360213765 -0.04467366806738869 0.08059489004522376,1.0415802579377516
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.6718440387321665 0.5853313000816426 -0.6004005095861075,0.47131289552315114
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.20943541224368084 -0.5858328202037746 -0.2258954870136313,1.1792768825739686
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,2.204400160079021 -4.040753775978429 -0.7949852500261343,5.6464204583432895
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.29480395715692187 -0.5878899160875549 -0.03146558316272842,0.2042804925249122
0,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.1567895902143834 -0.6373497921103628 -0.5402005961538396,0.2461941821010499
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.11220604094465858 0.3609542075325658 -0.1067639937071051,0.4635628151976616
2,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,57.45887113696188 -4.121583325750895 -5.273700653070793,57.23679583434528
3,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,0.17850831294213693 0.22135593489482205 -0.7457636808110478,1.821278733393604
4,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4838180395469634 1.0945414841640542 -0.8953603407892601,0.22052329035702223
5,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.006782735787920753 -0.5667373877264813 0.8376204869198474,1.9561229323696974
6,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.2703690043340714 0.10383488078951512 -0.32538137522196964,0.7432999365133007
7,0.9677163376000693 0.4348643927055915 -0.5584491719387301,1.5015129256235877 0.6605020919921114 -0.8244346858668942,0.637651521086944
8,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.34130462243006643 -0.7948456816503285 -0.31920879551482656,0.15326083303233182
9,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.3545161242763607 -0.43931572400380875 0.3304687741308161,1.6157775379503811
10,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.6248913366123628 0.8218356700015572 0.8017592781540197,0.2189567098179571
11,0.9357128184894121 -0.77672857139621 0.6911347922515148,-5.968121006333644 4.526309264257805 -4.133707098806994,9.953101578948242
12,0.5113308204450631 -0.30465526504531293 0.16056298491899157,-0.15649138878495847 0.08881121805720062 -0.037918534354446205,0.8001232967230858
13,-0.8995145382342526 0.5016270419701312 0.2611113540046264,0.8573094367048087 -0.477127092699461 -0.2446771122267287,2.0736952783922167
14,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.004072089757225599 0.0016661455856700215 0.0036119701360447136,0.40432861499130895
15,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.33163914382215215 -0.5408006148608016 0.587283499902771,0.22245213379614653
16,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.16666909609061079 -1.2385226867219294 0.3736141546952136,0.37656078776113533
17,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.14358749016022643 0.4384034959456941 0.11474024983531493,0.48587523923624004
18,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,0.9300745654568114 -0.922045078726431 -0.7832441011635586,0.37790215844912756
19,0.2873539117652848 0.17775149387141687 0.73788310182956,-0.3197953597161531 -0.1947543498391477 -0.666920778351748,1.5750761198213308
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.29303842464774915 -0.1382889586184384 0.14896936284441445,0.8175434704669662
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.5261772629426601 0.13010061897675984 0.5263538756881179,0.590962904889219
2,0.5124444899939069 0.01831326764003749 0.16720806707546454,1.9308348796559425 0.0037721383595125794 0.5076098987742712,1.4587378616291127
3,0.9934538129293278 0.9010660246133175 -0.7785387784895517,85.12646667499617 74.34843458942207 -61.975227672980346,127.3495761044875
4,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.6845366094658856 -0.8807966932072545 0.4891328107211127,0.044499545204139346
5,0.23906275587545278 0.5912753088472846 -0.9346377744488021,-0.6300085678142269 -1.459978832317461 2.413933287419055,4.0219220123821495
6,0.4736327499889956 0.17114022100613857 0.5353547003270378,-2.93563757347503 -0.958090440945917 -3.3062158645295527,5.258892509941401
7,0.8289382726191252 0.4408678701078228 0.9019293641763275,0.734568108210388 0.4176686313692432 0.8120389111755828,0.1323791001225677
8,0.06374102306523044 -0.1404857519151288 0.7630650185871208,-0.0007004180399298234 -0.006045651431707524 0.0367959917667661,0.7414132041367265
9,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.2045698456233807 -1.0847477587233492 1.7480183023071274,1.239844151729467
10,-0.48557222210726536 0.04656211699465551 0.054762287781279895,-1.0028281799472492 0.06602893536218549 0.10359348407857376,0.5199203483901533
11,0.22810105003051162 0.022032056398898936 -0.07375328130959202,0.454344329526949 0.047076031214238326 -0.14849043196152253,0.23958059996465444
12,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.2761416852183717 0.4985399131179813 0.4352783164024861,0.29210165203451605
13,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.3799126086600374 -1.1236202437120713 -0.9203188639638183,0.4836368278170464
14,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.31842534983534254 0.028871032990748 0.4111640620789821,0.340911999397302
15,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.5886235938314996 -0.26633736468444913 -1.388807888420281,0.816230719447401
16,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.4366991055775482 1.1397875470212375 0.644926575283093,0.56903295520275
17,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.32699300574340623 -0.3742026005467982 0.22928633412974941,0.030191734629973398
18,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.6195585144879805 -0.19522578687386752 0.856263677949602,0.132671737804416
19,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,-0.09816204552431981 0.7904884254333303 -0.38705340998607174,0.20012438732242938
0,0.9483010693778013 0.26109847508276895 -0.6262314443789425,0.6953928781038897 0.19060579602723918 -0.49775525738152643,0.29229762510027757
1,-0.8142038040976471 0.4796144734679235 0.8850483594868985,-0.32935424270191066 0.19146860705837912 0.34972808336985983,0.7776084718780831
2,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,-0.37045927747884894 1.2760140312845578 0.048842830157576705,0.3743090176408124
3,0.3270684165198672 0.40530285290193957 0.8328528516693943,0.10645910082660896 0.0897275656404519 0.2655513216859615,0.6856290965400766
4,-0.5371983825908551 -0.5084894249566885 0.8850901332898229,2.63127414093385 2.3771778296161337 -3.0150231814661312,5.794581736793566
5,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.3271057427246688 0.5165491599058472 -0.1367106807525512,0.4296877466726186
6,-0.9193286493554131 -0.08871173520593345 -0.06441734041046643,0.2612875729931195 0.04765230397445614 0.009188958534060246,1.1907425006685626
7,0.015134342796090383 0.8998724666561146 0.13880872595899318,-1.9370577642079178e-05 -0.003678474154156759 -0.0005155441703856718,0.9143550677473298
8,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.663011553628183 -0.31724710514332144 1.0428274108248392,0.20678785773277272
9,0.9421973623915547 -0.15721170493156178 0.11124711861779102,1.723969374324937 -0.42669564872535665 0.18037896718845614,0.8298001488863586
10,-0.630533864971611 -0.9367623120990243 0.4049114758181418,0.7117192807983326 1.014420747334829 -0.4397571383457234,2.514403290346333
11,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-0.9171795813470717 -4.475616985216186 0.42091384382157393,5.519581547692175
12,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-0.08394098532825338 0.1364991780010297 -0.1370210449024571,0.40898409364927363
13,0.8211101854347589 -0.15180026960360804 0.6223159317136948,0.3955452634319573 -0.045578261882678335 0.36443640477639794,0.5088128026857421
14,-0.6973159141067042 -0.645555975911358 0.6847685426688206,-0.547142475075557 -0.500633739928724 0.5683424820997466,0.2389760319619557
15,0.15689808217903778 -0.2566508667600682 0.1369822154602569,-0.8653347999324115 1.2252930075602504 -0.31965065631051875,1.8573183064534258
