,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.001635791652328 -0.9293572851473009 0.8164073022531679,2.30423490179179
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.4167113647295597 -1.121936778036435 3.218188041409311,4.000470615411938
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,6.1285623999680725 4.110264033990483 1.3116450661542507,8.648520152396735
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.8542307793966946 0.1337426157030007 -0.7524676491186143,3.4462974498138292
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-20.072941949008843 -29.29562541462924 -15.562185009374796,39.88099327146449
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.4510122645500268 0.12976212594760053 -0.37405936644224297,1.8747282940007
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,6.556980926218407 -6.129493579474036 -0.1900651738565421,9.768775343262908
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.2675460645204386 -1.0724186720762772 -0.662522273686992,0.5943152722576184
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.6783525714219073 -0.9756036875418312 -0.5288380171072846,2.5992146342316316
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.7445737210148875 -1.1719611334789124 0.9978495130619796,1.4050441865152834
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,15.70635930203732 -3.7737921499795615 27.21912498203883,31.313169717399628
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.35792408601013 0.28715284693659154 -0.031726207920403746,0.708183288863672
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.6787835895470447 -5.157197016703633 -2.7004535759460855,7.645996202031704
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.316481417261606 0.09102232215300524 -0.3295494917105814,1.3438363814522385
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.5545232084177525 -2.6252058546947152 1.3390267760342107,2.869293619594581
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.87280335607175 4.085390083261564 6.551087252007585,8.717119760934171
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.49181137803894504 1.0927934601499198 -0.9694643659038804,0.6601328527503924
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.8266669487101561 -1.0885708589073608 -1.045009994840218,0.9019524149355723
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-2.9467498589216685 5.590154685136761 -5.9674090142993395,7.618023708302137
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.22484151695293275 -0.309693770044831 -0.4204242827791569,0.44757195261556854
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.8141533245976502 -1.112935429911087 1.1854205298134788,3.8146482929193946
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.390158746690323 0.4553810192282956 0.6880924620964911,0.1915749934317853
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5851031341808234 -1.6366507246081143 -0.6310879140877814,2.364952045033157
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.4211216584722818 -0.08021102420686638 0.42206790319091764,0.47874015486901933
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-9.508521574596488 3.2557359686992067 7.304545966334231,13.104773498294417
