,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.050412901155199 -0.9444595044741722 0.8296740644938413,2.3569549912396854
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.5366111857934173 -1.1613079758262659 3.331121247971043,4.169814022669665
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.970044286707045 4.003950145487655 1.2777187572443522,8.454687817028553
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.91186861739731 0.1364433907325859 -0.7676628494414732,3.5059575661861953
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-19.269392092294904 -28.122877759399106 -14.939207492366808,38.328872437164634
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.5422584656351586 0.15601485113515606 -0.4497369008485827,1.9961242849704406
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,6.483573316975066 -6.0608718350150195 -0.18793733023914794,9.668274384565194
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.5680053745941374 -0.4805660217050131 -0.2968856302551134,0.422936554921238
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.6257496578576597 -0.8999504083906191 -0.48782922363419157,2.4983787837503773
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.851912795299814 -1.2440688476157264 1.0592445929703416,1.5480134637952174
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,15.174968941626855 -3.6461141354805737 26.298225341573648,30.242313697426248
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3830416317273382 0.30730397686237193 -0.03395261432617953,0.6764037825731198
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.5361726793532133 -4.882642340666747 -2.556689016574951,7.304863341140681
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.2848268764418707 0.08191824951256416 -0.296587879216118,1.2972422755941178
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.5787099765355026 -2.6500618611148683 1.3517049658540081,2.9062199638395425
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.77243564065768 4.001241136696477 6.416151032974049,8.529070894187951
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.5322704076353157 1.1826924842904813 -1.0492176803333524,0.7867116626092431
