,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.6488089549877456 -1.1297330588405206 0.992430288732307,3.0038285961426445
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.8338716174458285 -1.2589186239976613 3.6111097703271535,4.589659581043678
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,9.273035988451975 6.219178956133676 1.9846305069174464,12.49368703312267
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,3.1185953244329183 0.1461301234012225 -0.8221627029137272,3.7199396414995354
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-20.86824951993144 -30.45634379593844 -16.178772432857333,41.4171946918697
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.39696101292014424 0.11421087407949472 -0.32923048144450145,1.8028186518628644
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,6.733643758516949 -6.294638744373901 -0.19518604462201133,10.010641758389664
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.252835506372873 -1.0599726729321894 -0.6548333441057093,0.5740268315145296
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.5391252217900728 -0.7753675250654711 -0.42029753446111806,2.332330272471093
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6700177095275743 -1.1218762636463508 0.9552054683522035,1.3057626926437593
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,16.408654191872834 -3.942533669975748 28.436202218913227,32.72843199837593
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.0686012685483732 0.8573099953240755 -0.09472026989827491,0.24733057523062996
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.647540451870566 -5.097047694807556 -2.6689576972974907,7.571260792875888
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.47461619621770135 0.13650301709642423 -0.4942139338685529,1.5766072278189778
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.6403911876530923 -2.713449766935013 1.3840369458464035,3.0003897062312266
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-5.325441371947975 4.464884745007708 7.159622199736571,9.565182134217856
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.3920740072113858 0.8711793384768878 -0.7728608888720757,0.34879841792166677
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.8633605323789626 -1.1368896721284114 -1.0913952552407193,0.9783231745256581
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-3.185774494752934 6.043598225249194 -6.451453413989606,8.322846315102051
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.26052157854358465 -0.3588390210607005 -0.4871413397847194,0.35924122997733193
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-2.0947261676516793 -1.285059502045379 1.3687549832771329,4.191359644831505
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3640081860303839 0.424858907222009 0.6419727638394547,0.13250544598509656
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5241120847703159 -1.4660465364215798 -0.5653034191809285,2.1723374734375804
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.4602601518583176 -0.08766573136155485 0.46129433931729186,0.4255143064423481
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-9.683750331122342 3.3157346299943384 7.439158534294989,13.333738965136439
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.49808270211555666 -0.0923047545818032 0.16652520081740046,1.3163944635354587
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-6.653557826075265 -5.4792392276776285 -6.3930826586761285,10.813487518026017
7,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.48685728099484993 -0.17089416484784958 -0.285997585837399,0.511440646172667
8,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.8799249870483525 0.71771092225506 0.19212569321347775,0.12947306326641583
9,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.2570107688704078 -0.5125237829300769 -0.027431767875842807,0.2664233924255098
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.2740686337592185 0.32537101917156075 -0.2871679214570311,0.84027719030081
11,0.942619589081253 0.47040988797254535 0.32417697153162406,-2.8028184346501934 -1.5195229332188507 -1.0728418655520273,4.465400346400603
12,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.22252208916071653 0.20063807958992383 -0.6404794623508082,0.07561967807696203
13,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.6536161248748441 0.5324466495354447 -0.02028578403581803,0.2186827684706902
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.35183958491956313 -0.2339067541430159 0.17229151361393585,0.5730463745609355
15,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.15716290966644816 -0.5155892687566263 0.49960522579873523,0.6846624268765846
16,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5064595081880451 0.9484169997520698 0.9535997231737277,0.23552506775254672
17,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.458294457343267 0.3992803017842747 -0.4095596743682352,0.8071669004150972
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.8798060710035414 -3.4457598112506247 -0.6779250548157398,4.959074786781996
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.05857024486168893 -0.04695570323768288 0.06458923910443903,0.9772294873152287
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.775109433635819 -1.8051099974718352 -0.7249293810949373,1.0411622817614032
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,49.86422095544153 -3.576811336088024 -4.576647076667275,49.5907923750272
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.5168144538982922 -0.640435513203823 0.48175816933989934,1.915113840437213
3,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.025787301705123437 0.08295484782291625 -0.02453660510423778,0.763963983125978
4,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.6548245554079168 0.8612028135076732 0.8401647328118705,0.28134480594713285
5,0.9357128184894121 -0.77672857139621 0.6911347922515148,-10.742964326248792 8.14761947753521 -7.440912784864256,16.797788120641687
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.2822648264142652 -0.1601895365821222 0.06839397746126878,0.28607114894281044
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.17784726054775 -0.7229492365055462 -0.6127523902630132,0.14463594037974362
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.5080281630033363 1.1493120431216046 -0.9401639293630674,0.2868189413327056
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,1.0640350230503566 -0.5921781743471307 -0.3036768354594757,2.317525065629706
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,0.14357937241744848 -0.05874726536223991 -0.12735583846197018,0.610702352344176
