,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.501392349321783 3.7739966752144687 6.05175540260242,8.021244493934802
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,14.330909832349112 -3.443310699021692 24.83547067348967,28.541368760514583
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.22532931001540701 -0.4493454919484411 -0.024050281453705143,0.3263144927881106
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.3964675937568426 -0.13916603688428525 -0.23289941242230092,0.6206045884765428
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,43.2972164744879 -3.105753418776824 -3.973913066502467,42.97938337058634
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.67982740288935 -0.8430074087500341 2.840151127635814,2.021463338348213
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.744143908571361 -0.3511719881182429 0.3782938843521364,0.3551215084964202
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.737683046625747 0.1823967467502113 0.7379306518290085,0.2930579205473975
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.4562786515235804 -0.3845680861197543 -1.1381403565160522,2.2632593656133264
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.10491388471877182 -5.2085057983350165 -0.5891266619344546,5.816157463312653
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.09733033588262903 0.08708404231057794 -0.08256655612963786,1.0964824967430045
1,0.9117377916955973 0.452352634825238 0.25237684863553644,11.205642802338552 5.472486970721245 2.128309134299517,11.605401805149992
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,4.540919175105966 -2.2382526374324327 -0.7928418195573351,4.273577266738305
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-8.54975932416364 13.73513104253302 11.279289636182796,18.35382863890937
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.891085976422746 0.39332341136436905 1.4571501273370482,2.251092318912224
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.3228199905035363 -2.182118561197066 1.1451596062633744,3.172679451442742
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-4.962679103249611 -2.9027428277246736 1.9584703325283928,6.848803139463399
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.172730296372926 0.8638644317052299 -3.0865593348296922,3.0250036531075963
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.2697149613766515 0.4286442291380295 0.042378595677107674,1.3359068292864138
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.04415085718084201 -1.3812182190142661 -0.02522199918514209,2.3119462753131708
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-1.006962482636671 0.8562897753538584 -0.40815552720339066,0.6447139882994026
11,0.7025500335578911 0.683516623141857 0.5779574039742612,9.698129830761248 7.201083646267842 5.352080257441591,12.090962939683155
