,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.552715386601689 3.817026244073414 6.120755046275655,8.117403268034755
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,14.509523378788753 -3.486226462405922 25.145007998501402,28.90131014129939
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.22708871117738447 -0.4528540411940291 -0.02423806924364086,0.32287320152460425
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.3953826422782144 -0.13878520273826667 -0.23226207266021642,0.6219156657370721
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,43.897348303360864 -3.1488014858583933 -4.02899447613044,43.5835731456994
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.6751078260625852 -0.83715498471679 2.8204339003079224,2.0003862522321927
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.7676789030129731 -0.3622784833716676 0.3902581621792787,0.3381797229203653
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.7494759557000009 0.18531261727170945 0.7497275192233861,0.27681865744841366
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.4649431811781346 -0.3918708638746491 -1.1597531381729398,2.2876291081298756
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.10617132208807883 -5.27093194761578 -0.5961875946409045,5.878994152680558
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.08739558873997004 0.07819515959307138 -0.07413878435478968,1.1122431332801108
1,0.9117377916955973 0.452352634825238 0.25237684863553644,11.28763682099244 5.512530295916907 2.1438824148276607,11.697968709776502
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,4.580671194077667 -2.257846701514095 -0.7997824987100016,4.318434879462539
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-8.645820369114642 13.889452467319295 11.406018390487551,18.57542039952163
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.9230832317323534 0.39767654015932924 1.4732772176515745,2.2871856466508094
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.3281176306973179 -2.217928236364217 1.1639522577003973,3.213466114155244
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-5.028895542980816 -2.941473781612335 1.9846019703073303,6.929843494540395
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.1943271608660044 0.8724512144748509 -3.1172396285667676,3.0634840206007397
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.2784070288239114 0.44245808852324714 0.0437443249272221,1.3522712882365788
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.04507663102814378 -1.41018018682709 -0.025750864731888555,2.34092629847269
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-1.0114494142977641 0.8601053233711443 -0.40997423047112685,0.6508681164262196
11,0.7025500335578911 0.683516623141857 0.5779574039742612,9.807876969917505 7.282573412108682 5.412646109522248,12.240455220356731
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,39.77935509050049 26.174069395064265 -22.035135219754448,51.52653443583854
