,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.527095192525535 3.795546106427487 6.086310781949431,8.069401306029079
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,14.419845335550951 -3.4646793750708924 24.989595924952454,28.720591268371983
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.22600830759369683 -0.4506995301817609 -0.024122753529633206,0.3249850991772118
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.3952475939621616 -0.13873779876571277 -0.23218274039207493,0.6220788619085797
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,43.5959915308495 -3.1271848577536705 -4.001335293543782,43.280178671524496
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.6806373837779183 -0.8440118105836569 2.843535027908521,2.0250806718024457
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.7619639877985126 -0.35958153441505747 0.38735292106889735,0.34215035493641577
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.7442406428050491 0.18401815341677 0.7444904490822574,0.2840178659206367
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.461242593928366 -0.38875187561734037 -1.1505224023545826,2.277220797233421
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.10554638661955543 -5.239906692759241 -0.5926783723155419,5.847764862693514
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.0922525920733946 0.08254084976207092 -0.07825904177211368,1.1045378694800032
1,0.9117377916955973 0.452352634825238 0.25237684863553644,11.24629054714697 5.492338063405266 2.1360294380866747,11.651290952218666
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,4.560803030292241 -2.248053536677015 -0.796313528988352,4.296014923039442
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-8.597397560608023 13.811661550046784 11.342136489087128,18.463719600740824
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.9070326100630717 0.39549290213508337 1.4651874667413745,2.2690803257486185
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.32548398138409607 -2.200125946484024 1.1546097482546205,3.1931895826567187
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-4.995920688271937 -2.9221863118787414 1.9715887826070644,6.889486538208536
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.1834287725076322 0.8681180811442093 -3.101757485026776,3.0440657106318123
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.2741257408829852 0.4356540560002107 0.043071633395021854,1.3442109136076976
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.04461956813762969 -1.3958814023430752 -0.0254897590458792,2.32661859503487
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-1.0090660000565657 0.8580785415591478 -0.409008153072083,0.6475990796171385
11,0.7025500335578911 0.683516623141857 0.5779574039742612,9.752321674650746 7.2413223322417055 5.381986961399644,12.16478041161647
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,39.404784282993155 25.92760883061425 -21.82764773349382,51.03247338980312
13,0.6862068645642059 0.9089283855774439 0.4322858466503787,-4.018187952199379 -5.613858278454052 -2.181928123764601,8.456488109113149
