,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.5790163057247035 3.8390771060340017 6.156114489986464,8.166680636823752
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,14.599657615181995 -3.507883160002359 25.30121065491396,29.08294833408566
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.23150129635253514 -0.461653496782638 -0.0247090417744384,0.3142927958270228
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.3947810326817553 -0.13857402879969222 -0.23190866541147953,0.6226426694428844
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,44.20283524170845 -3.1707143749634863 -4.057032734355668,43.89112571304186
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.670062587400676 -0.8308987297426228 2.7993561381966683,1.9778553854156395
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.7730565375776542 -0.3648162648406821 0.39299194289651274,0.3345324549209094
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.7552541685595763 0.18674131653820006 0.7555076715549015,0.2688931106292903
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.4679345047354004 -0.39439205913886183 -1.1672146883650276,2.296042630668625
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.10680919407295103 -5.30259944273054 -0.5997694598458446,5.910869907103877
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.08215272912964541 0.073504233542179 -0.06969120017283743,1.120560609574044
1,0.9117377916955973 0.452352634825238 0.25237684863553644,11.333812991432302 5.535081299509241 2.152652743051368,11.750099175014022
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,4.6023446565557125 -2.26852971142533 -0.8035666725225203,4.342892008087323
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-8.694375514106536 13.967455982268307 11.47007487710029,18.687426470842386
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.9435460333741674 0.4004604417843475 1.4835907725791027,2.3102679871281944
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.33062712099298447 -2.234891266890228 1.1728543300733776,3.2327867429796644
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-5.057960523884163 -2.958474309573109 1.9960721664716226,6.965415271932815
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.2050628282781433 0.8767196509409164 -3.13249061232756,3.0826124570472624
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.28265812259416473 0.4492141349911293 0.044412272241510876,1.3602748942904874
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.045517324392547506 -1.42396686601703 -0.026002619021332142,2.3547215860116113
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-1.0146460572882208 0.8628236497789141 -0.4112699366444438,0.6552526436759548
11,0.7025500335578911 0.683516623141857 0.5779574039742612,9.862133477940707 7.322860112683697 5.4425884994980605,12.31436098797946
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,40.16675901348931 26.428973908753857 -22.249731404340675,52.037522451856184
13,0.6862068645642059 0.9089283855774439 0.4322858466503787,-4.0912743222838825 -5.715968117172888 -2.2216149697380354,8.588176157140007
14,0.36349278975418287 0.06014106029853972 -0.7519835541293949,14.449220361564453 7.1197673597166835 -41.41139079803446,43.6054290443336
15,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,0.6641687012533638 1.3014852015304315 0.08955151134281984,2.426026216775301
