,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,12.07267303768565 -2.900720521080801 20.921945688421328,23.990578468534448
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-15.86176419011837 -23.149586309237165 -12.297335862812412,31.746784494574587
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,2.8316346669800434 -0.8767220573369167 0.7701691277352318,2.120505760613584
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.5752177149058209 -1.058191990627453 0.9009824066769625,1.1795588270244715
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.818541656362452 3.201490205014266 5.133718259959196,6.741856897314661
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.5663643154978436 0.4543788248827069 -0.0502022432535406,0.4466318113912349
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.9750143442726593 -1.2839175484733472 -1.2325395813480786,1.2107106317185472
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.990637925142308 -0.9820281316836699 2.816871014107427,3.398702118316327
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.713474967971468 1.8198555942001522 0.5807424028009218,4.473156261957521
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.5498432481539792 0.11947972396010377 -0.6722212402757954,3.1312353789348744
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.615538782269707 0.17709855644436617 -0.5105139372343983,2.093619851116632
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.681492904389405 -5.311083663524774 -0.1646876739140164,8.570174348613316
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.06379451095399188 -0.05397391592937429 -0.03334418024640263,1.1226925440530624
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.5297674280360424 -0.7619091872065152 -0.4130022763580828,2.314392858639624
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.109595736710358 -4.0613959568316575 -2.1266612850810347,6.284482690905926
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.16453831531787041 0.047322397861344644 -0.1713323918007415,1.1201856110399013
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.2761456898834456 -2.3391257403847345 1.1931071970164575,2.4442900673938732
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.6385471186162786 1.4188368679144063 -1.2587115814959047,1.1194488022240374
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.4914188751466377 -6.623423268718888 7.070408234742103,11.375355225671548
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.3874144552917973 -0.5336196128506704 -0.724414452951889,0.08658977619594577
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.043735893986403485 -0.03506301986119273 0.04823043032865942,1.0012194600986375
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-7.336610642193848 2.512069512462094 5.636061216517361,10.26681376919716
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.25369791611739295 -0.8322823962323924 0.8064803899056191,0.23425315100087657
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5567344533248478 1.042563939158808 1.0482611383311835,0.36840172822675943
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3645157639204851 0.4254513361727701 0.6428679392598914,0.13363394098752904
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7782357549707047 0.6339638887614398 -0.02415350823437911,0.37945066223382273
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-0.6355047365619667 -0.5233414322032361 -0.6106258361351612,1.1070621827578149
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.053062357951155 -0.6460261060511416 0.688101563061627,2.7928552553299446
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.15630036717110013 -0.0548637593722254 -0.09181649206332104,0.9110800644180811
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.5408808539457441 -0.8353747663360955 -0.5898068421070853,2.9509683877562614
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.32522367339096975 -0.38610167321410654 0.3407679493099366,1.9614748435283949
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.14755644015784178 0.13304495250811876 -0.4247078113240084,0.26017950383961824
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.4272008133733206 0.3484463951668976 0.09327641971621911,0.5936762093557268
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.3902289346978669 -0.07432688843604206 0.3911057646140872,0.5211496157059446
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.8155581179928085 -0.5421918407455398 0.3993687709165467,0.15045597580866557
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.439496742630782 -0.08144759654517063 0.1469380145392093,1.253739276816962
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.2665982990973824 0.23226868144086443 -0.23824838117923475,1.1115983131589238
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5016602849339504 -1.403244352799046 -0.5410870738932116,2.101439250565814
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.6355857470564308 -2.9980941768385003 -0.5898505033751351,4.442019652123013
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.18060771907304446 -0.3601629294076922 -0.019276970564199702,0.4166969287089892
0,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,0.013654648635604241 0.05550615609966714 0.04704552976469164,1.1581653237215082
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,-0.28801192837018974 -0.926501964507077 0.2740432105901683,1.860523952987403
2,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,37.01879587633175 -2.655395917187043 -3.3976659152170674,36.65850965286004
3,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.4780024951891655 -1.8327696828636073 6.174729696859966,5.588726624339654
4,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.2194346609863872 0.4964270032964791 -0.4060888118717535,0.63987160643878
5,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.016280091160415244 -1.3602971757552575 2.0104775287239653,3.3717193250356465
6,-0.6612428092374805 0.39467150813450713 -0.88674268530274,3.2922647317327813 -1.2643901869927423 3.9621465805390916,6.472591034287843
7,0.9677163376000693 0.4348643927055915 -0.5584491719387301,5.083615506158857 2.2362369443519583 -2.7912573254389756,5.017070986731705
8,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.336199453502201 -3.111801879147927 -1.249694818321434,2.555344506742132
9,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,1.0284489581370937 -1.2744520423921584 0.9586877526245796,2.8589256845252824
10,-0.5152301896980707 0.7010663648362798 0.6557070663883529,0.09665953856327159 -0.12712331245914688 -0.12401785290434127,1.2916184153597534
11,0.9357128184894121 -0.77672857139621 0.6911347922515148,-7.790260878490987 5.908246489620136 -5.395778111871676,12.565111110896938
12,0.5113308204450631 -0.30465526504531293 0.16056298491899157,1.015604825061393 -0.5763710212989182 0.24608540283676772,0.5791682034562685
13,-0.8995145382342526 0.5016270419701312 0.2611113540046264,1.1642695690660378 -0.6479627201376601 -0.3322838916919837,2.4357502705128957
14,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.2697648322130111 0.1103775975377643 0.23928316314235126,0.03395973270158713
15,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.3819535387897163 -0.6228477924684 0.6763827950929904,0.11473883418908513
16,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.2505339608828644 -1.8617248285731367 0.5616100177732241,1.0295081770606536
17,0.19847473117104486 0.8859207844181478 0.29582148960177035,-1.2342296311207763 -3.768368570822712 -0.9862684839112391,5.035752763214352
18,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.5975257505664473 -1.5837340479524589 -1.3453250600111788,1.4469253373042927
19,0.2873539117652848 0.17775149387141687 0.73788310182956,0.8067506531145437 0.49130856391752276 1.6824470936304081,1.1226273405306324
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-1.0351409793006898 -0.48849760307999435 0.5262255020853679,0.3100954314908251
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.9056669674859806 0.22393182175485105 0.9059709569223616,0.0903103025627931
2,0.5124444899939069 0.01831326764003749 0.16720806707546454,2.632355541477638 0.005142650683652796 0.6920372860601398,2.1839510160381197
3,0.9934538129293278 0.9010660246133175 -0.7785387784895517,56.231205118822515 49.111659851014736 -40.9384046546913,83.59596493623644
4,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.8973703473809113 -1.1546509326536498 0.6412122802528958,0.3912629425865026
5,0.23906275587545278 0.5912753088472846 -0.9346377744488021,-0.9476215433226582 -2.196013617876772 3.630895362642918,5.479168916257686
6,0.4736327499889956 0.17114022100613857 0.5353547003270378,-1.704017386985117 -0.556132263882801 -1.9191229084915205,3.3608846630807747
7,0.8289382726191252 0.4408678701078228 0.9019293641763275,0.7309357327447642 0.4156032962799727 0.8080234493210358,0.13806200548064596
8,0.06374102306523044 -0.1404857519151288 0.7630650185871208,-0.007284855698640233 -0.0628791604063763 0.38270500619330405,0.39464059285381536
9,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.2208898920766207 -1.0994444024063486 1.7717012294519658,1.2721427838219128
10,-0.48557222210726536 0.04656211699465551 0.054762287781279895,1.9421618999868728 -0.12787722276001273 -0.20062790604357167,2.4473549399169987
11,0.22810105003051162 0.022032056398898936 -0.07375328130959202,0.012989998891317009 0.0013459342475281826 -0.004245437702633225,0.22700665253414945
12,0.34758265417485346 0.7503757077579636 0.5648865553917617,3.050366827529425 5.507062839758893 4.808251010878766,6.923673639157879
13,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.4874994053259587 -1.4418163233745347 -1.1809423763929334,0.9084729788600969
14,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.44121606015981735 0.04000423783944634 0.5697165368385503,0.14649568699666793
15,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.5253061834828001 -0.2376878297564559 -1.2394157813281719,0.6526554151378594
16,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.5150628200619775 1.344317358891482 0.7606557841672418,0.8152497044876431
17,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.49515140930904905 -0.5666388631359729 0.34719840940188146,0.27814164237874595
18,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,0.4697508505578207 0.14802069100867524 -0.649221311002412,1.9414559800693258
19,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,0.0025223478326378787 -0.02031219659255241 0.009945629439349856,1.1040309553915306
0,0.9483010693778013 0.26109847508276895 -0.6262314443789425,2.4791888577124443 0.679540703687715 -1.7745785538282588,1.9589314441635288
1,-0.8142038040976471 0.4796144734679235 0.8850483594868985,1.6323118022272232 -0.9489371216033398 -1.73328654694636,3.8577034559461225
2,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,1.3012703163367916 -4.482109864922045 -0.17156467367337794,5.651056320558517
3,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.8171804639624266 -0.6887491360621815 -2.0383729580301946,3.278748679805513
4,-0.5371983825908551 -0.5084894249566885 0.8850901332898229,1.3590360935876826 1.2277969904641624 -1.5572399936867858,3.54617711827267
5,0.4833497251469756 0.9091897466229382 -0.21451008473400113,8.051755467421817 12.714932754833558 -3.3651533049691658,14.37299155210308
6,-0.9193286493554131 -0.08871173520593345 -0.06441734041046643,2.691163992081226 0.4908008564155572 0.09464282609506883,3.6601628507874815
7,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.0045363204432734335 0.8614475940720069 0.12073328956646961,0.043766543291376
8,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.913816694452798 -0.43725588092748124 1.4373099416290718,0.6472786919839911
9,0.9421973623915547 -0.15721170493156178 0.11124711861779102,0.5812629395161277 -0.14386703775057566 0.06081755874340925,0.36468462850483935
10,-0.630533864971611 -0.9367623120990243 0.4049114758181418,2.7581980234870396 3.9312877643903303 -1.7042355076273092,6.295229650842104
11,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-9.105088833414426 -44.43065574451685 4.178525140715174,46.47758396632295
12,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-8.031641235859968 13.060514150589288 -13.110447418691217,19.57045176068789
13,0.8211101854347589 -0.15180026960360804 0.6223159317136948,-3.3480885072468083 0.38579669357090224 -3.0847679172477256,5.604792493670284
14,-0.6973159141067042 -0.645555975911358 0.6847685426688206,0.952975721645958 0.8719699553996567 -0.9899004586442821,2.798368042126622
15,0.15689808217903778 -0.2566508667600682 0.1369822154602569,12.971151859589517 -18.366835211987965 4.791483256359319,22.66822129832305
16,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,-0.055691804658046816 0.34569310347634236 0.22229283590490123,1.622097404058588
17,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.14559070547479333 -7.227928273572597 -0.8175406577972285,7.8488613007736845
18,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-26.128148110663783 -9.927224324036162 -26.92255952972214,37.59311714784767
19,-0.6525950205732476 -0.11762935205216074 0.6283454126083559,-1.3304054316090677 -0.0016682247540190927 1.597235264965593,1.1881167797626764
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.4395872679922305 0.39331042986628567 -0.37290744460517633,0.5538969897000033
1,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,4.065281696059151 -2.003807407097893 -0.7097957952183667,3.7368532198336126
2,0.18650401714811826 0.06282834181048846 0.9184887521438521,1.7201744848838252 0.4363355942987295 7.252336247599681,6.527578177774514
3,0.7565679236632612 0.47846682879542723 -0.31091276057912975,65.01916141948692 42.781388464714915 -36.01632078986551,84.81800672193407
4,0.7025500335578911 0.683516623141857 0.5779574039742612,8.595259136350577 6.382176881761744 4.743442038210522,10.58871323450298
5,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-2.6193407410961176 -4.32454115028705 4.160724180763442,5.356376484653861
6,0.36349278975418287 0.06014106029853972 -0.7519835541293949,12.485781426824683 6.152294507164549 -35.784184969623794,37.56753054748712
7,0.9117377916955973 0.452352634825238 0.25237684863553644,10.578726218682162 5.166320435136808 2.0092376704865456,10.897647343221449
8,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-7.368548814575871 11.837524276907224 9.720974956927565,15.629035579229445
9,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.640621394722483 0.3592484704931218 1.3309122706650913,1.9685672145564674
10,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.3569270014121162 -2.4126666801486647 1.266149545956908,3.4352702204604206
11,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-4.267123246880605 -2.4959021412021563 1.6839763584120577,5.997533035260565
12,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.374031468660215 0.9439005609431074 -3.3725258045165716,3.3836814664037336
13,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.6236257989795067 0.9910966692754584 0.09798635364487258,2.002390311463191
14,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.047488550280172716 -1.4856348218310769 -0.027128718510811316,2.416428149156465
15,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-2.014590073582581 1.713145138258917 -0.816580645019427,2.0282949186539576
16,0.6862068645642059 0.9089283855774439 0.4322858466503787,-3.2836793563282813 -4.58766756498341 -1.7830804388023334,7.133050639752571
17,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,0.9200878428452786 1.8029767276166453 0.12405772319511617,2.9891733578446282
18,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,2.437257918176424 -2.485153336598531 -0.6516764978402597,2.2354527680089338
19,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.11417571472455344 0.006243754728002561 0.1683251112183315,0.7776115635440889
0,0.14967705006789034 0.5085237957945157 -0.8124208150407399,0.3983924829729904 1.0898501475026305 -1.960417139924004,1.3106087347873578
1,0.7246637725948597 0.9432992172246617 -0.974836759332363,1.8841092796819363 2.0348787260833925 -2.6350968268044466,2.3005049879770056
2,0.6937148058788281 -0.7706563256734238 -0.7202851529350485,0.3399380027120733 -0.3546099334130173 -0.3330218781611727,0.6694964308794896
3,0.9343466168068262 0.9204880988143875 0.6697140693550938,1.428496512249574 1.500403667908622 0.842887107582535,0.7813290520727431
4,-0.3109493351489925 0.36761733944177943 -0.5485205411950496,-10.067260000836589 14.06764036965061 -18.720773467552146,24.760997662718598
5,-0.7558401264587584 -0.9981998895751614 0.5349544813984193,1.1810583080561 1.951952374755585 -1.249549037041848,3.9546715079368644
6,-0.16101417221925374 -0.2121629933889828 0.0005308591017181286,3.263195783012467 4.316759733570702 -0.384546767070794,5.690750360230066
7,0.09138644968356457 0.19874242715853363 -0.35217272765162666,0.2553766614435123 0.7295317431332008 -1.0720476491172695,0.9093129219697106
8,0.9547718865312953 -0.9406325160229088 -0.7969269793945646,-8.062574334957533 7.973590670516439 6.924932485157522,14.845976609436216
9,-0.3413059030703245 -0.8853408706765031 -0.8584086692480566,1.2382088431768776 3.2232515989002453 3.144410661013825,5.949618601674675
10,-0.30016796080348107 -0.06813053178649553 0.2121686089003656,1.4706760407401793 0.3900856392103327 -1.3136486814985011,2.382009433408335
11,-0.34732198617950294 -0.1924362262485637 -0.18565930279002463,-0.980434302384753 -0.5775371129885838 -0.5134349526086703,0.8102905494406076
12,-0.9199649252435365 0.8001407028729155 0.5459484355381199,1.070836975397485 -0.8018015656136287 -0.7005338787085572,2.843102073244904
13,0.518802550110774 0.9572102116554633 -0.04752220391702533,1.9501120671650434 3.6019289942641475 -0.1779189826020448,3.0100145668392897
14,-0.894480497446011 -0.2914891417234333 0.36070529545073327,-4.929218944508073 -1.82893491827842 1.8853672025277637,4.579022579431042
15,-0.8634971618235407 -0.22129139298647793 0.5444881234347525,0.6730659113453881 0.22594591080918072 -0.4845764486099951,1.902635324272729
16,0.6413140448630064 -0.6313083109397872 -0.984349218156618,0.2593047698129979 -0.2154493783572006 -0.3607172569932743,0.8413005176614357
17,0.040724319945074416 -0.44067706769589843 0.7113733282742654,-0.06799281858823643 0.3596792682287744 -0.5817343299249726,1.524636709632546
18,0.0017222416974671528 0.5151895807909597 -0.29277336850585445,-0.00992075751788267 1.8173278948197942 -0.8564954239461912,1.4189722703712226
19,-0.40012700433713855 0.08363807854010807 -0.30576175911241443,-0.3772517294764516 0.07527758930863704 -0.2783892487047058,0.03663919085025809
0,-0.23395299295937222 0.21676360456022215 -0.8244734653022434,-0.19806513642158832 0.18962077235538433 -0.671774994934453,0.15919012042095923
1,0.39791901485437253 -0.5393709023338189 0.9101402940223129,0.07617253355282788 -0.10954405599119375 0.18026980001688378,0.906081041677013
2,-0.3125809872152647 -0.7298880725297039 -0.06674438530465099,-0.7012217928917053 -1.6710615666289472 -0.14168835837102334,1.0210121551337106
3,0.5366813537424697 0.906158564563371 -0.7971677928380672,0.19653665326723327 0.2667652709088667 -0.21562906265396228,0.9288215630226747
4,-0.7648746992966571 0.9660581079847483 -0.10156156419464968,-2.2224196527511717 2.5426472594438154 -0.059658790031583094,2.1475163529812074
5,0.6992394509239186 -0.26369574609556246 -0.7311322939411125,-0.01942955490362018 0.004271564010896859 0.019180774488593483,1.0729684617355884
6,-0.481125128874313 -0.3178978246080477 -0.21140330875907432,445.6792690724163 293.993098997262 201.29946226648946,571.2133481887654
7,-0.8778997883935524 -0.38581507202010346 -0.8861753042242502,-1.842833269727824 -0.8293500425859983 -1.8422835698809363,1.4289726761459796
8,-0.8653418193223805 0.389013815040391 -0.9073844888837144,-0.9719281048552919 0.31079591758382247 -0.838579583747189,0.1490395609127853
9,0.16194387132888122 0.06667597087972688 -0.24332245803443597,-0.16892805057308455 -0.06948575565464436 0.25228869874238474,0.6112664420672705
10,-0.9079640721765716 -0.8116173678829495 0.09918085184761471,-1.3621572804900095 -1.099691532769893 0.3268231400764121,0.5840369905608778
11,-0.6168569227588918 0.809011600054478 0.670936833884568,-0.2606424634499076 0.35419018278400377 0.28872320160972453,0.6927037774730581
12,-0.24704815572974015 -0.3473178247068818 0.35205036693259606,-0.21209220727862874 -0.24940915589357018 0.34565292007949755,0.10415830781627412
13,-0.695143348441257 -0.8150507181383368 0.6505577301829777,-6.02412544398408 -7.089089517012494 5.250651060339994,9.429871243582774
14,0.9370192303564577 -0.9929219287954374 -0.41509001720623906,-12.069409659269771 15.54094535646892 6.920529340411765,22.27885255634811
15,-0.579979645530069 -0.42307803216183726 0.869645731153339,-0.6458948838140589 -0.47560770563526716 0.9478749608603811,0.11499564171662117
16,-0.23982706540513465 -0.5370443037926997 0.41141114408296353,0.25074872281516847 0.6137345734248069 -0.3250705094614029,1.4516755333907783
17,-0.7807843094923335 0.4881789872419622 -0.9025676161208223,-0.8377677396319565 0.3805985415967848 -0.9675008527721709,0.1379745948271359
18,0.16007928139893446 0.4620678343809055 0.7923662966290272,0.46556380609003395 1.094090831205691 1.8432669803951403,1.263790374421808
19,-0.5669717750798351 0.296067296077857 -0.0037787859201701135,-0.5234934369970328 0.23047213369796093 0.028658943687653416,0.08511931339124898
0,0.7168876884815107 -0.6758596230149663 0.8491603176390368,2.1537320954882446 -2.034954147502118 2.3575356477745664,2.487339123038706
1,0.9347070515545899 0.9385492098943642 0.7374786055218829,1.4046326436485048 0.9793582125367796 0.7618005092360075,0.4723208568354402
2,-0.145292387683565 0.5568242751923098 -0.8285945275931661,-0.2420628721006324 0.9239147124726699 -1.3766627183485733,0.6667073252296732
3,0.9346166441783601 -0.9708202611728722 0.8308208665240049,1.446534699747502 -1.4963211076007947 1.8612668703008102,1.2649230023656546
4,0.1887245186672395 0.25973479447049597 0.5901171817363047,-0.683248569126797 -0.9562874331200732 -2.3818377453398125,3.3273958604896126
5,0.2742511043963227 0.9865848712636673 0.5048056719765586,-0.2006013758765144 -0.7433419827567597 -0.4391811242328262,2.0271267522530345
6,-0.13980068579716143 0.5353408176680055 0.6953993489084764,-0.004903245065832957 0.015298188190487465 0.017214008466184417,0.8652034512070447
7,0.5528493944680846 -0.08542113820581809 0.4699585632460681,0.3129014013943411 -0.09632787624863669 0.2551878550936695,0.32221181448720143
8,0.4003665184668339 -0.3937595567432002 0.7582930923433788,-0.3404741852281441 0.2386211289305202 -0.7937243385574834,1.8323505084138645
9,0.8773619472932634 -0.8374929461213212 -0.5627990789693293,0.5463784605059756 -0.4470314574539153 -0.4300553280184236,0.5288016131544547
10,-0.3734716311141817 -0.07584176140317989 0.11049524692745116,-0.12234266279487764 -0.025691874428627276 0.03170914046658826,0.26793286559125373
11,0.5000964149351179 -0.7787944168805299 0.5546248745883904,-2.4449168958692327 3.531348391969427 -2.405969549222248,6.0012960080131394
12,0.0209820979151627 0.5574779467689499 0.6825227736503292,2.7870882373178594 15.89094972406708 22.894405385426026,27.131797380176327
13,0.9885199918450014 0.45602159690166433 -0.1871289115003285,0.8921063445699174 0.34526798028626904 -0.21840237292334017,0.15013322205178595
14,0.5771996755535453 0.001569776968604275 -0.5683832937716153,-0.2821133713714558 0.009780634379732115 0.2905699897732279,1.215025544631644
15,0.9697609995939176 0.97592418578649 0.596366467847798,0.3335569173649864 0.2675820734194424 0.20222065071451795,1.030463540141537
16,0.5452812975474246 0.6802545647898539 -0.8659878272327775,-0.24629783677199643 -0.2508184041795677 0.3028252397816111,1.6910406219422995
17,-0.8877551420392962 -0.8329796687280608 -0.9133759232640786,-0.48608816760785617 -0.4267073203565006 -0.5003815024805083,0.7049524600982723
18,0.9971460229906288 -0.403880090246552 -0.8001524663574673,0.35221343045888004 -0.21431759469499612 -0.32421624004515154,0.8236426896087067
19,0.6350061308568884 -0.35310074159859584 -0.0002594854417481418,-1.1521081718304225 0.6935919147809904 0.17296188308923677,2.0783042824149343
0,-0.3817973704979327 -0.6028648084168498 0.9743929011242363,-0.27670432168998566 -0.39334809939788573 0.7057323706995695,0.3565393118212213
1,-0.1351984078270565 0.9547855864197363 -0.7315130609574096,0.11148628776686935 -0.8249417252408768 0.5668168255397265,2.216741558477814
