,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,3.41817626564705 0.4743997918115062 1.2125591494864079,3.4324204995984986
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,4.016777632266709 1.165622981966466 1.1846801129228046,3.5453581193674752
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,5.527420163821305 0.36412550201786575 1.230393882648442,4.774350560791519
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,4.37505952804294 0.5825813027184641 1.3715283900067403,3.9807066841250958
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,4.7613993679213795 0.4397827235414582 0.6783156114768132,4.988255940323692
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,5.181036230466589 1.1764484604880072 0.8857905196352571,4.340444920466869
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,3.734420707247857 1.698553677092215 1.628573232243375,5.144069501678634
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,5.1128881597848395 0.387453886416002 1.6451388250494197,4.678574089979843
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.35490955862679 1.364132058030604 1.1730193577315393,6.7290134067430305
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,5.520071575087211 0.7232086937675922 0.7224113162131997,6.070757502050563
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,4.765511351420397 0.8587960138607147 0.04269317532600053,5.891907260433069
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,4.989369535345972 0.09793990163889077 0.956687376697462,5.703804068049742
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,4.952160332285279 0.1240584558458463 0.5990950451220312,4.258341869917018
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,4.822414784882794 0.2272335859335683 0.7222653597026872,5.571787939668049
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,4.711703238229622 1.378638013645392 1.4080575010031064,4.294671509652717
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,4.946303702881487 0.3593994094200746 1.810990281549761,4.53207746527773
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,4.923156613456686 0.04865685870096037 1.2406989866633154,4.399921027401049
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,4.688245441748587 0.960277081240533 0.7166706904087591,4.589197346031932
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,4.692701669110351 0.20656630906883944 1.407037814792911,5.510061391591331
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,4.689613389451699 1.1879150699402334 1.7278162733308806,5.909887350142898
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.002236656018297367 1.2007901768774378 0.48258774371274654,1.9268138867190976
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.11554084137325432 0.3771996038021934 1.5184106839993528,2.029749074532646
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,-0.4450119426604429 -0.01487785829292343 0.8733053367735198,1.2193979183518304
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.24324503877440412 0.5028496855212491 0.7968774179153271,0.32820241486092766
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.8187437012957473 0.41830672241534567 0.8244922833405572,0.5584176959052133
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.74637862842942 -0.046421664087218345 0.21827470954984288,0.5670588955615046
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,1.4114572157655136 0.28555403023072606 1.2982288293539659,1.8631522848973074
7,0.998456615445664 0.694735214478744 -0.6511778926114262,1.4716919574046095 0.767530826874369 0.8364749113393813,1.5628057317420339
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,1.866846511675451 0.4709750799337931 1.885340549224656,3.7731205796257505
9,0.942619589081253 0.47040988797254535 0.32417697153162406,1.7476742936093865 0.2293128715581032 0.869211836055007,1.001650563895837
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,1.3419113241249259 1.5322365346481264 -0.13147654675434595,1.082712271228703
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,-0.32135038764726037 0.021646873068289635 1.0087137955813323,1.746194647834787
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,0.9338465340396004 -0.39329062288867356 0.6225201052171645,2.1755693523883024
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.15921268080209627 0.2932408326541446 0.4463926764849235,0.8409458302390945
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.9003192407709879 0.13781612596869297 1.0221662846952149,1.0249886242956425
