,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,13.045628338125407 -3.1344940522010463 22.608077491172825,25.95127422033454
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-17.158712514936255 -25.042428544446828 -13.302836194038708,34.25193311274186
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,2.6459262186355206 -0.8192235760546898 0.7196587581093705,1.919832096161011
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.5119868049726866 -1.015715041683714 0.8648160171875354,1.095409904732239
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.02943722382867 3.3783064229018036 5.417250174254754,7.136990256951861
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.2717051463589595 0.2179817155476104 -0.024083805207186094,0.8175678238451609
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-1.0243151748553156 -1.3488378257094766 -1.2948619722374044,1.3133218788360705
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.942049207726539 -0.9660731787341439 2.771105477413572,3.3300782451634587
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.8720795281820433 1.926227460376109 0.614687213230012,4.667025467838329
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.5359681213761593 0.11882956779127825 -0.6685633076015721,3.1168739003360253
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.5477254288406502 0.1575877679353891 -0.4542710764215009,2.0033977374037035
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.9097065639004995 -5.5244187603417005 -0.1713028325303813,8.882610969809376
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.6391632254916292 -0.5407697571772709 -0.3340784885557879,0.32813331731118234
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.5789187730933447 -0.8325984356972101 -0.451320255758935,2.408608996009143
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.311464174290229 -4.4500332876395445 -2.3301627348660796,6.767353105397934
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.2307265414250445 0.06635860571074001 -0.24025364619721717,1.2176096058666444
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.31977991791405 -2.383967310237599 1.2159793320168486,2.510907153546584
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.6163298949708661 1.3694707129482386 -1.2149167292510692,1.0498715450598302
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,0.6314828067574607 -1.1979593585423367 1.2788042330808784,2.9441676647967157
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.4894693026025587 -0.6741886271650306 -0.9152436937710792,0.24315191487647742
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.05960157942466363 -0.04778252306389609 0.06572655916929364,0.9755636648936258
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-8.201131889871151 2.8080832407463614 6.300195503113798,11.396452657547176
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2912940923936422 -0.9556205621867908 0.9259948871717283,0.0629157119061784
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5885136039067854 1.1020748895157708 1.10809729247123,0.4554574627680432
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3652838378145952 0.426347807867201 0.6442225311057838,0.1353435122669214
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.6410629766997934 0.5222206446488494 -0.019896181571684424,0.20248956114170463
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-2.396589804233837 -1.973604079391638 -2.302767499421451,3.9474892202477245
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.2975310834639895 -0.7960012500697894 0.8478445363764773,3.1210451715551795
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.19652987179034814 -0.06898491533008777 -0.11544875895071123,0.8623981028223532
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.9326885263514175 -1.0477897898250583 -0.7397800508617798,3.4211593891308194
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.2186079151691255 -0.25952871432941144 0.22905642193380352,1.761904269892581
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.18127642705716276 0.1634487359742661 -0.5217631605758977,0.16053998800801517
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.4977483752439215 0.4059885225507773 0.10868000459948952,0.503941786580379
