,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,12.533673838751618 -3.0114859232177165 21.72086020321961,24.919585473188437
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-16.467587568500058 -24.03376037826901 -12.767019655119988,32.91697504746561
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,2.7435628954425613 -0.8494535450404495 0.7462147100788538,2.0253321508429902
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6032285912476283 -1.077008999041512 0.9170038788460217,1.216843968762636
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.9524361841995193 3.313748249564113 5.313728547740256,6.992721304502317
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.563556659814001 0.45212631840341333 -0.04995337408972588,0.4501055066915836
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-1.0211100286187014 -1.3446172278046506 -1.2908102681534166,1.3066509098367636
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.061778783023072 -1.0053884733564908 2.883878330104573,3.499177667145309
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.821632396166297 1.892393908751772 0.6038904345579974,4.605360879171083
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.596630487170501 0.12167206515856628 -0.6845558713804865,3.1796627700691307
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.6232676173873075 0.17932224336995103 -0.5169240581882277,2.1039027382767372
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.868743947736167 -5.486126733019525 -0.17011546187146087,8.8265308019358
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.05777928034925937 -0.04888467633649178 -0.030200133360416867,1.1311260389853017
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.537000185480323 -0.7723113071821865 -0.41864087384586673,2.328256907002164
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.2063637863376835 -4.247693908931123 -2.224212138637527,6.5159516546705545
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.2062955733643399 0.05933208432893941 -0.21481388048816932,1.181648900336781
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.34872517630879 -2.4137134724776312 1.231151821310376,2.555098352965505
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.6469146267976711 1.4374292767660222 -1.2752057119196762,1.1456548920759766
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.6069575839468064 -6.8426068727694425 7.304383551753548,11.7160975274723
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.4174284528871222 -0.5749605012923653 -0.7805367100125871,0.09410674566635382
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.04700983638350653 -0.037687736011495096 0.05184082070349917,0.9959202442196413
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-7.734612689535193 2.648346174504597 5.941810562164017,10.786868629113803
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2729519231716228 -0.8954471686255354 0.8676869593326837,0.14517640591024256
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5716064131271568 1.0704137855297486 1.0762631730866785,0.40897360888788437
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3770182533515105 0.44004384865208224 0.6649176018854427,0.1616972507679427
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.696968802989226 0.5677624676921821 -0.021631287967152475,0.2746088685688668
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-0.46434364072969225 -0.38238938593693256 -0.44616539824477913,0.8309990830085027
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.060664365013469 -0.6506897377758525 0.6930689355087449,2.8030603006762815
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.16329064830135523 -0.05731745227657219 -0.0959228361719939,0.9026205772045983
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.603602403738124 -0.8693786932898739 -0.6138149275605296,3.0262367194191455
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.3247079437806568 -0.38548940516057995 0.340227570069175,1.96050941853369
