,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,13.712836298049497 -3.294805179251273 23.76434906887889,27.29582921576842
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-17.84329517762872 -26.04154851911393 -13.833580619947668,35.574255708334434
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,3.1445547410245562 -0.9736074127457468 0.8552794646328712,2.4587114106067607
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.4433440096588974 -0.9696025230597889 0.8255541739911174,1.0040918939162888
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-4.399959092497211 3.68895437178811 5.91538664992434,7.831199294049591
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.5820405961638982 0.46695548233209455 -0.051591780754003135,0.42727771660630465
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.9898696165885995 -1.303479255360864 -1.2513184959647243,1.2416293211853184
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,3.279827861632878 -1.0769886919862146 3.089257966343744,3.8071407867623455
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,5.550836139438839 3.7227983748079163 1.1879991358762363,7.94209611608576
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.7493800427766266 0.128829554055996 -0.7248256000375186,3.337768677604651
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.5050945484082184 0.14532230619356837 -0.41891398886792824,1.9466802555389344
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,6.036224000217112 -5.642687796399647 -0.17497015424444176,9.055821033225635
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.603358570809303 -0.5104769092064184 -0.31536407501872477,0.3754751239073172
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.4566349642096131 -0.6567303990749546 -0.35598881641781716,2.1742120831010388
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.269684216415885 -4.369598468287824 -2.2880447985441967,6.667414737949055
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,-0.3626462111964339 0.10429964750759181 -0.3776205111966029,1.411789394183887
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.3842325190958693 -2.4502032893883294 1.2497640157821475,2.6093079962986923
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.5359802278559793 1.1909356186637419 -1.0565305215331315,0.7983216698825327
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,0.5603963638522761 -1.0631042704346736 1.1348483832476979,2.734940785467068
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.5295985444591602 -0.7294621209931891 -0.9902801370164106,0.34044489879621764
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.02078058891831843 -0.016659776114255082 0.022916114309336953,1.0384442765549533
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-8.625126724129291 2.953259882730841 6.625912780193047,11.950471841224948
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.21277343581844801 -0.698025382816443 0.676385545875029,0.42493346153666256
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5674937170830715 1.06271218099876 1.0685194823360231,0.3977199400042659
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3815795317490097 0.4453676293522643 0.6729619717976055,0.17203385762943155
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.6869817789680829 0.5596268705480543 -0.021321328336807933,0.26172509193118054
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-3.6750504620815927 -3.026423032894895 -3.5311786555483304,6.0094987666822
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.4799490946291705 -0.9079099101190563 0.9670417687773875,3.3659472859262025
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.4016346814811453 -0.14097976171866772 -0.23593474674438597,0.6143607860854171
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-2.215076706489219 -1.2008840147254591 -0.8478704852058411,3.760048463131794
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.04691942878637094 0.05570218727248116 -0.049161973246346295,1.2650051923108916
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.2360351038608091 0.21282215232231133 -0.679373616286254,0.08136088349471435
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.7552291087396432 0.616002714010451 0.16489918821185565,0.19788103760141923
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.47371928931525303 -0.09022929269506165 0.47478371895598126,0.40737703458218083
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.6603891387499611 -0.43903382830450893 0.32338443190082294,0.2107761493645703
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.5800115561896924 -0.10748782104116995 0.1939166737986679,1.4040236493390141
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.4026291016945927 0.35078292276036876 -0.359813742320039,0.8954180379393794
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.542277985863289 -1.5168602023381006 -0.5848970257753283,2.2297043479638483
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.769136947132376 -3.242898875080757 -0.638013825128777,4.724757762074136
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.21344744129476378 -0.4256509972323337 -0.02278208298051093,0.34982416001225786
0,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.07255551040543676 -0.29493819972446206 -0.2499817106586678,0.6928882002389899
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,-0.14623657206269783 -0.4704265967926271 0.13914402761212213,1.3647159624707688
2,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,41.74270418554855 -2.9942466696362935 -3.831236534381869,41.41435984848071
3,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.6597111731955512 -0.8180626498363512 2.756110484075696,1.9316303571743572
4,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.3521370681289216 0.7966396406796146 -0.6516697178544073,0.24815735795250307
5,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.014928189415271293 -1.2473378496865324 1.8435271073244033,3.170187120066377
6,-0.6612428092374805 0.39467150813450713 -0.88674268530274,3.2075345386433125 -1.2318496614232997 3.8601762129735504,6.336106715429265
7,0.9677163376000693 0.4348643927055915 -0.5584491719387301,3.5888764160558098 1.578714601954923 -1.970541944856898,3.189495172816156
8,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.2278242681116966 -2.8594128329862487 -1.14833576802235,2.2627098398273158
9,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,0.8286510276350596 -1.0268628172980134 0.7724424096189386,2.490338123522593
10,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.22720580624485393 0.2988132897085032 0.29151366411129775,0.6143308686493746
11,0.9357128184894121 -0.77672857139621 0.6911347922515148,-8.91491532111004 6.761200680279643 -6.174748921650077,14.177292101129828
12,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.6738905281240507 -0.3824430155843806 0.16328656381803283,0.18023321163599523
13,-0.8995145382342526 0.5016270419701312 0.2611113540046264,0.7935410433770829 -0.4416374237282213 -0.22647753846403096,1.9984814191613862
