,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.6465528968845389 -0.5098006674746102 0.4478417442586075,0.841458281483893
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.2849012152198975 -0.75028717204453 2.152140166866071,2.401988207666795
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.0875082694580605 1.400036354472932 0.4467719741590833,3.7081084797910187
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.339072118943769 0.10960347907523606 -0.6166551461660522,2.91307888597214
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-13.945409758957343 -20.35274657744437 -10.811621298548669,28.04522087069018
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.7277255666914767 0.2093761612769487 -0.6035591176040882,2.2428809874399076
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.242722712751531 -4.900919427457674 -0.15196917836017673,7.96948186301577
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.26181961011526766 -0.2215148202204184 -0.13684814165316786,0.8456145194960657
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,2.2696092991471644 -3.2641421213837183 -1.7693685141538755,5.649897641054448
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6529975082258168 -1.1104425167261895 0.9454703683810222,1.2831011202612392
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.735907372039605 -2.5795336897873833 18.605330422896465,21.29673383866078
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.38079617984564845 0.3055025113402444 -0.033753578619843384,0.6792428823854884
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.7756458029191504 -3.4184751889888156 -1.7900098674702851,5.485688156222326
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,1.8727889910679276 -0.5386275262053654 1.9501197429782997,1.879115031997497
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.0694605888134885 -2.1267217443595454 1.0847672595956388,2.1287406273292806
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4972340899738934 2.932103847823167 4.701746405499104,6.139856196423243
