,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.5193404289835133 -0.4704135325883005 0.4132415479187069,0.7047481884879946
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.264329425287294 -0.7435320659639628 2.132763672546151,2.3729358548295307
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.0983128678292746 1.4072827116426243 0.44908439218153107,3.7213120400707633
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.257033114967172 0.10575932216238187 -0.5950270084191279,2.8281669154354976
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-14.840152589558832 -21.658586592042756 -11.505299061429838,29.77347293361831
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.6427073630950224 0.18491531240418346 -0.5330469433840018,2.1297665605441325
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.4130942026525375 -5.0601834188013095 -0.1569076839334891,8.202725461371973
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,-0.022351225620251988 0.01891045412066875 0.011682561472212388,1.243535680355852
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.5521288560269036 -0.7940692946869906 -0.43043505945137417,2.35725630345441
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.554883781547427 -1.0445321611231289 0.8893519405889461,1.152495250567072
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,11.295454410307872 -2.713976954451984 19.57502559381861,22.42433065268824
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3094531810426314 0.24826594633662422 -0.027429771694970573,0.7696276665661084
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.9530656873575918 -3.760044139276639 -1.9688649878485396,5.910066474805133
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,1.9435821879818558 -0.5589881566382552 2.023836115526858,1.9833240225990476
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.1218118871947036 -2.18052158245002 1.1122086976149166,2.2086661774277703
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.482377844745926 2.9196482750257937 4.6817733937410235,6.112021598291422
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.7810643435800387 1.7355068319565543 -1.539643209553789,1.5658829690882448
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.9024781105464011 -1.188400447695942 -1.1408447466262142,1.0597392556706375
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.316991586349294 -6.292524627039477 6.717178736025858,10.8609461900997
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.1689849196556094 -0.23275762216025192 -0.31597973812627916,0.5870069426758044
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-2.4058611692023644 -1.4759326559382546 1.5720596397143336,4.609117454315247
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3634314258967185 0.4241857309322376 0.6409555771076965,0.13122440053260281
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5313875487094324 -1.4863974671074769 -0.5731506807885532,2.195312699270318
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.3510616676057812 -0.06686670075479777 0.35185049012821473,0.575291007635998
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-7.23928230221585 2.478744102748902 5.561292565300786,10.139638390979167
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.44728414826842644 -0.08289075962463238 0.14954159680004125,1.2620672018313082
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-1.1634781805508798 -0.9581302896982254 -1.1179300419810836,1.9586224347421006
7,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.13261172769295584 -0.04654869370918956 -0.07790092796067917,0.9397489984274624
8,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.38690186946616584 0.3155765566883596 0.08447741679222587,0.6452643664528296
9,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.16957155406094754 -0.3381549136895161 -0.01809903736637331,0.4396339250333084
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.32484169124465884 -0.3856481885575599 0.34036771007976574,1.9607597883429735
11,0.942619589081253 0.47040988797254535 0.32417697153162406,-0.9623455270389542 -0.5217270158988296 -0.36835941913696474,2.256730905991813
12,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.1583403260675316 0.14276829353730666 -0.4557467858165682,0.22757300304108583
13,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7543129002056035 0.614475930337158 -0.023411032877948747,0.34858754512159534
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,-1.2522971043814917 0.8325406334694806 -0.6132344763240976,2.639066426197564
15,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.015047835934514137 -0.049365990629163164 0.04783557065595813,1.3489755009739142
16,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.40763589911617865 0.763355826439452 0.7675272638153959,0.1279603028263516
17,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.23714060518807756 0.20660422766989886 -0.21192320239554835,1.1584800750912674
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.6119008276970865 -2.954678771111264 -0.58130887745815,4.391880291582581
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.5278686409787585 -0.4231917300808581 0.5821152694243534,0.32089507853398125
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.3571925732166996 -3.16069160830141 -1.2693288578795616,2.6120338458661507
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,35.42522472315879 -2.5410874359490565 -3.2514044752529805,35.05416318266206
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,1.0412736627054442 -1.2903443925189133 0.9706425386189926,2.8825853157594294
3,0.25609313514118703 0.7978578490565134 -0.16422872881286077,-0.2928168755340194 -0.9419589388478025 0.2786151154933552,1.877331970039677
4,-0.5152301896980707 0.7010663648362798 0.6557070663883529,0.6335006351735342 -0.8331583244163556 -0.812805334636795,2.414530301546698
5,0.9357128184894121 -0.77672857139621 0.6911347922515148,-7.239709506616632 5.490700368769006 -5.014449028269023,11.775902617075625
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,1.058533180869326 -0.6007335092166042 0.2564871274755579,0.6295190156386478
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,0.2267678860508553 0.9218116128385688 0.7813028088517842,2.3120285802136062
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.18611415805723963 0.4210460341137008 -0.34442542932023296,0.7413293475865684
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,1.3250977624489202 -0.7374700614167028 -0.37818444549064084,2.6254448459689295
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.2939583819876395 0.12027668585897729 0.26074299936423445,0.008798321230662277
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.015198557166893376 -1.2699286623130035 1.876915635912589,3.2104912134182557
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.7320291678350295 -1.193712598273756 1.2963145627574528,0.8443349635098506
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.25634324582798995 -1.9048937865079572 0.5746324144566306,1.074889747445702
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,-1.2122011234019197 -3.701110797992802 -0.968665582179756,4.9628411882119785
15,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.4283803606794583 -1.7712366719083505 5.967420664178358,5.366893257636525
16,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.7083013398904687 -1.6935532933901267 -1.4386125555662708,1.6277079827065437
17,0.9677163376000693 0.4348643927055915 -0.5584491719387301,4.900715551319548 2.1557808918364905 -2.6908325710197696,4.7934429560364435
18,-0.6612428092374805 0.39467150813450713 -0.88674268530274,3.7034451170760887 -1.422303504017629 4.456990431360066,7.13494096058345
19,0.2873539117652848 0.17775149387141687 0.73788310182956,0.5285314729712759 0.32187397427971076 1.1022318199059058,0.46009552676828447
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,54.372913428346365 47.48865018558463 -39.58549932338269,80.78211369803601
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.9551304635594794 -1.228971164217372 0.682484533019691,0.493539145653867
2,0.23906275587545278 0.5912753088472846 -0.9346377744488021,-0.9400653150745569 -2.1785028507888553 3.6019430089333304,5.444499909583221
3,0.4736327499889956 0.17114022100613857 0.5353547003270378,-1.610462510737496 -0.5255991921417206 -1.8137581935659521,3.216711092695541
4,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,0.0061414615477313455 -0.049456531216260126 0.024215811942904543,1.1366546194571674
