,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.6316691889714645 -0.5051924193928514 0.4437935623110742,0.825448226271915
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.3240702986185755 -0.7631490238475814 2.1890333844459433,2.4573047150828184
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.1414870451953125 1.4362384857448305 0.4583246010644049,3.7740729414523777
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.374269619219408 0.11125275207272861 -0.6259343468804598,2.949509288195631
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-14.327301824447316 -20.910102192173568 -11.107695236881398,28.782868923683164
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.7416769643545927 0.21339016081310874 -0.6151300911252974,2.26144309447451
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.3973995301779345 -5.045511972407383 -0.15645274732682937,8.18123892365158
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.2655876240227053 -0.22470278205004085 -0.13881761101693751,0.8403564191895039
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,2.3329845080744938 -3.355288068392714 -1.818775299408094,5.771403926278146
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6728269689505177 -1.1237634540917236 0.9568122896137423,1.3095032059329093
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.998625917198847 -2.6426574961584377 19.06062173377723,21.826163123009366
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.3908119020127857 0.313537855277221 -0.03464136711010609,0.6665823093097103
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.8381080873336506 -3.538727645400728 -1.852977439754622,5.6350936074469065
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,1.8934495800972655 -0.5445696595753785 1.9716334440732095,1.9095277845396221
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.130865689487192 -2.1898258998690854 1.1169545083613655,2.222488760607695
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.590507615213868 3.0103049791229606 4.827145063622258,6.314613098715046
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.9529993630750383 2.1175424522467505 -1.8785635397747622,2.1046010569707967
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.803718186174912 -1.0583514892049308 -1.0159999004413018,0.854189037497488
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.3349431635911784 -6.326579805941234 6.753532145369299,10.9138874447893
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.057277614001714286 -0.07889343774120171 -0.10710166037090522,0.8676123454085891
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-3.694961752989004 -2.26676201581797 2.414395442480143,6.340061647889513
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3752404979439291 0.4379689084481001 0.6617823137346971,0.15768061276749387
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5139699431730659 -1.4376769338258648 -0.554364180248373,2.140310183644364
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.35154339113896227 -0.06695845461547825 0.35233329607627506,0.5746230074333433
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-7.171049611866444 2.4553810991032896 5.508875497184173,10.050481242482194
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.45278034033948833 -0.08390931469209209 0.15137915205838917,1.2679449530041558
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-1.1397582988573003 -0.9385968446379008 -1.0951387522252805,1.920365002142541
7,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.09444050622649236 -0.03315002582770297 -0.05547777108487854,0.9859496550924406
8,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.35701673910159815 0.29120074648706584 0.07795219990149083,0.6836352682626566
9,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.16616446839782642 -0.3313605974804931 -0.017735385744090598,0.44675185971174597
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.3400771907322128 -0.40373559216832233 0.3563314001240789,1.9892802033974435
11,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.3535453269925077 -0.7338124867774454 -0.5180999510234443,2.726161268877057
12,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.15309859171987594 0.13804205931399507 -0.4406596400440534,0.2433650800032656
13,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7520418076155388 0.612625860251148 -0.02334054671328104,0.345657601033418
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,-1.2988692376332343 0.863502290398793 -0.6360402766777079,2.699375688291571
15,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.012489886363584096 -0.040974371056891404 0.03970410391435512,1.3609348882926873
16,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.4043450522474056 0.7571932506294105 0.7613310119683403,0.1333329647390932
17,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.21341980589638976 0.18593793387561175 -0.19072485998055108,1.196244684950322
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.6132007533048058 -2.957061586810069 -0.5817776769542593,4.394632116743974
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.6752964247393766 -0.541384428089894 0.7446935273510275,0.3086283360280724
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.356630521584089 -3.159382676972369 -1.2688031930837402,2.6105160808951626
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,35.23668040488197 -2.527562960041368 -3.234099466039361,34.8643439768423
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,1.088359340405245 -1.3486928770374136 1.0145343255449997,2.9694517523000554
3,0.25609313514118703 0.7978578490565134 -0.16422872881286077,-0.3064024178477859 -0.9856620997336257 0.29154175243628005,1.9248561988997577
4,-0.5152301896980707 0.7010663648362798 0.6557070663883529,0.6212051954150809 -0.81698778342817 -0.7970298192347647,2.3888110516426653
5,0.9357128184894121 -0.77672857139621 0.6911347922515148,-6.963167264464084 5.280966733796571 -4.822907230056012,11.379483221974862
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,1.194946333948541 -0.67815002636846 0.2895406192465359,0.7895971993334249
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,0.28943683514476387 1.176560934028601 0.9972215035468504,2.6515992221157147
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.1687787220878625 0.38182807971018135 -0.3123442322821773,0.7942640965732847
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,1.4458246977214728 -0.8046594438857806 -0.4126400534960877,2.7678405795768595
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.22086365198291052 0.09036907846476042 0.1959074977864861,0.10155263848256949
