,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,2.733600349781498 -0.8463689721504036 0.7435050225646848,2.014566756205543
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.880489129365469 -0.9458588531446144 2.713122262894807,3.2431346753962926
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.623216415670188 1.7593215803364877 0.5614251180809658,4.362833157540718
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.477576166223875 0.11609345658595747 -0.6531692975803621,3.056435438575956
4,0.5406060457127135 0.7717485293729109 0.6096512345230409,-15.406819495080729 -22.48561341457867 -11.944625556012618,30.86802766139263
5,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.5831877778817028 0.1677907494601906 -0.48368274625288393,2.0505783795829258
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.514729937465115 -5.155192934764338 -0.15985376747781488,8.341868540110081
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,-0.08492892341912685 0.07185487440921269 0.04439073657391464,1.331392357172211
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,0.42475261478557613 -0.6108773442241582 -0.3311336022409365,2.1131013939657457
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.4566985923524858 -0.9785737987830126 0.8331926381485338,1.0218548601867323
10,0.15480697464233661 -0.06429261157976174 0.2950942449151539,11.750364731244508 -2.823278987156194 20.363385304880833,23.341064062608872
11,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.6877638790327983 0.5517744225763902 -0.06096303847436638,0.29948960146522935
12,0.5155266537655077 0.9574464194595751 0.5963290434478494,-2.0143495742198345 -3.8780279434671834 -2.030644629948334,6.056655572522176
13,0.6085875274862944 -0.17020497734407258 0.6095479289945955,1.8580990193111722 -0.5344025851227847 1.9348231964462175,1.8574911575114257
14,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.197517854058827 -2.2583223034581965 1.151892156509545,2.3242476821950464
15,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.815993382548065 3.1993537156445973 5.130292313357173,6.737082459258258
16,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.6414133502311243 1.4252055679970836 -1.2643615309259078,1.1284254168783472
17,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.9584108933602273 -1.26205380655313 -1.2115507512280372,1.1761534316518456
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.3375635500976797 -6.331550830496252 6.758838641953155,10.921615270521349
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.2150300090743959 -0.29617952718653956 -0.4020780439762965,0.47198688719621107
0,0.998456615445664 0.694735214478744 -0.6511778926114262,-1.454190822090028 -0.8921078862584354 0.9502105645641483,3.33136540625353
1,0.3476189086939534 0.35288727366640305 0.531931095515876,0.3497105232051261 0.4081711248124651 0.6167570943225906,0.10127254871069474
2,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5271527889184817 -1.474551995300008 -0.5685831001912017,2.1819396838327547
3,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.38615788940072754 -0.07355147661310067 0.38702557182943625,0.5267594423148285
4,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-7.243809836659061 2.480294339199505 5.564770664729297,10.145554354106107
5,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.4227833866425395 -0.0783502751240884 0.1413501975954499,1.2358662680586108
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,-0.6449066758630879 -0.5310839777678148 -0.6196597059346184,1.1222264261124326
7,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.1534803712496036 -0.053873898756618036 -0.09015992440560568,0.9144928194503256
8,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.4343019420364149 0.3542384316209791 0.09482690332229508,0.5846071576318029
9,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.1808712842827757 -0.36068852387571365 -0.019305101913268355,0.41615154075439653
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.3073505456624451 -0.36488290875701573 0.3220405638760907,1.9280173165767962
11,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.5187006015044446 -0.8233499409558727 -0.5813168510632993,2.924351319231544
12,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.1643919053787822 0.14822472824936123 -0.47316488699592424,0.20950760884744196
13,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7728136477169092 0.6295469493212477 -0.02398522643626619,0.3724555225923967
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.8414520588408012 -0.5594064121449175 0.4120487149971717,0.16396859573681283
15,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.2527776827309372 -0.8292634749117378 0.8035550596874175,0.23852858401168672
16,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.5466165204536796 1.0236166800349786 1.029210339937536,0.34102526621995327
17,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.26209069041172517 0.22834151337785077 -0.2342201091460549,1.118770900829177
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.600154554716678 -2.9331473823195133 -0.5770727528509596,4.367014646247373
19,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.3549107386511463 -0.2845315630713849 0.3913832802578281,0.5200472794601514
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.3036973445727993 -3.0361094940195748 -1.2192968736080665,2.4675787402575313
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,36.47557951664316 -2.6164304546559256 -3.3478083316244516,36.11162020347382
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,1.014393028508889 -1.257033960453669 0.9455852573770549,2.832994702549538
3,0.25609313514118703 0.7978578490565134 -0.16422872881286077,-0.2737617975784686 -0.8806608972716858 0.2604842180317986,1.8106773646124852
4,-0.5152301896980707 0.7010663648362798 0.6557070663883529,0.09158152035310259 -0.12044487694000774 -0.11750256300336508,1.2809973859474206
5,0.9357128184894121 -0.77672857139621 0.6911347922515148,-7.5592411167680025 5.733037762014969 -5.235766606075203,12.233947043503427
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,0.9591317682725673 -0.5443217117505124 0.23240173908648795,0.5129585764482795
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.002969812118963668 -0.012072288307152509 -0.010232147905581686,1.0682982798406497
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.2282728502770118 0.5164216377101554 -0.42244488694209087,0.6130426288708782
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,1.2443256081447103 -0.6925171173521086 -0.3551319785313966,2.5301752293793203
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.20890821267210027 0.08547736349283333 0.18530294525241744,0.11821217784666514
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.015313071041754108 -1.279496968720071 1.891057299485973,3.2275620285249293
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.68821530642532 -1.1222657753302512 1.2187267437310356,0.7308529880971376
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.23993571897751415 -1.7829689983260752 0.5378524449321851,0.9467358842730742
