,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4391333703453872 2.883391825922079 4.623634719909226,6.030998939570499
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.5382788210232 -2.532049160744373 18.26284008973332,20.898473645568217
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.16010657550113835 -0.31928011463675143 -0.017088803063959962,0.45944665505306015
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.09276376510051391 -0.032561464691666146 -0.054492792667539855,0.9879792168047464
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,33.72242753581762 -2.4189440600767402 -3.0951180313804056,33.3398521286992
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.32940254534482 -1.6485010609659738 5.553915776557114,4.924427190251557
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-1.1327637429590105 -0.5345671597942415 0.5758531265812757,0.3772299186750542
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.9458707542359818 0.23387245946339213 0.9461882381763174,0.08252665378525113
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.8046891630678693 -0.6782210176369045 -2.0072146875171897,3.2435910383590447
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.12124328029775755 -6.019187356685848 -0.6808216967207686,6.632170544439467
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.33159773835141954 0.29668932316754465 -0.2812985594652602,0.7249734395420109
1,0.9117377916955973 0.452352634825238 0.25237684863553644,9.714016990324039 4.74402337738438 1.845001795607185,9.921441985662241
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.7921843544349096 -1.869195708101515 -0.6621131598531196,3.4286843027811673
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-6.45599180175908 10.371507552974785 8.51708202066678,13.523967963692561
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.4820430270171787 0.33767436821352814 1.2509864259897283,1.7896927961061766
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.24153387501941007 -1.6326608244291292 0.8568082688592507,2.5468561189695405
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.607575160302101 -2.1101229203370284 1.423692480779502,5.190332381557302
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.1869334129638225 0.8695115050040747 -3.1067361428626494,3.050310131689119
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.583874536366295 0.9279220154367023 0.09174049068887849,1.9275180217033818
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.034261868670446144 -1.07185047464104 -0.019572730380927057,2.0023884889963206
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.601761975041209 0.5117197862975925 -0.24391422759940015,0.09458573381238997
11,0.7025500335578911 0.683516623141857 0.5779574039742612,7.902269011303416 5.867615833024938 4.361003482366219,9.644805628298386
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,59.401766901574945 39.08524825337215 -32.90465526629707,77.40862345793872
