,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4679401551675113 2.90754362201217 4.662363095964951,6.084971205143163
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.636543955855634 -2.5556594823546286 18.43313359537304,21.096497114613307
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.16074099891485186 -0.3205452643011214 -0.017156517564393067,0.45811492975921053
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.08908381368572449 -0.03126974687566463 -0.052331056031953156,0.9924335367066075
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,34.085444798579275 -2.444983657923898 -3.1284365483964938,33.70532401787491
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.3325791634029531 -1.652440167489768 5.567186902907022,4.9386275813599045
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-1.1558440612245011 -0.5454590869582423 0.5875862646855685,0.39665854100078357
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.9571004073539351 0.2366490614270905 0.9574216605560907,0.0873254771909404
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.8146191143425585 -0.6865903383233277 -2.0319839337798054,3.2715395407107253
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.1223365537473984 -6.0734635005621715 -0.6869607939403117,6.68680365041462
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.326588031370922 0.2922070049807531 -0.27704876161089864,0.7329138450941748
1,0.9117377916955973 0.452352634825238 0.25237684863553644,9.768768284421489 4.770762204318601 1.8554008134411288,9.983252786076749
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.8103410642647972 -1.8781452846292437 -0.6652833107198474,3.449172652712459
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-6.511012560365134 10.459898032853896 8.589668282898307,13.650888681221225
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.503170661200114 0.34054871827390676 1.2616350663591467,1.8135243564114387
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.24482081852443358 -1.6548790904687578 0.8684682497797367,2.572162337078697
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.645174721342039 -2.132115447732726 1.4385307613293343,5.23634930895031
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.203990213934126 0.8762931859616782 -3.1309668669175905,3.080701307876226
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.593673706237273 0.9434953362272839 0.09328017189830737,1.9459747444262108
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.03489716383578555 -1.0917250889259744 -0.019935654572339315,2.0222751324693697
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.6015905232610114 0.5115739890023794 -0.24384473246632105,0.09436922097332878
11,0.7025500335578911 0.683516623141857 0.5779574039742612,7.9710928910256165 5.918719140919232 4.398985127727715,9.738547814673405
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,60.2714322272311 39.657471722868294 -33.38639241369847,78.5557181358925
13,0.6862068645642059 0.9089283855774439 0.4322858466503787,-2.591581960972786 -3.6207300452274516 -1.4072625852636955,5.886055004664378
14,0.36349278975418287 0.06014106029853972 -0.7519835541293949,11.338592737121205 5.5870241061321595 -32.49634812032461,34.03974055084041
15,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,0.862737145596959 1.6905940097540246 0.11632498660957762,2.8629420921186832
16,0.18650401714811826 0.06282834181048846 0.9184887521438521,1.5134570904258664 0.3839001245511416 6.38080602435139,5.630346484063865
17,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-2.361022717486678 -3.898057147868805 3.7503957228060973,4.711208450819696
18,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,3.0960066984050862 -3.1568474223809475 -0.827813415830932,3.19229369495466
19,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.027512240685504525 0.0015045203200389642 0.04056029764670407,0.9319274883465999
0,-0.3109493351489925 0.36761733944177943 -0.5485205411950496,-9.24250334032271 12.915153983919128 -17.187080823669692,22.67278150261629
1,0.6413140448630064 -0.6313083109397872 -0.984349218156618,0.6712587765892689 -0.5577309134624482 -0.9337839207453136,0.09416565021274927
0,-0.7648746992966571 0.9660581079847483 -0.10156156419464968,-2.878174026428377 3.292889032654649 -0.07726190672607033,3.1433686820684357
1,-0.8778997883935524 -0.38581507202010346 -0.8861753042242502,-2.8752004015805555 -1.293957307296876 -2.874342756319596,2.960868432825405
0,0.9346166441783601 -0.9708202611728722 0.8308208665240049,1.0200523404144017 -1.0551602032679113 1.3125088720772038,0.49642302396016075
1,0.1887245186672395 0.25973479447049597 0.5901171817363047,-0.6666127787615563 -0.9330036708333387 -2.3238445709580047,3.262728924558924
2,-0.145292387683565 0.5568242751923098 -0.8285945275931661,-0.2319437090577687 0.8852915087897656 -1.3191128992412062,0.5966635969851906
3,0.2742511043963227 0.9865848712636673 0.5048056719765586,-1.681474535462381 -6.2308177582741235 -3.6812901886965324,8.569665223916518
4,0.7168876884815107 -0.6758596230149663 0.8491603176390368,1.7535271870300544 -1.656820469676661 1.919460113644286,1.7839415029543664
5,-0.13980068579716143 0.5353408176680055 0.6953993489084764,0.09008414109776328 -0.2810636884326063 -0.31626181165846773,1.320159708148052
6,0.5528493944680846 -0.08542113820581809 0.4699585632460681,0.05804286663503553 -0.01786871535065273 0.04733706712107582,0.654221490633507
7,0.4003665184668339 -0.3937595567432002 0.7582930923433788,-0.2513903049423144 0.17618674475225427 -0.5860491401907575,1.5990252598453838
8,0.8773619472932634 -0.8374929461213212 -0.5627990789693293,0.4555353730887692 -0.3727062036177364 -0.35855259395889555,0.6600613618076056
9,-0.3734716311141817 -0.07584176140317989 0.11049524692745116,-0.23592894553244856 -0.049544915111590204 0.061148775930808794,0.14847420207477613
10,0.5000964149351179 -0.7787944168805299 0.5546248745883904,-2.289218295920026 3.306463038405274 -2.2527512165389414,5.687790919961328
11,0.0209820979151627 0.5574779467689499 0.6825227736503292,2.572357028835659 14.666631529727239 21.13050596162273,24.973941325334216
12,0.9885199918450014 0.45602159690166433 -0.1871289115003285,1.0537430395959047 0.4078255168080782 -0.25797370649812923,0.10768422852295681
13,0.5771996755535453 0.001569776968604275 -0.5683832937716153,-0.28284565818341717 0.00980602215037934 0.2913242275834682,1.2160768208020079
14,0.9697609995939176 0.97592418578649 0.596366467847798,0.39970437742922854 0.3206461041559182 0.24232289929917822,0.937923645703582
15,0.5452812975474246 0.6802545647898539 -0.8659878272327775,-0.29119171044008907 -0.29653626308749614 0.3580226310232187,1.7753898209793395
16,-0.8877551420392962 -0.8329796687280608 -0.9133759232640786,-0.4460589610152931 -0.39156810772113154 -0.45917524428981693,0.7721644509445144
0,-0.5828450878101454 0.6831445127329765 0.8371164127827591,-0.7326657904534442 0.751849135241777 0.9564921414280532,0.20351199641348763
1,-0.22688336804251974 0.9878633376967645 0.7409966351172579,0.9130085138008971 -4.406042558653068 -3.270735605976493,6.818179368071884
0,-0.9791152180952929 0.5352194270701098 0.6525748785609196,-4.412267431696776 1.679100905641444 2.6712703317243762,4.143685592729994
1,0.3809713606787599 0.6814773749532255 0.9162974438174207,0.43758219020303984 0.5667004582652283 0.9060385910572181,0.12838913771727747
0,0.020196012666442664 -0.5675948421035282 0.5532683247760091,0.3725399407545834 -3.865173787229067 3.983743041282621,4.771407541133639
1,-0.25659438766520926 -0.8570514658752271 0.41834654133429416,-0.8561509493093735 -2.386117087902635 1.0311739735228072,1.753016602522464
0,-0.05443539636681094 0.05471052209775218 -0.6210732676768993,26.973801418748835 -17.5025276584689 213.2376482417608,216.27375005652988
1,0.2585504272705055 0.37821902964454956 0.332153092152653,-7.044751392620189 -8.569710931195628 -6.6147826681320385,13.47826340869039
0,-0.17456290250437312 0.1291638363892258 0.7770990061039078,0.20346633855160237 -0.1504727436592747 -0.9245891543666985,1.7654589543459838
1,0.04179991016152074 -0.22675241220125875 0.8785369641869445,-0.01142937533244965 0.24085777440958825 -0.6865393266588602,1.6343061034041606
2,0.2015006089287159 -0.014784196843850683 0.8609561266396932,-0.7990895112594325 0.26334398057155217 -1.8373584836653354,2.8912692036329175
0,0.6346561781177398 0.6401670374596689 0.05208727180485262,-3.712301436130944 -3.248920764648977 -0.3532774057349599,5.846825202995368
1,0.8424659263784879 0.00034062462321760023 -0.7304585691188208,2.030123081253416 0.12178878865551729 -1.7047670432070412,1.540959498738543
2,0.3844854863092515 0.7313852525830795 -0.5380455639972357,2.8687539767511754 4.6354759201354305 -4.343532203884632,5.991263843249888
3,-0.9434355628864342 0.1130864859525762 0.8097306678765344,-4.440407872787497 0.690488595904756 3.060915769875508,4.198814463185308
4,0.6557221061906622 -0.5211871323046595 -0.9664382002678413,10.6601699053272 -8.860435886723163 -16.145700605362105,20.001051290280383
5,-0.04254012056189094 -0.22082727877532093 0.2515048472441497,-0.18845131214255703 -0.4935694506913579 0.5675719339587041,0.44224062621404714
6,0.21115964185219016 -0.31282652030226243 -0.21254324447379025,1.9738700220507894 -2.7311465108970157 -1.8534409291292668,3.412911465725093
7,0.5006750272071787 0.4589623642503289 0.41220090240245666,8.745584221620442 7.774048359178328 5.309951884455124,12.061383644487476
8,0.35617675229932555 0.7653914214934314 -0.5395465530750647,2.170180380281064 4.791585003728814 -3.315975663832381,5.216263272786848
9,-0.5190810799065286 -0.8101421077005884 -0.9682737031976063,-10.648303760296548 -15.271055574019309 -21.868090724935243,27.359121366217153
10,0.20725386302579096 0.2585567852335937 -0.8708706901590835,4.2852219955031865 6.136336433988579 -16.209317418217026,16.92471759641179
11,-0.49767140610222715 -0.3943466570813876 -0.13767828982837282,10.123792745393528 7.599395600779341 3.6341489336505863,13.818179931177434
12,-0.17408480409587201 -0.3929111238313354 0.6734821670706228,-3.841608280603079 -6.278327844788091 21.43128420095961,21.885502135161865
13,-0.26616518188846583 -0.17570310080616114 -0.6066561901158789,-6.614729554146516 -3.9622403525460848 -16.67558072416399,17.687636066712017
14,-0.26872969010886494 0.12344683158614189 0.9836523270210036,0.11625567830174932 -0.04174103228453014 -0.39717468598239175,1.4429774787224818
15,-0.416478790126366 -0.6934752090042442 -0.3427924669414051,-3.4261583723993048 -6.094695530133654 -3.5631847191199317,6.9715334326978144
16,0.6149995062915097 -0.30380413265344863 -0.1864100252283316,-0.2106103189698052 0.07380251864725801 0.047715368622503224,0.9375676331445967
17,0.41946010196790917 0.38861598566806044 -0.42093719039853816,6.111711921504382 5.3037681961383925 -7.08050757082395,10.045413365359693
18,-0.3165048549789018 -0.573754220905321 0.5013338847405009,-0.692031320725069 -1.2741088363779283 0.8921624795726,0.8855866442240555
