,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4536181947222935 2.8955359970578716 4.643108386583027,6.058137642481414
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.587322015325409 -2.5438328477280012 18.34783195892207,20.997305275379606
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.16026491046254468 -0.319595861847449 -0.01710570277569974,0.4591142445956068
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.09040356140577878 -0.031732998003320904 -0.05310632360334218,0.9908360708386734
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,33.9035753178998 -2.4319379749127457 -3.1117441703519138,33.522224783963324
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.3332487886087432 -1.6532705238525267 5.569984431772783,4.941620999560428
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-1.1489521898133248 -0.5422067158006734 0.5840827047201382,0.390746805782753
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.9519892983700431 0.23538530776593225 0.9523088360153824,0.08479550419777256
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.8101470125404333 -0.6828210898054906 -2.0208287339420505,3.258952475695805
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.12179313842856326 -6.046485357043381 -0.6839093346059486,6.659648077523205
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.3289900298086401 0.2943561369207931 -0.27908640729487444,0.7291066339131584
1,0.9117377916955973 0.452352634825238 0.25237684863553644,9.74118604252565 4.75729189636208 1.8501620655703577,9.952114150222691
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.801010143633936 -1.873546004856507 -0.6636541374609015,3.438643476766692
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-6.4832889850603115 10.415360294966577 8.55309389246724,13.586936525916238
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.49265425643698 0.33911799354608585 1.2563346426897373,1.8016620502617837
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.2431938576059367 -1.6438815632925237 0.862696829236896,2.559636344852085
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.626498352593866 -2.1211913693662243 1.4311603242424982,5.2134918846986755
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.195373335526768 0.8728671671958553 -3.1187258140221976,3.065348055563063
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.5888281315369971 0.9357945115435913 0.09251881757818328,1.9368480937114285
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.03458493966090768 -1.0819574480171783 -0.01975729069930973,2.012501576117196
10,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.6015730386385137 0.5115591206197646 -0.24383764536482866,0.09434714615638183
11,0.7025500335578911 0.683516623141857 0.5779574039742612,7.936311606089165 5.89289323978955 4.379790475595262,9.691173609361101
12,0.7565679236632612 0.47846682879542723 -0.31091276057912975,59.832777822983104 39.36884535396119 -33.14340684768426,77.97712988998097
13,0.6862068645642059 0.9089283855774439 0.4322858466503787,-2.572963675287928 -3.5947182163966587 -1.3971526148901494,5.85250975290744
14,0.36349278975418287 0.06014106029853972 -0.7519835541293949,11.280648434054717 5.5584723955670885 -32.33028004753163,33.861552596706176
15,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,0.8571658966303194 1.67967675624533 0.11557380130968589,2.8506803726009218
16,0.18650401714811826 0.06282834181048846 0.9184887521438521,1.5072025696430351 0.3823136168643852 6.354436671600667,5.603199558340334
17,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-2.352415040689512 -3.8838458419727506 3.736722752188622,4.689712885511555
18,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,3.0874556272681053 -3.1481283111169827 -0.8255270217444579,3.1798719421800565
19,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.03004506697590287 0.0016430291628698208 0.04429435149569067,0.9274167870573767
0,-0.3109493351489925 0.36761733944177943 -0.5485205411950496,-9.196810902739063 12.851304954542117 -17.102112543014123,22.55709202074754
1,0.6413140448630064 -0.6313083109397872 -0.984349218156618,0.6776232636833532 -0.5630189950853653 -0.942637519267249,0.08787295292321871
0,-0.7648746992966571 0.9660581079847483 -0.10156156419464968,-2.8640571873859084 3.2767381036170535 -0.0768829533023541,3.1219253985884197
1,-0.8778997883935524 -0.38581507202010346 -0.8861753042242502,-2.8582055747575996 -1.2863089429109638 -2.857352998893777,2.9356501363380487
0,0.9346166441783601 -0.9708202611728722 0.8308208665240049,1.0159598289682212 -1.0509268369607727 1.307243007405978,0.48991002594229766
1,0.1887245186672395 0.25973479447049597 0.5901171817363047,-0.6610231820673897 -0.9251803671099627 -2.3043589650029017,3.2410009656106675
2,-0.145292387683565 0.5568242751923098 -0.8285945275931661,-0.2316756321309657 0.8842683026508051 -1.317588289095187,0.5948079982880145
3,0.2742511043963227 0.9865848712636673 0.5048056719765586,-1.6711982160714551 -6.192738160872984 -3.658792010489317,8.524259376609299
4,0.7168876884815107 -0.6758596230149663 0.8491603176390368,1.7464144327126012 -1.650099982514499 1.9116742929786674,1.7714416566618483
5,-0.13980068579716143 0.5353408176680055 0.6953993489084764,0.08911405446219338 -0.27803700554958305 -0.3128560917049628,1.3155092075454247
6,0.5528493944680846 -0.08542113820581809 0.4699585632460681,0.058613294024226194 -0.018044323573274727 0.04780228121499033,0.6534714106908447
7,0.4003665184668339 -0.3937595567432002 0.7582930923433788,-0.24890091496927616 0.1744420572796441 -0.5802457944585769,1.592509851077819
8,0.8773619472932634 -0.8374929461213212 -0.5627990789693293,0.45742875175556647 -0.3742553126806133 -0.360042875224483,0.657299834099531
9,-0.3734716311141817 -0.07584176140317989 0.11049524692745116,-0.23609409529459602 -0.049579596447226364 0.061191579944440064,0.14830084367260665
10,0.5000964149351179 -0.7787944168805299 0.5546248745883904,-2.2788064498601077 3.2914245494066314 -2.2425052304223265,5.6668263066594955
11,0.0209820979151627 0.5574779467689499 0.6825227736503292,2.5621639804888354 14.60851452551992 21.046775644856723,24.871510394428327
12,0.9885199918450014 0.45602159690166433 -0.1871289115003285,1.0549894359182228 0.40830790407441975 -0.25827884491133984,0.10843014572989888
13,0.5771996755535453 0.001569776968604275 -0.5683832937716153,-0.279147045364852 0.00967779434070581 0.2875147453046203,1.2107670707728813
14,0.9697609995939176 0.97592418578649 0.596366467847798,0.4034714017891883 0.3236680417515238 0.24460667780194853,0.9326612117517832
15,0.5452812975474246 0.6802545647898539 -0.8659878272327775,-0.2875312250069628 -0.2928085928533917 0.3535220337239022,1.7685114948613214
16,-0.8877551420392962 -0.8329796687280608 -0.9133759232640786,-0.4544954520558038 -0.39897399151958707 -0.4678598088273346,0.7579970283824283
0,-0.5828450878101454 0.6831445127329765 0.8371164127827591,-0.7305585796333135 0.7496867514461492 0.9537411864687125,0.19962084820191967
1,-0.22688336804251974 0.9878633376967645 0.7409966351172579,0.9085517223511506 -4.384534749573747 -3.2547697236624136,6.791025169041894
0,-0.9791152180952929 0.5352194270701098 0.6525748785609196,-4.393302674089919 1.6718838132584697 2.659788708017796,4.120387028989262
1,0.3809713606787599 0.6814773749532255 0.9162974438174207,0.43606267063540316 0.5647325709640492 0.9028923401380327,0.12978481612216922
0,0.020196012666442664 -0.5675948421035282 0.5532683247760091,0.3708784786686011 -3.8479357974172728 3.965976253619584,4.74659776920921
1,-0.25659438766520926 -0.8570514658752271 0.41834654133429416,-0.8532468240134974 -2.3780232079630164 1.0276761576021773,1.7437407351126137
0,-0.05443539636681094 0.05471052209775218 -0.6210732676768993,28.676405175655816 -18.6072985020017 226.6973462418387,229.8856142282389
1,0.2585504272705055 0.37821902964454956 0.332153092152653,-6.965543474138355 -8.47335707468309 -6.540409118640809,13.3330432973235
0,-0.17456290250437312 0.1291638363892258 0.7770990061039078,0.2010662925428687 -0.14869779891699708 -0.9136828957420393,1.7541515955460307
1,0.04179991016152074 -0.22675241220125875 0.8785369641869445,-0.011385764846190822 0.23993874564767514 -0.6839197334614615,1.6315331087252771
2,0.2015006089287159 -0.014784196843850683 0.8609561266396932,-0.7954946109750336 0.2621592630432751 -1.8290926755895154,2.882197027765447
0,0.6346561781177398 0.6401670374596689 0.05208727180485262,-3.692449684409263 -3.231546968503143 -0.3513882338915119,5.820378593629549
1,0.8424659263784879 0.00034062462321760023 -0.7304585691188208,2.0182181761204077 0.12107460339818166 -1.694770068092247,1.5254070648375782
2,0.3844854863092515 0.7313852525830795 -0.5380455639972357,2.8537856636042958 4.611289372345095 -4.32086893240224,5.9549015088989155
3,-0.9434355628864342 0.1130864859525762 0.8097306678765344,-4.421673828570037 0.6875754302096391 3.0480017914704627,4.175887522749349
4,0.6557221061906622 -0.5211871323046595 -0.9664382002678413,10.61275623596345 -8.821026967232878 -16.073888718971233,19.906404274051926
5,-0.04254012056189094 -0.22082727877532093 0.2515048472441497,-0.1886865337258927 -0.4941855153202416 0.5682803671738662,0.4432045008733487
6,0.21115964185219016 -0.31282652030226243 -0.21254324447379025,1.9624988726960495 -2.7154128128631294 -1.842763552508784,3.3907562943130904
7,0.5006750272071787 0.4589623642503289 0.41220090240245666,8.7037055090957 7.736821899728928 5.284524886915089,11.999853728900451
8,0.35617675229932555 0.7653914214934314 -0.5395465530750647,2.1590250002251183 4.766954815255705 -3.2989305513051326,5.184300478274335
9,-0.5190810799065286 -0.8101421077005884 -0.9682737031976063,-10.578996577253934 -15.171660039505275 -21.725756715614743,27.172195313042046
10,0.20725386302579096 0.2585567852335937 -0.8708706901590835,4.262221789415607 6.1034006834597685 -16.12231664169968,16.828890893087575
11,-0.49767140610222715 -0.3943466570813876 -0.13767828982837282,10.064247488532082 7.554698126777213 3.6127739077912864,13.74071815442166
12,-0.17408480409587201 -0.3929111238313354 0.6734821670706228,-3.8218977636535945 -6.246115011422454 21.321324606009465,21.769242810003128
13,-0.26616518188846583 -0.17570310080616114 -0.6066561901158789,-6.580379771577277 -3.9416647426919065 -16.588985714133422,17.592232092235385
14,-0.26872969010886494 0.12344683158614189 0.9836523270210036,0.11393225173160264 -0.040906817346456285 -0.3892369556978894,1.4346662560522478
15,-0.416478790126366 -0.6934752090042442 -0.3427924669414051,-3.4120191356894156 -6.069543644724774 -3.54847999542982,6.939150259055697
16,0.6149995062915097 -0.30380413265344863 -0.1864100252283316,-0.2080460382614506 0.072903937914268 0.047134411336795606,0.9348026223165259
17,0.41946010196790917 0.38861598566806044 -0.42093719039853816,6.084457992487073 5.280117126880168 -7.048933495798788,9.997465655778234
18,-0.3165048549789018 -0.573754220905321 0.5013338847405009,-0.6916841234253277 -1.2734696064264521 0.8917148749706673,0.8847363571935233
0,0.2628201950214415 0.06865611634345714 0.09306339387039553,-0.12999996480089424 -0.0351035002621473 -0.04778072559576145,0.43001256026909784
1,-0.4749436530224409 0.6851463850785855 0.21331085512821368,1.4260520288770275 -2.076611741661973 -0.6177143298378126,3.4542286246375995
2,0.9750464735119955 -0.6066186996764198 -0.33676304652765854,1.3680965881250808 -0.8182784773092028 -0.5471876508708646,0.49352484048719725
0,0.7115632982825755 -0.8418305634885648 0.9366961909720963,0.09370919757526781 -0.11677271829550961 0.12729520733856964,1.2500330079416915
1,0.6423556460466915 -0.8332744217854684 0.11528247170852945,0.476288023962078 -0.6279454947470783 0.10468611096805529,0.2642928418336691
0,0.8272273602935656 -0.020380384943113672 -0.09967521467724128,15.33823952243303 -1.0452229075120665 -0.9311565924872549,14.570900365024455
1,-0.7893467779815351 -0.2479338623219669 -0.1125582330985242,-4.472399264872019 -1.4173781339069011 -0.643994055013855,3.900628097928309
0,0.006338642940764361 0.8595696432096107 0.3157479746192118,-0.005882031517747053 -1.1612227980848437 -0.4291192244222756,2.1537359587203193
1,0.2931430129164323 0.8619679181506357 -0.44619362913757454,-0.5661572038764477 -1.8116214587908697 0.5976533780143327,2.996012949473809
0,-0.0111071862237071 0.9682033169498685 0.8653005644743754,-0.04860140155538704 0.8932696308328997 0.8198274465266856,0.0953345580275028
1,0.7696562056895251 0.14811445232556775 -0.8076286525105529,2.0048448839186532 0.7241187778706665 -2.399591821411001,2.095666668391622
0,-0.8840977264656207 -0.7806448408383828 0.4359871450908024,-40.61860801429795 -35.20435814218468 20.596588990862635,56.305179264885375
1,-0.9797381920671486 0.6872039272069568 -0.33902158018153794,-0.522759394693884 0.3961650593155373 -0.1732104239887348,0.5665920784746541
0,-0.530494014728355 -0.6322426545385234 0.9988538006380236,-0.6146868935102038 -0.6924640533393928 1.036572836136667,0.11017160863877935
1,-0.2706181534125731 -0.05625327174191419 0.5046565479695679,-5.110022636110184 -1.0653960304668253 9.53376486162187,10.293833192465565
0,0.13386585147371255 0.383151868828586 0.6753109136203046,0.127492962209189 0.436953492692634 0.7475498396472681,0.09029779001457057
1,0.5191512321487946 0.014173386063456528 0.5538964780974496,0.1309404587663806 -0.009730527616541041 0.14891800682863054,0.5615038413498366
0,-0.036367222940804744 0.12983540587508968 0.6789664018464543,-0.010355168378491358 -0.03354748751194971 -0.10458268045138965,0.8008244259535713
1,0.8161902345670369 0.3958592060368804 0.06843750794321246,-2.656349844252374 -1.1170928883743798 -0.10648383555635592,3.791853915356212
0,-0.132819819694314 0.7778346969975709 -0.12021589638587993,-0.021904016817392277 0.21537214581462708 -0.02779377600281301,0.5806963794851489
1,-0.5586709102141367 0.7890921012798295 -0.5247277730624962,-0.27177484395269863 0.45728600819440673 -0.4796716950487038,0.4409474871352423
0,0.7964941793091431 -0.532614107342277 -0.07997338894411898,1.1708263607958027 -0.7905029074620522 -0.10764483661983318,0.4554085246679608
1,0.4359371702862307 -0.027340687863187663 -0.7459551077260087,0.40978058189035865 -0.03619627723494666 -0.6978323032400038,0.05548326676783311
0,-0.12293219968035807 -0.11693720049710565 0.24255625207745668,-0.2766192549079859 -0.262421595037914 0.5265591582904388,0.3541794329670561
1,0.14999412946539814 -0.13693509358543055 0.8678796642881794,0.39578240027290457 -0.3029349486949995 2.330841284127233,1.4927238616318321
0,0.023453615843450404 -0.1985651313132002 -0.6578435297997247,-0.25418111195994175 2.267621202086347 7.450353139872706,8.479505251323113
1,0.3688174446532191 -0.14530731078885384 -0.7918694212485715,-0.43702360477817337 0.10125922288587517 1.143480756701403,2.1108659748473033
0,0.04130343426864025 0.7318673458210145 0.01280303979302544,0.7553367417101144 10.170801838006495 0.1795153922945257,9.467371383883766
1,0.06970272471199612 0.8763278366316987 -0.5836232757243858,-0.30298029672475596 34.571910621171995 -30.536494690257364,45.0855375680475
