,original position,computed position,offset
0,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4826681027868016 2.9198916292584856 4.682163622037225,6.112565424518474
1,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.685721447199201 -2.56747543710386 18.51835820137133,21.195599380838022
0,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.16389570264838219 -0.32683628743077037 -0.017493231472979886,0.45150055815557266
1,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.08717975541338531 -0.03060139403187408 -0.051212543296413934,0.9947382809102385
0,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,34.26921139969655 -2.45816542331552 -3.145303048297174,33.89033320016604
1,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.3323055222151925 -1.6521008437913691 5.5660436975512475,4.937404326368963
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-1.1624933971871103 -0.548597002222695 0.5909665290412722,0.4024456202854004
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.962621068201536 0.23801407934788937 0.9629441744276392,0.09064827816804549
0,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.8185429827071351 -0.6898975159484748 -2.0417716214668555,3.2825836147039418
1,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.1228890301012945 -6.100891484002346 -0.6900631340265738,6.714412022000326
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.32391050235401 0.2898113484972724 -0.2747773798483802,0.7371578500131512
1,0.9117377916955973 0.452352634825238 0.25237684863553644,9.799725086600287 4.785880542424407 1.8612804979900675,10.018201097663908
2,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.8214717662379867 -1.8836316899333818 -0.667226724743544,3.461732737592314
3,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-6.538641951836981 10.504284465044885 8.626118421091283,13.714623576317083
4,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.517092038608637 0.3424426791238661 1.268651646643845,1.8292274258966064
5,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.24635282617657728 -1.6652347760891688 0.873902836643409,2.5839572834359363
6,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.661082315000967 -2.141420029479625 1.4448085297674602,5.2558181164289115
7,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.212465686380626 0.8796629825722613 -3.1430070398928125,3.09580264241378
8,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.5984772600349202 0.9511293792340424 0.09403492374138162,1.9550222821008991
9,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.035196771791143014 -1.101098043222339 -0.020106811195073408,2.0316537695217702
