,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,9.163551648350095 -2.201741257249231 15.880437522109618,18.128129864299925
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-12.1957069274474 -17.799127936537456 -9.455108673515687,24.665573434827213
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.8282192769950658 -0.25643071718274146 0.22526525952484036,0.09947471127737813
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6891797840481841 -1.1347488675979431 0.9661656625241782,1.3312775423215442
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.144038036776559 2.635981975517045 4.226903077648139,5.47810984698568
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.8545676405648475 0.6855965845258503 -0.07574843858326392,0.13505777535654923
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.7827251035541648 -1.030707396241935 -0.9894620290586165,0.8104961362460322
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,1.727740654754836 -0.5673337828557353 1.627352655886053,1.615194810010811
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,1.5728245395692586 1.054851646252773 0.33661851060912734,3.0792473962358056
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.1726738590409713 0.10180644363981417 -0.5727871771320442,2.740854545758636
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.8165401043587109 0.23492926510274323 -0.6772198853967591,2.361047927183622
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,4.89632519303742 -4.577105556878385 -0.14192826081767176,7.49525889603956
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.4181552147162748 -0.3537839551870322 -0.21856179539535092,0.6282472541665215
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,3.6431686710769973 -5.239589174681512 -2.84018396504529,8.28339185416776
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.5202723241376386 -2.9268298959325247 -1.5325705481208884,4.874863428213047
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,3.4856731086233506 -1.0025045494248441 3.6296026830117083,4.253360405154252
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.9062881406003649 -1.9590343790765017 0.9992357300528872,1.8796227541000596
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,1.1665383778103997 2.592021183747717 -2.299494154153032,2.7737571680076223
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.039879695996772 -5.766827365199903 6.156004536779674,10.04372173700494
