,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,4.905761936753795 0.37454911697240645 1.852863579156165,5.019043774807291
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,5.639740158153993 1.1387999531550712 1.7751103127246064,5.243490279129471
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,7.845545873044149 -0.04628902497515541 1.8744379961215958,7.145384917573707
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,6.133529930906304 0.24619626932763872 2.040577083275345,5.753186546241751
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,6.73345415803306 0.05256960981304676 1.0406450561581129,6.980500414891401
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,7.236067937603972 1.1013218249965235 1.3377110623259845,6.427742446003465
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,5.4515622171197125 1.809755786206563 2.346458995095082,6.902816654064444
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,7.255600396627339 0.011389580594622029 2.456389484831635,6.925280336739041
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,7.475864603984583 1.3427030282069863 1.7444897728117417,8.8402608261144
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,7.7924490255047445 0.4720180543485542 1.1396262149354486,8.340250685064058
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,6.747274403690687 0.7528884183442534 0.1730812794574107,7.8098044564731035
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,7.096608854327075 -0.4374893827431983 1.4679445459741889,7.912733655225753
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,7.007726468802281 -0.3838816472709508 0.9308936952286664,6.27061653114204
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,6.819820998599194 -0.3175206333384287 1.0795884606505055,7.647898385041063
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,6.663112882466861 1.360950196443592 2.0839634154618256,6.337877228390931
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,7.003293715993001 0.00461046929613973 2.665511587206017,6.71936114832326
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,6.9922534601190165 -0.5015191967699878 1.885817444744554,6.5006270067754555
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,6.610172460632377 0.7016363568525867 1.2267969651861206,6.5674980671117185
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,6.605709952834463 -0.329424062880022 2.1638023659795786,7.6200539874310325
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,6.629284979328981 1.1139781654949734 2.519729506839232,7.92169590118541
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,-0.20084405002710892 0.7223775011577751 0.4071298439290232,1.5486179047123794
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-0.14752686097470857 0.16983486750685026 1.2017628506656952,1.7613459772110567
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,-0.8695293333676819 0.1156084018240311 0.4720852689722009,1.676235480242925
