,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,9.742173334581377 -2.3407676181847226 16.883189063187913,19.29416548792394
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-13.01221143394469 -18.990782365293597 -10.08812969372177,26.24269433172352
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.6531385205482109 -0.20222274933217962 0.1776454888502185,0.25296962875499945
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.6191654765397985 -1.0877150012735468 0.9261193510309774,1.238059352295017
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.137636624665587 2.6306149898937807 4.218296900421064,5.466116199466515
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.5913328091007394 0.4744103743146347 -0.05241543775613777,0.415840952970817
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.8350917513764873 -1.0996648002932146 -1.0556599948246237,0.9194870276974304
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,1.678501254788907 -0.5511651669402982 1.5809742436583452,1.5456694947220573
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,1.5586852808878575 1.0453688209778356 0.33359240306902377,3.0619748023539732
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.0905059521782854 0.09795624663753147 -0.5511250564106667,2.6558114199077907
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.7457444801501767 0.2145604382943365 -0.6185035966839721,2.2668548653136
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.028522210743086 -4.700683889707211 -0.1457602147971436,7.676237507565523
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.17424422765142444 -0.1474208854930999 -0.09107415115846755,0.9679945415795943
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,2.1928282422995347 -3.1537159428009636 -1.709510641470368,5.502689264068105
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.6595538805974304 -3.1949748966183518 -1.672978820992524,5.208006941315827
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,3.6373068398080246 -1.0461154964705746 3.7874976376996234,4.476575059284211
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.9437574920384935 -1.9975404926411986 1.0188763677620924,1.9368277758051442
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,1.0438911498254073 2.319501891530563 -2.057730497560841,2.3894166778547916
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.0980600516643473 -5.8771988603688365 6.273824506403048,10.215298418265913
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.1255943139540272 0.17299196835057395 0.2348449702743984,1.3286772464250434
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.9969791987824377 -0.799277167147244 1.099434158152745,0.7140100611222133
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-6.215605806817394 2.1282353133189185 4.774893548731137,8.802038918064177
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,-0.21115260139662861 0.6927080669427731 -0.6712330747925439,2.4066388559790672
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.24033976953155925 0.45007018222588513 0.4525296375872092,0.5555780698372479
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.36354966139853456 0.42432373169162774 0.6411640998134975,0.1314869029402108
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7440961116854413 0.6061531631814145 -0.02309394222248286,0.33540685619936517
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,1.1098427878485697 0.9139612668433095 1.0663943812203662,1.7079820216047383
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-4.651606401270637 -2.853638388653541 3.039494870644932,7.624646402667709
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.0025367669051613918 -0.0008904430078262871 -0.0014901886836853535,1.0972038168328837
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-0.4728883678150255 -0.25637219695147495 -0.18100867057692396,1.669457249526267
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.4666492400197636 -0.5540004222236448 0.4889530424109363,2.2262315802223434
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.13544124611932218 0.12212123129502046 -0.3898369677446888,0.29725741230301844
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.19107463930326882 0.15585005268905508 0.04171986029718068,0.8978629082351159
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.28749934534544463 -0.054759987963144775 0.2881453456915947,0.6637936492554347
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,-2.934119919064715 1.9506345958533884 -1.4368024055509008,4.818347195486144
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.46541644973028395 -0.08625104021524753 0.15560381323396383,1.2814585117121091
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.1583931094843207 0.13799697452609452 -0.14154967249359762,1.2838886484659116
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5002784365617667 -1.3993790459710467 -0.5395966224568032,2.097075779851814
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.520386193668114 -2.786928781927541 -0.5483054393655105,4.198160961994667
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.12610343965150964 -0.251471999460362 -0.013459514945888571,0.5314681259603218
