,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,9.434832804539974 -2.266922415911121 16.35056784025703,18.674814318466897
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-12.546209255039628 -18.310671531999535 -9.726846721783001,25.34258629491856
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,0.8168065450146941 -0.25289714204384905 0.22216113951356317,0.1060024012057464
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.7164052005731503 -1.153038223688595 0.9817378726836564,1.3675314865579853
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.228839582020036 2.707080143587232 4.3409118486573055,5.636993538001742
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.8623962734288088 0.6918772856643711 -0.07644236459629986,0.1309384753606566
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.8026967177815157 -1.057006400075529 -1.014708637155431,0.8520630528445194
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,1.7476168491248716 -0.5738604779993003 1.6460739712686412,1.6432602465241573
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,1.6101987963783786 1.079917567676768 0.34461741089692066,3.1249050009065544
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.1995689738840336 0.10306668616635019 -0.5798776002277589,2.7686910334882575
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.8313740941879972 0.239197197945886 -0.6895228608887661,2.3807845584906002
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.024918097236263 -4.697314749115172 -0.14565574347596993,7.6713034360954095
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.42574116237969245 -0.3602021139801174 -0.22252682628039366,0.6177560317367794
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,3.736815732334611 -5.374271966697583 -2.913190434350172,8.462941005232612
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.567424832296396 -3.0176079548079544 -1.580104495905627,4.987645448795815
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,3.547249252771353 -1.020214289472382 3.6937214144716917,4.344004449224257
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.9566447858441238 -2.0107843727665498 1.0256316132887313,1.9565030024128014
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,1.1901351724494509 2.6444527134225218 -2.346008432946924,2.8477042690497605
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.1199879863580535 -5.918797419029071 6.318230364185652,10.279965205229601
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.2174778640938791 0.2995511707325379 0.40665521328586396,1.5606369062005485
