,original position,computed position,offset
0,0.15480697464233661 -0.06429261157976174 0.2950942449151539,10.194813431454095 -2.4495241805105756 17.667614475324168,20.206323724176457
1,0.5406060457127135 0.7717485293729109 0.6096512345230409,-13.528088238391192 -19.743683143941386 -10.48807955125812,27.239139564158048
2,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.6668733577186694 -0.5160922263526957 0.45336865483725625,0.8633218107273303
3,0.6895758732266046 -0.5149006069561688 0.34256318502808836,1.5347425688860437 -1.031001796578521 0.8778317055856654,1.1256907081793823
4,-0.20644321961593937 0.19178134687800852 0.301841616627041,-3.4330758636652026 2.878313172852757 4.615490895524836,6.019649622108834
5,0.9734054699761485 0.6374436832835502 -0.033328265469285245,0.7143630825028364 0.5731142465815589 -0.06332077826554564,0.268590367954815
6,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.8261140695996065 -1.0878428171135257 -1.044311086776499,0.9008017034778034
7,0.6097576957809678 -0.20107372096070164 0.5206359148946913,2.2075047592439088 -0.7248726956139134 2.079240725713218,2.2926861976639676
8,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,2.0207497387691262 1.3552631809707407 0.43248420295154794,3.62652905204831
9,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,2.2810861643545395 0.10688639211198842 -0.6013681710389468,2.8530621854147302
10,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,0.695860924821276 0.2002082871488217 -0.5771313046891379,2.2004857533564564
11,-0.5985796118909299 0.520310772042323 -0.10623690208716252,5.107554661808242 -4.77456376015749 -0.1480511039610794,7.784434024943684
12,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,0.12443527969446891 -0.10527958008364009 -0.06503995928640784,1.0377182182084916
13,-0.6916551725050779 0.9895067955163301 0.4797928795833164,2.1268864110935763 -3.058878690908569 -1.6581029388559516,5.376262664311583
14,0.5155266537655077 0.9574464194595751 0.5963290434478494,-1.7034620463561527 -3.2795069440533977 -1.7172421813098928,5.313030817516359
15,0.6085875274862944 -0.17020497734407258 0.6095479289945955,3.609328115389005 -1.0380686149521154 3.7583636225312795,4.435388555834977
16,0.6779936604515768 -0.6919112725626699 0.3521859632609903,2.005724079970826 -2.0612216715396174 1.0513579362158254,2.0314331107444135
17,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.9277096073233793 2.061349202297146 -1.8287120761477762,2.025356496112765
18,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,3.110025747136205 -5.899898475811391 6.29805601652086,10.250585951259595
19,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,0.09307350677492388 0.12819823311569806 0.17403530656564511,1.2466119051532951
0,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.8861194050504988 -0.7104009879924488 0.977181814128405,0.5478390226039216
1,0.524791672853085 -0.20519735085596813 -0.3824335625669195,-6.72897768832176 2.3040148271813012 5.1692712105845535,9.472842318320426
2,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.009867299175423033 -0.032370701059534955 0.031367160629842995,1.3731965235451713
3,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.39383552183843096 0.7375126697771659 0.7415428845333568,0.15306456079200742
4,0.3476189086939534 0.35288727366640305 0.531931095515876,0.37568592677690255 0.43848879897387655 0.6625678817245715,0.15868632124405377
5,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7882029347641595 0.6420833204651152 -0.024462851974598045,0.3923094990990903
6,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.7717666626285784 0.635553831953801 0.7415533457992821,1.162704236119026
7,0.998456615445664 0.694735214478744 -0.6511778926114262,-3.8657511655361922 -2.3715368359504545 2.525994210436055,6.569396029787736
8,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-0.1082533540222997 -0.037998541358602325 -0.06359193775620356,0.9692306523948792
9,0.942619589081253 0.47040988797254535 0.32417697153162406,-1.0742100287521525 -0.5823733544789164 -0.411178075965877,2.39096242313356
10,0.7705240696160125 0.8363299479903863 -0.732722328694108,-0.29684515014803015 -0.3524110282705807 0.31103305618511967,1.9083520281661774
11,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.16980360659308824 0.1531042138907557 -0.4887412439194771,0.1935425372852174
12,-0.8142563129777287 0.798089848543561 0.1147297788115973,-0.3544051981133178 0.2890706427636872 0.07738198751962422,0.6869923268925235
13,-0.6964096463558862 -0.2700735365539737 0.7646476545135164,-0.39075725249156845 -0.0744275171035232 0.39163526951824,0.5204219347430106
14,0.7003768591676831 -0.6374539021148913 0.3821810446079523,-1.1226809037943513 0.7463703841195692 -0.5497630184631198,2.471240376604807
15,-0.7320375467837934 0.08210532600300158 -0.268537645981785,0.46935678977402406 -0.0869812645718884 0.15692119670117854,1.2856725297845348
16,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-0.20414652139416856 0.1778587616856566 -0.1824376915014242,1.211011096106857
17,0.0819896682451775 0.47723447282386866 0.1932146640568464,-0.5097300875713546 -1.4258172080144658 -0.549791103347215,2.126921611099216
18,-0.6162954966159528 0.7727801919585868 0.07428498656102334,1.5290908638723815 -2.8028847910195016 -0.5514446536261766,4.2165863312487595
19,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.15160786760682307 -0.30233222588035275 -0.016181702621336086,0.4773336978283956
0,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,0.2620719628674243 1.065322709391102 0.9029389666916938,2.5033163793261792
1,0.25609313514118703 0.7978578490565134 -0.16422872881286077,-0.2809336703939262 -0.9037320050911359 0.2673082515480985,1.8357641425358875
2,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,33.13492482341881 -2.3768018923776126 -3.0411957496378146,32.74837687984094
3,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-1.2938589958541242 -1.604425939212156 5.405423597899514,4.765538492556929
4,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.1608976857298305 0.3639988122439485 -0.2977594776378331,0.8183558317691988
5,0.0671163560574306 0.4990436852714737 -0.8009967823673965,-0.014131279556069421 -1.1807513533258946 1.7451143067720565,3.0513921786994227
6,-0.6612428092374805 0.39467150813450713 -0.88674268530274,3.796256165496861 -1.4579474720547834 4.568685877534916,7.284448846669201
7,0.9677163376000693 0.4348643927055915 -0.5584491719387301,4.620057325294067 2.0323218511175183 -2.5367317488019503,4.4502884148947075
8,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,1.2970057541815534 -3.0205258148769216 -1.2130384921842827,2.449509723652819
9,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,1.0776686934162827 -1.3354450471069366 1.0045688408655113,2.9497289469752266
10,-0.5152301896980707 0.7010663648362798 0.6557070663883529,0.5938168924224854 -0.7809676259682371 -0.7618895880447321,2.331521060363804
11,0.9357128184894121 -0.77672857139621 0.6911347922515148,-6.55051905188336 4.968008362895347 -4.53709418373126,10.787958485575686
12,0.5113308204450631 -0.30465526504531293 0.16056298491899157,1.0830861874520643 -0.6146677099321203 0.2624364262251004,0.6583237149985983
13,-0.8995145382342526 0.5016270419701312 0.2611113540046264,1.4838387103739545 -0.8258157668681022 -0.4234892970034377,2.812677580126862
14,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.1488845861016076 0.06091795876240697 0.1320615975525002,0.20198632622108675
15,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.9789206949924599 -1.5963161273742381 1.7335226633883978,1.4858970796696234
16,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.266555568859687 -1.9807818428757278 0.5975248913852128,1.1546829652276867
17,0.19847473117104486 0.8859207844181478 0.29582148960177035,-1.1513423936377605 -3.5152960041159176 -0.9200335888911522,4.761409356692433
18,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.622036607361796 -1.608033298488806 -1.3659663985795463,1.4869059887331837
19,0.2873539117652848 0.17775149387141687 0.73788310182956,0.5314562452035654 0.3236551512018296 1.1083313185834085,0.46701788799628474
0,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-1.1190288794497842 -0.5280854843151964 0.5688708549962984,0.36620188959939476
1,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.9646650296668725 0.238519461603135 0.9649888219538747,0.09202139997794476
2,0.5124444899939069 0.01831326764003749 0.16720806707546454,2.977335024969351 0.0058166132045472845 0.7827312146500522,2.54061218232609
3,0.9934538129293278 0.9010660246133175 -0.7785387784895517,51.01089327338303 44.55230212201546 -37.13782385083541,75.69129589314353
4,0.7030706459983662 -0.8745611643449909 0.4491601051209686,0.931540576739472 -1.1986179383754292 0.6656284766958867,0.45174091904559305
5,0.23906275587545278 0.5912753088472846 -0.9346377744488021,-0.882295645039112 -2.044627694623386 3.380593432711543,5.179444919898067
6,0.4736327499889956 0.17114022100613857 0.5353547003270378,-1.3439048473191264 -0.43860400186702053 -1.5135517976645267,2.8059309992349832
7,0.8289382726191252 0.4408678701078228 0.9019293641763275,0.8418918221920556 0.4786919023650336 0.9306814589133514,0.04924565782380906
8,0.06374102306523044 -0.1404857519151288 0.7630650185871208,-0.0077112075778385915 -0.06655921246378046 0.40510311609678396,0.3724342601501956
9,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-1.244279794234393 -1.1205076425618177 1.805643617441762,1.318433225637612
10,-0.48557222210726536 0.04656211699465551 0.054762287781279895,8.954475137376768 -0.5895870019121807 -0.9250091851473702,9.512051933728715
11,0.22810105003051162 0.022032056398898936 -0.07375328130959202,-0.4787639896076421 -0.049606228259718686 0.15647135224176723,0.7468558160617988
12,0.34758265417485346 0.7503757077579636 0.5648865553917617,2.749980114768113 4.964751505766001 4.334755593129637,6.143646269699739
13,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.44612183211804335 -1.3194390244055088 -1.0807073215401881,0.7450405167810324
14,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.4801733633681403 0.043536423913010124 0.6200198278392813,0.09086291456608309
15,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.3812091951688234 -0.17248756845415975 -0.8994310505677134,0.28554348052445616
16,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.5465756900811117 1.4265661575722248 0.8071946643234152,0.9144916767154879
17,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.4830981106271982 -0.552845370208925 0.33874667918016177,0.25809313198288086
18,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,0.31830699173586785 0.10030002247720556 -0.4399176334233329,1.6793561361677718
19,-0.16505866551666415 0.9560747624766694 -0.4773627540172809,0.020859597467781064 -0.16798010136610356 0.08224949151901284,1.269342665632067
0,0.9483010693778013 0.26109847508276895 -0.6262314443789425,2.3342502870481887 0.6398133315699015 -1.6708329765911005,1.7763649787093914
1,-0.8142038040976471 0.4796144734679235 0.8850483594868985,1.5502831453741346 -0.9012501310314719 -1.6461836005647053,3.728903434760456
2,-0.34061654539923025 0.9243184679200338 -0.07576408272836321,1.0252624311219225 -3.53142525344148 -0.13517469215787534,4.660773230856422
3,0.3270684165198672 0.40530285290193957 0.8328528516693943,-0.765198460634225 -0.6449368308713825 -1.9087091755963133,3.1324451589206626
4,-0.5371983825908551 -0.5084894249566885 0.8850901332898229,1.7030728126553918 1.5386108461619876 -1.9514515534509689,4.153962360070502
5,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.01430311948701283 0.02258677665976923 -0.005977850421294182,1.0244780316708084
6,-0.9193286493554131 -0.08871173520593345 -0.06441734041046643,2.1521618040573207 0.3925003677532495 0.07568720299067493,3.112113104712231
7,0.015134342796090383 0.8998724666561146 0.13880872595899318,0.00031244590028691707 0.05933350001297639 0.008315687091535375,0.8507372545421813
8,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.6980119346982254 -0.33399458037602453 1.0978782716573843,0.2594094783184582
9,0.9421973623915547 -0.15721170493156178 0.11124711861779102,0.42412163692149263 -0.1049733595618775 0.044375859553846694,0.5249791113340517
10,-0.630533864971611 -0.9367623120990243 0.4049114758181418,2.5274252113422464 3.602364922370524 -1.5616455930152517,5.868877940744281
11,0.20474108500020494 0.9078198758589864 -0.05414619750365035,-8.445644525217872 -41.21272524694312 3.8758916715513676,43.178868562060345
12,-0.2332627846886135 0.3114746225806879 -0.47518458949006215,-7.341377539999012 11.93805380871312 -11.983695659759142,17.83671679431434
13,0.8211101854347589 -0.15180026960360804 0.6223159317136948,-3.4157543586829844 0.3935937579839943 -3.1471119822722224,5.697110022569908
14,-0.6973159141067042 -0.645555975911358 0.6847685426688206,0.82811647122607 0.7577241120408985 -0.860203314793491,2.5851647931642336
15,0.15689808217903778 -0.2566508667600682 0.1369822154602569,11.521044676211005 -16.313518747487326 4.255820397401441,20.09805119703887
16,0.13422131737747933 -0.9994571215606669 -0.6641065472262091,0.3232412370511872 -2.0064400335716472 -1.290211579723602,1.2007292062884662
17,-0.009049349963646591 0.5685446704304429 0.07449062274473639,0.1147161707472108 -5.695145519597073 -0.6441697867099856,6.3059975804690405
18,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-22.61949565539355 -8.59413405483595 -23.3072285006713,32.381764707270456
19,-0.6525950205732476 -0.11762935205216074 0.6283454126083559,-0.7749410360964195 -0.0009717156805032679 0.9303653771355648,0.3461121358912955
0,-0.8107376686295642 0.671762821003419 -0.6754194628383123,-0.2840757268386655 0.25417011449810206 -0.24098503547113015,0.800306029678177
1,0.7659197142382532 -0.3569274698310385 -0.10475945604225356,3.676498769415402 -1.8121734278543034 -0.6419145246899467,3.298142932401939
2,0.18650401714811826 0.06282834181048846 0.9184887521438521,1.4591480221488962 0.37012420833410586 6.15183644719536,5.394625252077094
3,0.7565679236632612 0.47846682879542723 -0.31091276057912975,60.58457961210536 39.86351682751954 -33.55985538095166,78.96876174391484
4,0.7025500335578911 0.683516623141857 0.5779574039742612,7.718414981340576 5.731100002491668 4.259540464115622,9.394387301241844
5,-0.2963612832851945 -0.7948360902941967 0.8689590504113123,-2.278741398205999 -3.762210388588339 3.619694944024268,4.505739573324311
6,0.36349278975418287 0.06014106029853972 -0.7519835541293949,10.846741904301714 5.344667534792657 -31.08670617823013,32.527221349792846
7,0.9117377916955973 0.452352634825238 0.25237684863553644,9.522536744631397 4.650510388599407 1.808633586916781,9.705272905431368
8,-0.6156005159016897 0.9493241411207936 0.7704699312145622,-6.265765104697381 10.065909639294766 8.266125013417549,13.08515709257448
9,0.8966228869889903 0.14305998979952528 0.44378847768839913,2.4158600493109805 0.32867037636481006 1.2176292255541128,1.7150400211185903
10,0.09208729051827058 0.6064053857407274 -0.31013453827118576,-0.21047853687783596 -1.4227406466939228 0.7466437194361835,2.3077608166394104
11,0.6369045426729651 0.3732187358582364 -0.23671605349161062,-3.5273098004850243 -2.0631745497742013 1.3920165809961516,5.092098126772794
12,0.500458164122882 0.24149497082571103 -0.6438540167082591,2.1241848024303027 0.8445630367706626 -3.017596082583127,2.9385082411685675
13,-0.39282451393392614 -0.724934693778452 -0.07986774902126847,0.5571101659830678 0.885386766918315 0.0875351754730155,1.8771081061086519
14,0.050661035915421815 0.9285859124194322 0.004963415732754051,-0.036441449990793386 -1.1400366350400524 -0.020817856790604175,2.070616034160301
15,-0.5261735358717943 0.4556420493570563 -0.253302322421461,-0.5750999676894807 0.4890472392272049 -0.23310722549694757,0.06259028982567412
16,0.6862068645642059 0.9089283855774439 0.4322858466503787,-2.271286500942817 -3.173241440604988 -1.2333380002350176,5.308971679725337
17,-0.29908986822954486 -0.9177604880502734 -0.09123759805341058,0.8182503804217052 1.6034190699679571 0.11032672585341864,2.765035944015386
18,0.9312964395868493 -0.9012707228228227 -0.18194788599919343,2.996233019762869 -3.055113055848276 -0.8011358282890895,3.0473584599713175
19,-0.5482015901046664 -0.006120855135355541 0.8134207627933023,-0.025109227512503125 0.0013731103709392245 0.03701762256400023,0.9362070366533153
0,0.14967705006789034 0.5085237957945157 -0.8124208150407399,0.3937393964152563 1.0771210743197088 -1.937520145047847,1.2840240638061573
1,0.7246637725948597 0.9432992172246617 -0.974836759332363,1.7771175159428099 1.9193253098104037 -2.4854591915762096,2.0838104395778467
2,0.6937148058788281 -0.7706563256734238 -0.7202851529350485,0.30345116430696284 -0.3165483008974945 -0.2972773737018555,0.7331134901163852
3,0.9343466168068262 0.9204880988143875 0.6697140693550938,1.378252551752512 1.447630544576783 0.8132405622996429,0.7039399771154676
4,-0.3109493351489925 0.36761733944177943 -0.5485205411950496,-8.88624647029688 12.417332975390073 -16.524596278772822,21.770768563284886
