,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.0091686586970998 -0.31245571081966644 0.27448122269084957,0.17131417896336032
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.6564900918382212 -0.2155699735286583 0.6183456362942402,0.10927601674541144
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-0.908203000365484 -0.6091076315032609 -0.19437510899816887,0.1499026402176343
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.4610240143537946 -0.021602513022653036 0.12154085744298232,0.0592675438755837
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-0.9835625382798436 -0.2829838033272678 0.8157445126073124,0.0500779549059279
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,0.951703224858585 1.3889713452157144 0.737838115453686,0.7525933640029917
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.6618343939281104 0.6186855984339517 0.01918438844975152,0.1714913235067573
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.1387179200031188 -0.9634224694636444 -0.5951862473211318,0.41816878606060603
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.7472048213056109 1.0746266907881987 0.5825146578924005,0.14450925157904965
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.6232948202961114 -0.41871392150789594 0.35650796835613985,0.11764146130155871
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.0068212902312403 0.8077455839004095 -0.0892441242181769,0.1823346858298257
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.7452655805574444 -0.21434371834531024 0.7760389073936742,0.21988261535823359
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,0.990416838744513 -1.0178212807355047 0.5191554581081659,0.48135681980356115
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.3883925675031213 -0.09331970536059013 0.6730844261019242,0.4452879724842034
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.3290560022470137 0.27588269630100176 0.44238899540875476,0.20459838005642667
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.26718557492291395 0.5936801423472475 -0.5266793440285048,0.06241953622553925
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.4835789741191763 -0.6367860479093872 -0.6113040590743407,0.18793789838725114
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.3394933173249464 0.6440384319255237 -0.6875016812050092,0.19927934004730682
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.4179356046438346 -0.5756590455009686 -0.781485017587031,0.09475229048744978
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.6283737493011494 0.7334180787703459 1.108213628276336,0.7454720194093388
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.25062290682542265 0.7010424967787902 0.27032001411599377,0.2906414212537715
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.32811911593690046 -0.11234861270416643 -0.2520645450495022,0.2535686564794402
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-0.9561487339809049 0.17719361435148454 -0.31967153097505746,0.24876149421172125
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.20834190299480462 0.1715706329603675 0.200185681394663,0.2539651126833471
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.3109155309525087 -0.46015089759040545 -0.7700792238806754,0.4913084350121631
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.5126807772642676 1.2338182591787004 0.3302836573802507,0.850952087202654
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.4125653045202741 -0.8227263453114255 -0.044034713864200416,0.2048420947673397
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.7692318607354884 0.9132229072467625 -0.8059977952821984,0.10622377789692843
9,0.942619589081253 0.47040988797254535 0.32417697153162406,0.9988373277466512 0.5415107191042483 0.3823274775258354,0.10769049946793248
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.43951908987397864 0.3962944374108186 -1.265056208294391,0.6826768828997848
