,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.1560525634383019 -0.3579334557618582 0.31443180322019637,0.31854576376550325
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.7326356661621514 -0.24057370114832693 0.6900668765561937,0.2129931801944919
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-1.0790836732890998 -0.7237127604362203 -0.23094727338415058,0.22070771499853284
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.5459137057156961 -0.025580246516004587 0.14392052868561273,0.09389043460792929
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-1.087495420332125 -0.3128866525201178 0.9019440931259934,0.17660771174510567
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,1.25635655474556 1.8336002320206695 0.9740302738063035,1.331390218480561
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.7042312031154667 0.6583183154767877 0.020413331617320694,0.21505492896116676
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.413762819156927 -1.196126663629145 -0.7389469965782663,0.7972570457133488
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.8415731932235186 1.2103468686264698 0.6560834549828296,0.3198814120922285
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.7425015386385281 -0.49879402306164844 0.4246910232874608,0.09902287574698954
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.0779574365793327 0.8648161967548198 -0.09554959584724176,0.25787762127962727
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.8350911701124848 -0.2401782012062868 0.8695735535558462,0.3518713935645707
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.2591344234012918 -1.293974174620286 0.6600115050843591,0.8916057921495721
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.41324063175683834 -0.09928998962695743 0.7161461282747457,0.49527513573812026
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.352890492213655 0.29586568798647206 0.4744325259944916,0.24913445308021162
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.27838688717004306 0.6185691980205195 -0.5487595023165355,0.04415497697268095
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.5919771319327758 -0.7795268166545742 -0.7483328328921697,0.4135028577634326
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.3343285698630114 0.6342406076770652 -0.6770426459843513,0.2054552791761162
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.5059449864768256 -0.6968820190360551 -0.9460510716522057,0.28274205709813344
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.9159607848755086 1.0690806225108882 1.6154083869586484,1.4176982902658855
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.31325315932508074 0.8762318645121653 0.3378725413540127,0.4833297242511063
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.4235472308727221 -0.1450233817294343 -0.325373423465642,0.13087094049716788
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-1.0830312131520792 0.20070749277143576 -0.3620924587335312,0.3821197859072902
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.3909728793391428 0.3219681850569776 0.375666974009023,0.5485277991941735
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.3853647963571412 -0.48628369981298364 -0.8138134166395549,0.5811875570251223
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.7542132074450913 1.430824215108054 0.38302063640125517,1.1644104630046455
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.48123571942209786 -0.9596669917113709 -0.05136417671046148,0.32550553321584075
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.8102186705707466 0.9618819599291832 -0.8489435962157201,0.1756312958192973
9,0.942619589081253 0.47040988797254535 0.32417697153162406,1.2258628067041664 0.6645905509749817 0.4692265914183202,0.37278981000387046
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.5684803074656194 0.5125729207593963 -1.6362418807762993,1.0909264492094206
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.7248269148288504 0.5904561524819077 -0.022495898889247606,0.3105478322276945
12,0.7003768591676831 -0.6374539021148913 0.3821810446079523,0.7483599059243341 -0.4975177439615057 0.36646263367199927,0.14876682955932005
13,0.2900307141974827 -0.9815983211399621 0.9832831645063247,0.3556225059355276 -1.1666566124147097 1.1304885023706146,0.24539410304381015
14,0.3382827647373927 0.8096016725137083 0.8646112664735366,0.7396543701850539 1.3851073329320391 1.3926763961371225,0.8781564279784051
15,-0.9257509859713877 0.9271954091605084 -0.8023808020747298,-1.3297479354400807 1.1585175174000653 -1.1883432642580576,0.6047234699885722
16,-0.6162954966159528 0.7727801919585868 0.07428498656102334,9.522129439604804 -17.454444608214516 -3.4340191905330286,21.150120148652675
17,0.39391267464598334 -0.6680971421232025 0.7403896819601512,0.7309676878248458 -0.5860160207096844 0.8060858696771482,0.35307135466085426
0,0.32368319093629006 -0.9267222914692268 -0.3952806554667727,0.6141478667980087 -1.4302554015926976 -0.5743883555774629,0.6082720519249669
1,0.6058706699069223 -0.038918303685070654 -0.06611180666850491,-47.21298432794297 3.3866354335633915 4.333310790081406,48.142831562933274
2,-0.5475482054778129 0.6556016888478158 -0.4429475795652087,-1.641742373087056 2.0344441052792015 -1.5303805731830673,2.069052392132477
3,-0.5152301896980707 0.7010663648362798 0.6557070663883529,-0.5737166553458639 0.7545324830286537 0.7361002217580401,0.11288202642062231
4,0.9357128184894121 -0.77672857139621 0.6911347922515148,2.1025548637941283 -1.594608009539685 1.456295198584832,1.6173798506995651
5,0.25609313514118703 0.7978578490565134 -0.16422872881286077,0.2898047667582482 0.9322693238591002 -0.2757490954495668,0.17787554874033756
6,0.5113308204450631 -0.30465526504531293 0.16056298491899157,1.8817626682811832 -1.0679286314869951 0.45595916131963343,1.5962232245255863
7,-0.12260384693415238 -0.7991913819741998 -0.7225469973991854,-0.26462203738604273 -1.0756887640640245 -0.9117249567138046,0.3638794704461899
8,-0.4344847095319777 0.8811092180147848 -0.8699947754317228,-0.4638145970444591 1.0492876989484734 -0.8583416940418761,0.1711141082919122
9,-0.8995145382342526 0.5016270419701312 0.2611113540046264,-1.365825432903606 0.7601366438249838 0.38980817009686536,0.5484851276112842
10,-0.29627595380890814 0.12556689262733722 0.2541057537247253,-0.3560941232359829 0.14570028827578457 0.3158578065395382,0.08829996059334669
11,0.0671163560574306 0.4990436852714737 -0.8009967823673965,0.007694496768240417 0.6429203693984984 -0.9502165986023854,0.21563397495287198
12,0.3518215619589069 -0.6388701133112387 0.7859289008117565,0.7199116981537832 -1.1739527623911457 1.2748563298047582,0.8129291608326277
13,0.17689420517578291 -0.8858557416733306 0.2420105837194544,0.14452372965620236 -1.0739598530705488 0.32397194414221986,0.20772257704027092
14,0.19847473117104486 0.8859207844181478 0.29582148960177035,0.3539404144559638 1.0806562248620175 0.28283251929659725,0.2495199066080767
15,0.8351815693278382 -0.6902839487677155 -0.5002385547754435,1.1388997177289917 -1.129067409105169 -0.9591021181080734,0.7037978463225453
16,-0.3215289170253304 -0.29567001252190317 0.9274676729043045,-0.27681288863094716 -0.3432567074548595 1.1564559393279903,0.23811686813355837
17,0.2873539117652848 0.17775149387141687 0.73788310182956,0.41956972102408696 0.2555166163222826 0.8749963262962129,0.20573884128039815
18,0.9677163376000693 0.4348643927055915 -0.5584491719387301,1.737262682537378 0.7642062992426226 -0.9538776453430489,0.9257598749063863
19,-0.6612428092374805 0.39467150813450713 -0.88674268530274,-0.8442169509042878 0.32422047295525724 -1.0159909903411903,0.2348361327220432
0,0.9934538129293278 0.9010660246133175 -0.7785387784895517,0.8916596177529312 0.7787648114144619 -0.6491613005391194,0.20508090287088376
1,0.7030706459983662 -0.8745611643449909 0.4491601051209686,1.0112386912858666 -1.3011659026137323 0.7225764357066808,0.5930561834098147
2,0.4736327499889956 0.17114022100613857 0.5353547003270378,0.21328656266449952 0.06960934780146405 0.24021065254918567,0.40644638564858754
3,0.5124444899939069 0.01831326764003749 0.16720806707546454,0.6877915716971332 0.00134369075174906 0.1808180563576675,0.1766912488208376
4,0.06374102306523044 -0.1404857519151288 0.7630650185871208,0.08008371890091076 0.6912418330605288 -4.207144438520122,5.039347170699286
5,-0.5810721896754905 -0.5169512858787069 0.8391336236869897,-0.6786349868349487 -0.6111291791299105 0.9848049757210535,0.19901788304131074
6,-0.9098280004350328 0.307786756484691 0.9392423631931284,-0.8979355487228148 0.2220201801133419 0.8982369430886932,0.09580595236273742
7,0.22810105003051162 0.022032056398898936 -0.07375328130959202,0.07096336994019138 0.007352735802491944 -0.023192501305861108,0.16572303832577295
8,0.34758265417485346 0.7503757077579636 0.5648865553917617,0.2782468118088276 0.5023404607487325 0.4385965983104972,0.28684158703912566
9,-0.2336591108178092 -0.7699083016314168 -0.6246799666255614,-0.24759386137863218 -0.7322775515271682 -0.5997834660768044,0.04722379025634232
10,-0.9069952726800903 -0.24984433035449993 0.6771641317452366,-0.6252763386170703 -0.29507670818270937 0.3178662248046206,0.45880988627699126
11,-0.48075887971537856 0.060631861166586365 0.7092581180467896,-0.23337300063015157 0.02115949500825557 0.30134092957194525,0.4787006094774996
12,-0.35515071517162333 -0.14021877942376237 -0.6169159887661031,-0.22717264469881557 -0.10278990538527305 -0.5359947584454593,0.15597292281142497
13,0.23051414803814652 0.6481242136235081 0.44604612379657005,0.35733944594721556 0.9326583117486574 0.5277265333152173,0.3220496832551619
14,0.8289382726191252 0.4408678701078228 0.9019293641763275,0.715818971126946 0.40700804545832814 0.7913124071352535,0.1617979458472816
15,0.3486618433966737 -0.37530556040317253 0.20829143488544966,0.37737543083257497 -0.43185898511489984 0.2646143116410702,0.08482350143735505
16,-0.5560113514484639 -0.27052925614452317 0.9451058728655102,-0.19798114833742186 -0.062384786209107826 0.2736207513509612,0.788924594064501
0,-0.7489221763563643 -0.3399508697829996 -0.899079063409626,-0.8816741419349843 -0.3349865038509357 -0.9084809406133705,0.13317704227474358
1,0.4833497251469756 0.9091897466229382 -0.21451008473400113,0.5200871686251546 0.8212958531188568 -0.21736540080636638,0.09530545156753785
2,-0.6596920086169953 -0.15710486182790317 0.9120426233588135,-0.8062826176981653 -0.38580146151656636 1.2681733975917706,0.44790631803504466
3,0.15689808217903778 -0.2566508667600682 0.1369822154602569,0.3565029298078992 -0.5047994684860477 0.13169052660151714,0.31850875295111986
4,0.015134342796090383 0.8998724666561146 0.13880872595899318,-0.0004316306558185064 -0.08196669407116713 -0.01148776626483125,0.9933979427409465
5,-0.6525950205732476 -0.11762935205216074 0.6283454126083559,-0.5314772846414182 -0.0006664311054152368 0.6380718549312665,0.16865477910189175
6,-0.6973159141067042 -0.645555975911358 0.6847685426688206,-0.6535178343874717 -0.5979668778124749 0.6788395436507391,0.06494726379389498
7,-0.009049349963646591 0.5685446704304429 0.07449062274473639,-0.006834175774294541 0.3392863036448483 0.03837618987968968,0.23209601030403637
8,-0.8142038040976471 0.4796144734679235 0.8850483594868985,-0.7264407337509158 0.4223130519306585 0.7713783293401868,0.1546178682443624
