,original position,computed position,offset
0,0.9058525525137509 -0.21321900469783395 0.18053226700165492,1.121485551586457 -0.34723092336947853 0.3050300093811833,0.2827657555163719
1,0.6097576957809678 -0.20107372096070164 0.5206359148946913,0.7231128694618226 -0.23744672473523198 0.6810973888850583,0.19980058918571786
2,-0.8766994475094336 -0.6940076762598943 -0.3138335122270133,-1.0222694061118718 -0.6856089403629676 -0.21878778990878142,0.17405413222091662
3,-0.4688448910765368 -0.07859095820003725 0.1358164576263785,-0.5137230100377101 -0.024071865388469015 0.1354340190189253,0.07061531917210377
4,-0.9743576317490601 -0.24482120083585346 0.7846529215511766,-1.0807896576683869 -0.310957316917205 0.8963824853147013,0.1678846550772458
5,0.5406060457127135 0.7717485293729109 0.6096512345230409,1.077916175858962 1.5731739072703796 0.8356887095039521,0.9909983614474976
6,-0.5985796118909299 0.520310772042323 -0.10623690208716252,-0.7034234111094831 0.6575631880835648 0.020389916400807975,0.2141606852438698
7,0.9077390801416914 -0.6276997666348041 -0.5013556767326071,1.306691120334876 -1.1055376962679173 -0.6829826515049753,0.6484444273299964
8,-0.6916551725050779 0.9895067955163301 0.4797928795833164,-0.8029574616324892 1.1548098931295456 0.6259789521268275,0.24715113079090453
9,0.6895758732266046 -0.5149006069561688 0.34256318502808836,0.7009198982352433 -0.470860513670829 0.4009074369999186,0.0739747825825157
10,0.9734054699761485 0.6374436832835502 -0.033328265469285245,1.0721621672921176 0.8601668084078703 -0.09503590614166628,0.251329084364013
11,0.6085875274862944 -0.17020497734407258 0.6095479289945955,0.8218612602450835 -0.23637318437962615 0.8557973574369601,0.33241946049435567
12,0.6779936604515768 -0.6919112725626699 0.3521859632609903,1.1438064076259675 -1.1754550782871458 0.5995590102151871,0.715534451891777
13,0.15480697464233661 -0.06429261157976174 0.2950942449151539,0.42188399758046974 -0.10136674500147574 0.7311250836198196,0.5126670653084333
14,-0.20644321961593937 0.19178134687800852 0.301841616627041,-0.35381457704199176 0.29664044672757234 0.47567488278509495,0.25086201831691246
15,0.28032990008096825 0.6546075222760703 -0.5233208333824553,0.28327151706454345 0.6294227322052047 -0.5583881421463607,0.043274044245190504
16,-0.39154514664396434 -0.5224437124902901 -0.49393175151678115,-0.5509696305500507 -0.725527354027589 -0.6964942431490627,0.32816260381867135
17,-0.4004324434391171 0.8151460379444362 -0.6055207966000724,-0.3531835177784097 0.6700095329247087 -0.7152254546858899,0.18796855607031346
18,-0.3829145556429243 -0.48931020272955217 -0.7986722230472305,-0.4731085018381369 -0.6516534737896561 -0.8846511323069315,0.20465253095490213
0,0.3476189086939534 0.35288727366640305 0.531931095515876,0.7734907052232848 0.9027940260115889 1.3641450519326306,1.0845940681235433
1,0.0819896682451775 0.47723447282386866 0.1932146640568464,0.2954126770694152 0.8263284602995508 0.3186299291112819,0.4279544152079012
2,0.524791672853085 -0.20519735085596813 -0.3824335625669195,0.3855273311687746 -0.13200529537169983 -0.2961661378908929,0.17942603604552632
3,-0.7320375467837934 0.08210532600300158 -0.268537645981785,-1.0874504243250656 0.2015264615913428 -0.36356994434969564,0.38679562934508954
4,0.05095035471296483 0.041879851465419726 0.04883681227123615,0.2724683051900884 0.22437905630663166 0.26180164695091124,0.3573935966989355
5,-0.8884383761881298 -0.3053974637387571 -0.5727257168750499,-1.4393995756218831 -0.505250713013067 -0.8455554014557097,0.6464793897065566
6,-0.8142563129777287 0.798089848543561 0.1147297788115973,-1.7619360025715582 1.4371233138882762 0.3847068566916861,1.1744565494218182
7,-0.37663450223186135 -0.6850852800850118 -0.19142602432353817,-0.47523798569344716 -0.9477064766204046 -0.050724015054400995,0.31383051991929184
8,0.7705240696160125 0.8363299479903863 -0.732722328694108,0.844707854183067 1.0028271081149278 -0.8850812126764248,0.23756634389274386
9,0.942619589081253 0.47040988797254535 0.32417697153162406,1.1746963726204969 0.6368511266012904 0.4496414866832645,0.31193535217481866
10,0.26043229696878645 0.2627684892229578 -0.6199620537609369,0.5067603329245595 0.45692281783719446 -1.4585949053256382,0.8953649894545888
11,-0.4823108633753659 0.3965457042945615 -0.017530118737685507,-0.6911489898280819 0.5630215503545525 -0.021450662874804294,0.2671009940977411
